,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.7178423236514523,0.0400656044985942,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.9967526610138914
2,OS,0.01,0.2946058091286307,0.003405497445876815,0.04347826086956521
3,RDP,0.01,1.0,1.0,0.7674544470503337
4,OS,0.02,0.2946058091286307,0.003405497445876815,0.04510193036261951
5,RDP,0.02,1.0,1.0,0.6388237416561429
6,OS,0.03,0.31950207468879666,0.024195141220620164,0.07198268085874072
7,RDP,0.03,0.9626556016597511,0.9127127852227453,0.5372541944795237
8,OS,0.04,0.35684647302904565,0.05657279959590866,0.0961573155331048
9,RDP,0.04,0.9543568464730291,0.8941758812023473,0.4616633591917735
10,OS,0.05,0.35269709543568467,0.05290205562273265,0.10445607071982678
11,RDP,0.05,0.9128630705394191,0.8058017727639001,0.4057369655421252
12,OS,0.06,0.35684647302904565,0.05657279959590866,0.11131156413494495
13,RDP,0.06,0.8838174273858921,0.747907949790795,0.3664080822659209
14,OS,0.07,0.37344398340248963,0.071444974611518,0.12087317337182028
15,RDP,0.07,0.8008298755186722,0.598165902459358,0.33140898430452825
16,OS,0.08,0.3983402489626556,0.09433717765971217,0.12772866678693845
17,RDP,0.08,0.6929460580912863,0.4322913350735341,0.3016417102651993
18,OS,0.09,0.4315352697095436,0.12600259417105653,0.13476456792350708
19,RDP,0.09,0.6141078838174274,0.3276032760327604,0.2787299296409886
20,OS,0.1,0.44398340248962653,0.1382291722260769,0.13927476095976907
21,RDP,0.1,0.5352697095435685,0.23431294678316128,0.2585242648385351
22,OS,0.11,0.45228215767634855,0.1464906632324533,0.143784953996031
23,RDP,0.11,0.4854771784232365,0.18045195261079405,0.24535450117265017
24,OS,0.12,0.46473029045643155,0.15905217885255218,0.15190330146130254
25,RDP,0.12,0.43568464730290457,0.13005626924301938,0.23164351434241384
26,OS,0.13,0.48132780082987553,0.17612470942157799,0.15659390221901498
27,RDP,0.13,0.4066390041493776,0.10212854649193648,0.2204582356124842
28,OS,0.14,0.5145228215767634,0.21142713314875394,0.16723795778459316
29,RDP,0.14,0.36929460580912865,0.06769825918762074,0.2132419267544651
30,OS,0.15,0.5477178423236515,0.2483618987667745,0.1748150820855133
