,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.2,0.012096774193548376,0.01052631578947369
1,RDP,0.0,1.0,1.0,1.0
2,OS,0.01,0.7857142857142857,0.35265104808877923,0.032330827067669175
3,RDP,0.01,1.0,1.0,0.6311278195488723
4,OS,0.02,0.7571428571428571,0.3410852713178294,0.04045112781954888
5,RDP,0.02,1.0,1.0,0.42496240601503754
6,OS,0.03,0.6714285714285714,0.28949691085613416,0.050375939849624074
7,RDP,0.03,0.9857142857142858,0.9479940564635958,0.30436090225563905
8,OS,0.04,0.7428571428571429,0.38113948919449914,0.05669172932330828
9,RDP,0.04,0.9714285714285714,0.8923076923076924,0.23954887218045115
10,OS,0.05,0.8142857142857143,0.5205479452054794,0.06436090225563908
11,RDP,0.05,0.9571428571428572,0.8439821693907875,0.1921804511278195
12,OS,0.06,0.8428571428571429,0.5736434108527131,0.0700751879699248
13,RDP,0.06,0.9428571428571428,0.7988505747126436,0.15729323308270676
14,OS,0.07,0.9285714285714286,0.7712418300653595,0.08120300751879701
15,RDP,0.07,0.9714285714285714,0.8994252873563219,0.13338345864661655
16,OS,0.08,0.9428571428571428,0.8113207547169812,0.09458646616541354
17,RDP,0.08,0.9,0.6592489568845619,0.11323308270676694
18,OS,0.09,0.9571428571428572,0.8539638386648123,0.10150375939849626
19,RDP,0.09,0.8571428571428571,0.5283018867924528,0.09729323308270676
20,OS,0.1,0.9714285714285714,0.8994252873563219,0.10962406015037593
21,RDP,0.1,0.8714285714285714,0.5882352941176471,0.08751879699248119
22,OS,0.11,0.9714285714285714,0.8994252873563219,0.11699248120300751
23,RDP,0.11,0.8857142857142857,0.6226415094339622,0.08030075187969926
24,OS,0.12,0.9714285714285714,0.8994252873563219,0.12646616541353387
25,RDP,0.12,0.9,0.6797385620915033,0.0736842105263158
26,OS,0.13,0.9714285714285714,0.8994252873563219,0.1321804511278196
27,RDP,0.13,0.8857142857142857,0.6446700507614214,0.06887218045112782
28,OS,0.14,0.9714285714285714,0.8994252873563219,0.13714285714285715
29,RDP,0.14,0.8857142857142857,0.6446700507614214,0.06661654135338346
30,OS,0.15,0.9857142857142858,0.9479940564635958,0.14360902255639096
31,RDP,0.15,0.8571428571428571,0.580335731414868,0.06406015037593986
32,OS,0.16,0.9857142857142858,0.9479940564635958,0.15067669172932333
33,RDP,0.16,0.8571428571428571,0.580335731414868,0.06045112781954887
34,OS,0.17,0.9714285714285714,0.8994252873563219,0.15714285714285717
35,RDP,0.17,0.8285714285714286,0.5227272727272727,0.05804511278195489
36,OS,0.18,0.9571428571428572,0.8439821693907875,0.16676691729323312
37,RDP,0.18,0.8,0.44318181818181823,0.05578947368421054
38,OS,0.19,0.9571428571428572,0.8439821693907875,0.17714285714285716
39,RDP,0.19,0.7857142857142857,0.41860465116279066,0.054285714285714305
40,OS,0.2,0.9714285714285714,0.8994252873563219,0.18496240601503763
41,RDP,0.2,0.7714285714285715,0.36363636363636376,0.052781954887218055
42,OS,0.21,0.9714285714285714,0.8994252873563219,0.19263157894736846
43,RDP,0.21,0.7714285714285715,0.3952483801295896,0.05127819548872182
44,OS,0.22,0.9714285714285714,0.8994252873563219,0.20721804511278194
45,RDP,0.22,0.7428571428571429,0.35185185185185186,0.0505263157894737
46,OS,0.23,0.9714285714285714,0.8994252873563219,0.21428571428571427
47,RDP,0.23,0.7714285714285715,0.3952483801295896,0.04887218045112783
48,OS,0.24,0.9714285714285714,0.8994252873563219,0.22466165413533828
49,RDP,0.24,0.7285714285714285,0.3316582914572864,0.04691729323308272
50,OS,0.25,0.9571428571428572,0.8539638386648123,0.23533834586466165
51,RDP,0.25,0.7142857142857143,0.3421052631578947,0.046015037593984974
52,OS,0.26,0.9571428571428572,0.8539638386648123,0.24781954887218047
53,RDP,0.26,0.6857142857142857,0.3063063063063063,0.043759398496240616
54,OS,0.27,0.9714285714285714,0.8994252873563219,0.25789473684210523
55,RDP,0.27,0.6714285714285714,0.28949691085613416,0.04285714285714287
56,OS,0.28,0.9714285714285714,0.8994252873563219,0.2703759398496241
57,RDP,0.28,0.6571428571428571,0.2733564013840831,0.040451127819548884
58,OS,0.29,0.9857142857142858,0.9479940564635958,0.28225563909774437
59,RDP,0.29,0.6428571428571429,0.2578456318914334,0.03969924812030076
60,OS,0.3,0.9857142857142858,0.9479940564635958,0.29142857142857137
61,RDP,0.3,0.5857142857142857,0.2014162077104642,0.038045112781954896
62,OS,0.31,0.9857142857142858,0.9479940564635958,0.2986466165413534
63,RDP,0.31,0.5571428571428572,0.176157934700076,0.037293233082706774
64,OS,0.32,0.9857142857142858,0.9479940564635958,0.30962406015037597
65,RDP,0.32,0.5,0.10124724871606738,0.035639097744360915
66,OS,0.33,0.9857142857142858,0.9479940564635958,0.3181954887218046
67,RDP,0.33,0.4714285714285714,0.0498899486426998,0.034436090225563924
68,OS,0.34,0.9857142857142858,0.9479940564635958,0.3276691729323309
69,RDP,0.34,0.45714285714285713,0.04040404040404022,0.03278195488721805
70,OS,0.35000000000000003,0.9857142857142858,0.9479940564635958,0.34526315789473677
71,RDP,0.35000000000000003,0.42857142857142855,-0.010101010101010166,0.031729323308270684
72,OS,0.36,0.9857142857142858,0.9479940564635958,0.35518796992481205
73,RDP,0.36,0.38571428571428573,-0.06813342796309452,0.02947368421052632
74,OS,0.37,1.0,1.0,0.3682706766917294
75,RDP,0.37,0.37142857142857144,-0.11111111111111116,0.026315789473684216
76,OS,0.38,1.0,1.0,0.37879699248120297
77,RDP,0.38,0.34285714285714286,-0.12430167597765363,0.024511278195488723
78,OS,0.39,1.0,1.0,0.3914285714285714
79,RDP,0.39,0.35714285714285715,-0.11781405251951749,0.023308270676691733
80,OS,0.4,1.0,1.0,0.40406015037593984
81,RDP,0.4,0.37142857142857144,-0.14925373134328335,0.021954887218045116
82,OS,0.41000000000000003,1.0,1.0,0.41894736842105257
83,RDP,0.41000000000000003,0.38571428571428573,-0.18410700236034616,0.020751879699248126
84,OS,0.42,1.0,1.0,0.4288721804511277
85,RDP,0.42,0.4142857142857143,-0.17142857142857149,0.019699248120300755
86,OS,0.43,1.0,1.0,0.4436090225563909
87,RDP,0.43,0.4857142857142857,-0.1351351351351351,0.01654135338345865
88,OS,0.44,1.0,1.0,0.4596992481203007
89,RDP,0.44,0.5,-0.12695492180312784,0.016090225563909776
90,OS,0.45,1.0,1.0,0.4733834586466165
91,RDP,0.45,0.5285714285714286,-0.10951008645533156,0.015338345864661658
92,OS,0.46,1.0,1.0,0.48556390977443614
93,RDP,0.46,0.5428571428571428,-0.10019646365422386,0.014436090225563913
94,OS,0.47000000000000003,1.0,1.0,0.49624060150375937
95,RDP,0.47000000000000003,0.5571428571428572,-0.09045226130653261,0.014285714285714289
96,OS,0.48,1.0,1.0,0.5081203007518797
97,RDP,0.48,0.5714285714285714,-0.08024691358024683,0.013684210526315794
98,OS,0.49,1.0,1.0,0.5201503759398496
99,RDP,0.49,0.5857142857142857,-0.06954689146469972,0.013533834586466169
100,OS,0.5,1.0,1.0,0.529624060150376
101,RDP,0.5,0.5714285714285714,-0.08024691358024683,0.012330827067669177
102,OS,0.51,1.0,1.0,0.5440601503759399
103,RDP,0.51,0.5857142857142857,-0.02010050251256268,0.011879699248120306
104,OS,0.52,1.0,1.0,0.5556390977443608
105,RDP,0.52,0.5857142857142857,-0.02010050251256268,0.011879699248120306
106,OS,0.53,1.0,1.0,0.5685714285714285
107,RDP,0.53,0.5571428571428572,-0.09045226130653261,0.011578947368421057
108,OS,0.54,1.0,1.0,0.5824060150375939
109,RDP,0.54,0.5857142857142857,-0.06954689146469972,0.01097744360902256
110,OS,0.55,1.0,1.0,0.5965413533834585
111,RDP,0.55,0.5714285714285714,-0.13390928725701956,0.010827067669172935
112,OS,0.56,1.0,1.0,0.609172932330827
113,RDP,0.56,0.5857142857142857,-0.1240310077519382,0.010676691729323312
114,OS,0.5700000000000001,1.0,1.0,0.6224060150375942
115,RDP,0.5700000000000001,0.5857142857142857,-0.1240310077519382,0.010676691729323312
116,OS,0.58,1.0,1.0,0.6386466165413535
117,RDP,0.58,0.5857142857142857,-0.1240310077519382,0.010676691729323312
118,OS,0.59,1.0,1.0,0.6524812030075188
119,RDP,0.59,0.5857142857142857,-0.1240310077519382,0.010676691729323312
120,OS,0.6,1.0,1.0,0.6636090225563909
121,RDP,0.6,0.5857142857142857,-0.1240310077519382,0.010676691729323312
122,OS,0.61,1.0,1.0,0.6780451127819548
123,RDP,0.61,0.5857142857142857,-0.1240310077519382,0.010676691729323312
124,OS,0.62,1.0,1.0,0.6873684210526315
125,RDP,0.62,0.5857142857142857,-0.1240310077519382,0.010676691729323312
126,OS,0.63,1.0,1.0,0.6968421052631579
127,RDP,0.63,0.5857142857142857,-0.1240310077519382,0.010676691729323312
128,OS,0.64,1.0,1.0,0.7106766917293234
129,RDP,0.64,0.5857142857142857,-0.1240310077519382,0.010676691729323312
130,OS,0.65,1.0,1.0,0.7222556390977444
131,RDP,0.65,0.5714285714285714,-0.19318181818181812,0.01052631578947369
132,OS,0.66,1.0,1.0,0.7321804511278195
133,RDP,0.66,0.5714285714285714,-0.19318181818181812,0.01052631578947369
134,OS,0.67,1.0,1.0,0.7451127819548872
135,RDP,0.67,0.5714285714285714,-0.19318181818181812,0.01052631578947369
136,OS,0.68,1.0,1.0,0.7565413533834585
