Dataset Name,Univariate/Multivariate,Stationary/Non-Stationary,Linear/Non-Linear,Periodic/Aperiodic,Deterministic/Stochastic,Discrete/Continuous
Adiac,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
ArrowHead,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Beef,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
BeetleFly,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
BirdChicken,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Car,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
CBF,Univariate,Stationary,Non-Linear,Periodic,Stochastic,Discrete
ChlorineConcentration,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
CinCECGTorso,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Coffee,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Computers,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
CricketX,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
CricketY,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
CricketZ,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
DiatomSizeReduction,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
DistalPhalanxOutlineAgeGroup,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
DistalPhalanxOutlineCorrect,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
DistalPhalanxTW,Univariate,Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
Earthquakes,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
ECG200,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
ECG5000,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
ECGFiveDays,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
ElectricDevices,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
FaceAll,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
FaceFour,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
FacesUCR,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
,,,,,,
FISH,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
FordA,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
FordB,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
GunPoint,Univariate,Non-Stationary,Non-Linear,Aperiodic,Stochastic,Discrete
