8	-0.41366588	-0.34416195	-0.18699477	0.063603928	0.3446818	0.5920047	0.840467	0.92969694	1.0996825	1.2481261	1.3553017	1.3985992	1.3935787	1.2839462	1.1608189	1.0612986	0.94297818	0.80236803	0.6384	0.40329014	0.15229977	-0.10246489	-0.35003703	-0.41405755	-0.45660734	-0.28099598	-0.075119077	0.17494552	0.43216703	0.5827114	0.83793894	1.1065901	1.3912643	1.4095304	1.3410947	1.279531	1.30912	1.2843735	1.3425546	1.3718587	1.4420036	1.4047235	1.2946282	1.0285406	0.77185324	0.51520143	0.25135711	0.039462707	-0.20255482	-0.42278115	-1.1024384	-1.1024384.1	-1.1024384.2	-1.1024384.3	-1.1024384.4	-1.1024384.5	-1.1024384.6	-1.1024384.7	-1.1024384.8	-1.1024384.9	-1.1024384.10	-1.1024384.11	-1.1024384.12	-1.1024384.13	-1.1024384.14	-1.1024384.15	-1.1024384.16	-1.1024384.17	-1.1024384.18	-1.1024384.19	-1.1024384.20	-1.1024384.21	-1.1024384.22	-1.1024384.23	-1.1024384.24	-1.1024384.25	-1.1024384.26	-1.1024384.27	-1.1024384.28	-1.1024384.29
4	-0.73652154	-0.57999126	-0.33605961	-0.14641715	0.12756367	0.42150685	0.65191901	0.88238398	1.0002042	1.1502916	1.3441061	1.3528726	1.3003262	1.3435252	1.3268899	1.1722079	0.94670715	0.70298675	0.5325673	0.273215	0.12840864	-0.20302999	-0.40624475	-0.70494087	-0.78014301	-0.74803423	-0.51102076	-0.25552361	0.064507946	0.3563387	0.69237184	1.0353232	1.3732047	1.3340721	1.2969991	1.2979497	1.2055314	1.2988475	1.3556716	1.4044685	1.504914	1.6021381	1.5580942	1.1940187	0.81631806	0.53927424	0.1559229	-0.20223783	-0.46343851	-0.68614034	-0.018034848	-0.094504435	-0.31451293	-0.52945162	-0.79255347	-1.0521698	-1.3662866	-1.5356234	-1.6923174	-1.6457175	-1.4441821	-1.2037887	-0.92241446	-0.68661563	-0.4583687	-0.29238534	-0.36684812	-0.58453296	-0.84937756	-1.111476	-1.3673428	-1.5330727	-1.6123782	-1.5543184	-1.43362	-1.2125553	-0.96017396	-0.74882639	-0.45197863	-0.14847675
8	-0.55380987	-0.47527495	-0.26368106	-0.027062184	0.21650642	0.39081636	0.64199089	0.84031169	1.0260156	1.2250523	1.3633906	1.4489648	1.4336634	1.2906422	1.1970744	1.0529197	0.84958794	0.67545697	0.51197429	0.24860045	-0.0011423803	-0.24775336	-0.4748872	-0.57263081	-0.46385115	-0.25362931	-0.036696358	0.20785654	0.45580974	0.69600788	0.93623584	1.1673069	1.3861488	1.4347372	1.3893104	1.3741881	1.3898772	1.4657276	1.4776883	1.4591657	1.4704403	1.4717825	1.2685701	1.0423012	0.81764305	0.54857222	0.29483255	0.019378707	-0.23510664	-0.45869105	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444	-1.0707444
8	-0.49770941	-0.44299008	-0.25670176	-0.048151942	0.1864625	0.43215851	0.68510016	0.95459858	1.1588863	1.3147495	1.4174998	1.421598	1.3592069	1.2855374	1.1319364	0.99295785	0.79093239	0.51802425	0.27252495	0.079089345	-0.16929509	-0.43276095	-0.48056249	-0.48915234	-0.34810828	-0.14234525	0.10836697	0.33537513	0.56739951	0.80057138	1.0344318	1.2726526	1.3508793	1.3597314	1.3483548	1.4036315	1.4021233	1.4299584	1.4531051	1.4388433	1.4839564	1.4509085	1.288193	1.0386283	0.77070361	0.52104053	0.28160659	-0.0024814674	-0.20726093	-0.41748281	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574	-1.0735574
7	-0.45798276	-0.4372363	-0.32404468	-0.068321404	0.16232656	0.39143538	0.65665008	0.73363963	0.85375742	1.0730221	1.1665575	1.4174068	1.4770809	1.4307782	1.3036701	1.1569378	0.96467238	0.76653895	0.5727023	0.34195814	0.075717338	-0.17298357	-0.40279783	-0.46779483	-0.41780454	-0.20787096	-0.038275923	0.21536309	0.47589621	0.7403734	0.9407835	1.1993286	1.4267058	1.3743427	1.3409303	1.343239	1.4144247	1.453192	1.4686156	1.4832375	1.4755097	1.3756894	1.1434382	0.91554786	0.81928688	0.60492825	0.33698797	0.086683778	-0.16073451	-0.36595444	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851	-1.0885851
8	-0.35968737	-0.31605153	-0.18958398	0.035891391	0.27233935	0.51079517	0.73372535	0.92065526	1.1291627	1.252972	1.3453057	1.3536766	1.3312506	1.2568463	1.2160102	1.0419759	0.8748136	0.73078425	0.53291003	0.34162502	0.13769891	-0.079037982	-0.26514778	-0.36709669	-0.36494742	-0.24147753	-0.087352262	0.13786859	0.36071393	0.5773377	0.8168116	1.0576995	1.2857483	1.357862	1.3741229	1.2657545	1.2718629	1.3300346	1.351697	1.3514707	1.4179567	1.4660042	1.3536483	1.155463	0.90252787	0.62530035	0.41532235	0.18314465	-0.065831285	-0.25536294	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738	-1.1161738
8	-0.40424848	-0.35298492	-0.15098506	0.075827882	0.32562755	0.50889165	0.76231252	0.93370539	1.165462	1.2512687	1.2850875	1.3146239	1.2521504	1.1514496	0.99860355	0.78419715	0.62728908	0.41612601	0.29495758	0.19683887	-0.052205077	-0.29627381	-0.38743353	-0.39760437	-0.26302177	-0.030131515	0.19759459	0.43860893	0.68381125	0.93083992	1.1765776	1.3944792	1.415797	1.3761843	1.2657535	1.2465769	1.3326354	1.3453569	1.390795	1.3748932	1.4329584	1.4436645	1.3525048	1.0885037	0.83492541	0.57284515	0.35749409	0.10640339	-0.10006787	-0.2976908	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658	-1.1123658
8	-0.51955944	-0.43318644	-0.27608418	-0.033360737	0.1962347	0.42626388	0.67803812	0.97709052	1.1485353	1.2963843	1.3867767	1.3952492	1.3158739	1.2057317	1.0816519	0.90503109	0.82423894	0.52920592	0.33468595	0.081234567	-0.16475641	-0.40959074	-0.43367802	-0.41736923	-0.27602634	-0.054411805	0.15988691	0.38404608	0.60884141	0.83415723	1.0807844	1.3152088	1.4881572	1.4390863	1.337619	1.3315465	1.3616773	1.4160111	1.436079	1.4360211	1.5039745	1.3834802	1.2784562	1.0188167	0.76018933	0.50268967	0.24877562	0.00096291285	-0.21501295	-0.39973028	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309	-1.0825309
8	-0.50022667	-0.41509056	-0.29445777	-0.076504377	0.15033873	0.40565379	0.64738562	0.8628213	1.059887	1.2977645	1.4388188	1.5182978	1.4777346	1.3504501	1.2379299	1.1486287	0.95939591	0.78110431	0.61723519	0.33988234	0.11683135	-0.13052648	-0.35519379	-0.45692817	-0.49220727	-0.37120149	-0.19092059	0.020163487	0.24343206	0.49526583	0.71896957	0.94279763	1.1917718	1.4074872	1.426168	1.3735757	1.3611426	1.4108131	1.4488586	1.456505	1.4663272	1.4680056	1.3447619	1.0913118	0.83863879	0.57371911	0.32284891	0.054416858	-0.18504591	-0.40815907	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226	-1.0730226
8	-0.53065085	-0.47262696	-0.32256966	-0.052797519	0.17040623	0.46140187	0.65887131	0.9164091	1.1208232	1.2887291	1.4299595	1.458874	1.4199967	1.2980427	1.1462979	0.99724663	0.87633108	0.67921861	0.45692351	0.21113329	-0.053349201	-0.28018755	-0.41755619	-0.4716534	-0.36329671	-0.1945796	-0.022682213	0.20110567	0.45685861	0.68729912	0.92023842	1.1951704	1.4148693	1.4643909	1.4242804	1.3718382	1.3928995	1.4449847	1.4978812	1.4379426	1.4336914	1.3813466	1.2524479	1.0001673	0.74821122	0.51420101	0.2448832	0.0049343021	-0.24997489	-0.44322559	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052	-1.0735052
8	-0.50319069	-0.44443034	-0.27387359	-0.044349583	0.19934725	0.44880288	0.68922376	0.93450685	1.210377	1.2963451	1.3275529	1.374037	1.3096558	1.2356192	1.1120638	0.88950552	0.72077641	0.52725347	0.26114218	-0.0012103805	-0.27697713	-0.4959491	-0.54895066	-0.48098314	-0.2800117	-0.066695069	0.14741469	0.38614586	0.62773919	0.85009057	1.091546	1.3379325	1.4529704	1.4190384	1.298621	1.258344	1.3345531	1.3603815	1.4108312	1.4613155	1.506972	1.5043512	1.313449	1.1067188	0.86088399	0.62970476	0.33579955	0.051825665	-0.20990619	-0.42387801	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144	-1.0744144
