8	-0.50174995	-0.44070091	-0.26005579	-0.035857824	0.25335666	0.51601409	0.7588699	0.96189014	1.1441794	1.3768664	1.4708705	1.4737299	1.5105452	1.5005371	1.4034949	1.1897518	0.90845436	0.71501324	0.4461544	0.17125499	-0.081644607	-0.32442893	-0.45655293	-0.48302062	-0.41149888	-0.26357647	-0.085165292	0.11665756	0.34378645	0.57770651	0.80247636	1.0421332	1.2832197	1.4651516	1.417256	1.3809768	1.4238684	1.4378082	1.3833001	1.3561354	1.4528202	1.3484507	1.1607999	0.93722747	0.67365859	0.4355566	0.18446203	-0.060020092	-0.2710825	-0.4123031	-1.0645592	-1.0645592.1	-1.0645592.2	-1.0645592.3	-1.0645592.4	-1.0645592.5	-1.0645592.6	-1.0645592.7	-1.0645592.8	-1.0645592.9	-1.0645592.10	-1.0645592.11	-1.0645592.12	-1.0645592.13	-1.0645592.14	-1.0645592.15	-1.0645592.16	-1.0645592.17	-1.0645592.18	-1.0645592.19	-1.0645592.20	-1.0645592.21	-1.0645592.22	-1.0645592.23	-1.0645592.24	-1.0645592.25	-1.0645592.26	-1.0645592.27	-1.0645592.28	-1.0645592.29
5	-0.775092	-0.78978047	-0.65170888	-0.39003994	-0.070657573	0.21839923	0.5316308	0.81267015	1.0621599	1.3774723	1.424047	1.4411836	1.4607682	1.516156	1.5081997	1.3433217	1.159318	0.87426992	0.55292908	0.24633792	-0.055265283	-0.34924884	-0.59665772	-0.72276434	-0.73901346	-0.61263143	-0.3825427	-0.15432064	0.13596021	0.3994346	0.71563446	0.98452523	1.2972366	1.5081997	1.5283963	1.5097297	1.4307792	1.3802876	1.4344514	1.4338393	1.5672596	1.4769867	1.2148282	0.9523942	0.65431011	0.31301744	0.020441527	-0.26053662	-0.51207663	-0.70672943	-0.3730258	-0.55133768	-0.66361265	-0.83620215	-1.0696876	-1.278172	-1.4700218	-1.5102131	-1.3399248	-1.2317197	-0.99033926	-0.80428533	-0.62759531	-0.47605928	-0.43988893	-0.55791689	-0.79984819	-0.9256182	-1.0682799	-1.2183165	-1.276489	-1.3440253	-1.3383335	-1.2378399	-1.1186185	-1.0109643	-0.80088863	-0.58496815	-0.46029978	-0.31301729
8	-0.41736798	-0.37316916	-0.25117959	-0.049409255	0.20294795	0.45918573	0.72798067	0.97170109	1.1744864	1.3153813	1.3185654	1.2871227	1.3677194	1.4735896	1.3623463	1.1896107	0.9768752	0.75422933	0.52332478	0.24877861	-0.016513864	-0.24743832	-0.33408474	-0.41454213	-0.29502021	-0.14749842	0.047684884	0.27309692	0.48402145	0.73034882	0.9814523	1.2204563	1.3585652	1.3559782	1.2457299	1.2288145	1.2662273	1.2710034	1.2445358	1.299461	1.4674205	1.3776696	1.2148842	1.0469247	0.79223912	0.54700627	0.29938537	0.043008286	-0.17259284	-0.35535828	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195	-1.1025195
8	-0.46630346	-0.45966706	-0.29136334	-0.07343519	0.18457549	0.43857462	0.69458777	0.96714241	1.1444432	1.3811745	1.4212901	1.4196392	1.5013561	1.5713519	1.4795649	1.3091976	1.0445671	0.80172766	0.57262329	0.33097249	0.070749677	-0.17091763	-0.39297289	-0.4699023	-0.43969183	-0.31503646	-0.14135098	0.07499235	0.29845083	0.53325062	0.76227245	1.0021403	1.2497672	1.3602088	1.2941749	1.3263664	1.3359413	1.391905	1.3715996	1.4140263	1.4516656	1.3498085	1.1607866	0.94237972	0.66982509	0.46005212	0.22406372	-0.0069226153	-0.19034809	-0.37040583	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633	-1.0739633
3	-0.52432856	-0.51674751	-0.35022446	-0.20804255	0.10764887	0.37584722	0.61457608	0.82231181	1.0892466	1.2777324	1.3574078	1.3919314	1.4366001	1.4336272	1.317533	1.122581	0.9080446	0.70391359	0.37974923	0.10802049	-0.15155627	-0.31581243	-0.46676458	-0.47999426	-0.32907927	-0.16668121	0.078922622	0.29371914	0.56578234	0.78853153	1.0469563	1.2768406	1.4381609	1.4699716	1.3323978	1.271675	1.3551781	1.3924516	1.3513876	1.2972053	1.449867	1.4062759	1.2333981	1.0049632	0.76853836	0.4862556	0.21110795	-0.067755898	-0.29529899	-0.42748432	-0.68107799	-0.7480068	-0.85808072	-1.0039045	-1.099894	-1.2011606	-1.265436	-1.3186706	-1.2999855	-1.2527414	-1.2045906	-1.1072893	-0.96053643	-0.89015155	-0.7798175	-0.70463871	-0.81307751	-0.91798591	-0.99743832	-1.1439348	-1.2392405	-1.3350479	-1.3609461	-1.3185368	-1.2846413	-1.1935052	-1.084286	-0.97796542	-0.86774285	-0.75625677
8	-0.47512045	-0.4355176	-0.32528128	-0.080139276	0.1786756	0.44412327	0.695452	0.94427889	1.2035786	1.3802593	1.4046959	1.3773502	1.3455438	1.4652056	1.4551207	1.3569863	1.1498568	0.94389101	0.74952288	0.60232131	0.32207591	0.081821234	-0.18157066	-0.4120119	-0.46517125	-0.39989055	-0.25296051	-0.045869821	0.18317504	0.42858856	0.68356339	0.93167269	1.1742935	1.3657137	1.3321618	1.2425608	1.2594338	1.3261496	1.3389498	1.3019069	1.3205253	1.3742471	1.2953129	1.0195282	0.77644195	0.51275915	0.25472004	0.033743147	-0.1966593	-0.39155107	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821	-1.0864821
6	-0.75883382	-0.79227258	-0.59536808	-0.30443664	0.0011224751	0.26368077	0.59462489	0.88652392	1.1900909	1.4604469	1.4197512	1.3935693	1.4419488	1.5754193	1.6166841	1.4914667	1.1974902	0.99125127	0.66153087	0.34689348	0.0044521219	-0.29706589	-0.57900443	-0.70598635	-0.73344882	-0.68671993	-0.51374905	-0.29185798	-0.040341587	0.2382104	0.54300113	0.87112786	1.1508182	1.3762097	1.3727946	1.2265178	1.2618064	1.3873085	1.3639725	1.3833243	1.4183283	1.4763836	1.4103599	1.0766553	0.75828983	0.41115282	0.084790521	-0.20915752	-0.47794823	-0.63717365	-0.14398751	-0.23744529	-0.43756559	-0.57186135	-0.78774767	-1.0368166	-1.3043836	-1.5114478	-1.5477153	-1.3575726	-1.173759	-0.96256835	-0.84153427	-0.85823942	-0.74693815	-0.49707236	-0.44789604	-0.6153175	-0.87281018	-1.0966934	-1.3067741	-1.4150873	-1.4440011	-1.3708627	-1.2562603	-1.1005353	-0.95861262	-0.80100934	-0.65197208	-0.37014736
3	-0.71288749	-0.65697539	-0.47306899	-0.21078887	0.063248748	0.35994727	0.65829697	0.96197027	1.3114209	1.537176	1.5676372	1.5035832	1.5115543	1.5571039	1.4876408	1.3415975	0.99698651	0.62382164	0.35134979	0.019805844	-0.2557406	-0.53350758	-0.73691489	-0.74505688	-0.63551016	-0.44149745	-0.21525842	0.054850546	0.33529357	0.62385011	0.92120341	1.224592	1.4329813	1.4500624	1.4805237	1.4688516	1.4913417	1.4890642	1.5309129	1.4591723	1.1967783	1.0072921	0.78532334	0.63256146	0.68622455	0.43316821	0.11087652	-0.14175279	-0.3874358	-0.63235015	-0.51278253	-0.54745714	-0.62921862	-0.73930624	-0.90826669	-1.0689997	-1.2304445	-1.3971132	-1.4151224	-1.3184548	-1.1693796	-1.0180127	-0.84873909	-0.70500172	-0.54907984	-0.54273137	-0.63602259	-0.77998771	-0.92164687	-1.0242473	-1.1539782	-1.2539025	-1.3272886	-1.3020427	-1.2225018	-1.1923252	-1.0640178	-0.94245734	-0.8185625	-0.65022836
8	-0.46229493	-0.43209713	-0.27413199	-0.039699171	0.23445137	0.48449378	0.7173271	0.9686414	1.2110717	1.3893293	1.3964596	1.4346164	1.49956	1.4743148	1.3099324	1.0651896	0.82083214	0.56522038	0.31712435	0.062302715	-0.17324783	-0.40922234	-0.48854216	-0.47445499	-0.33687867	-0.12902068	0.082113397	0.30612056	0.55142228	0.79073069	1.0212515	1.2756299	1.3914491	1.4646793	1.4905026	1.4006993	1.3823917	1.3596518	1.4201631	1.3681311	1.4321111	1.2496139	1.0638406	0.85686908	0.62411284	0.36969589	0.1502367	-0.066312547	-0.2256652	-0.37773338	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328	-1.0704328
8	-0.34068984	-0.28460914	-0.19098801	0.00072377038	0.2395404	0.49695251	0.76683517	0.97007946	1.1385607	1.3145831	1.3088812	1.2965578	1.4001113	1.5102862	1.4025024	1.2170994	1.0646202	0.92979846	0.73115247	0.48851006	0.25171667	0.021066592	-0.13540392	-0.2648365	-0.31670518	-0.2414772	-0.1094144	0.086730131	0.28445647	0.50898163	0.75690287	1.0171659	1.2630823	1.3576231	1.341621	1.2163637	1.2198584	1.309433	1.2943507	1.2676806	1.2904881	1.3747287	1.1821525	0.98461005	0.74513126	0.50602033	0.27514954	0.06160509	-0.13645233	-0.25304649	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697	-1.1206697
8	-0.37522783	-0.4086016	-0.25171258	-0.029409367	0.19848981	0.4503688	0.70735891	0.95075305	1.1493391	1.3939857	1.4697434	1.4089352	1.3515615	1.4099453	1.5121676	1.4440868	1.277622	1.0840865	0.86022772	0.6696013	0.4027122	0.12685339	-0.12858117	-0.31852071	-0.4354703	-0.40017735	-0.30124797	-0.13472258	0.073156373	0.29699494	0.53261129	0.78210645	1.0121672	1.2248947	1.2855008	1.2349957	1.2891372	1.3180261	1.2909553	1.2323694	1.2786321	1.3143897	1.287925	1.0701471	0.80746	0.54703555	0.28404543	0.071661422	-0.1269448	-0.30791464	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173	-1.0961173
