2	0.2303793	0.49096649	0.35883306	-0.23096511	0.090224785	-0.50147326	-0.33932938	0.066836482	0.23294938	0.028325503	0.23170201	0.016587095	0.14365201	0.28534305	0.071382826	-1.6801291	-1.6801291.1	-1.6801291.2	-1.6801291.3	-1.6801291.4	-1.6801291.5	-1.6801291.6	-1.6801291.7	-1.6801291.8	-1.6801291.9	-1.6801291.10	-1.6801291.11	-1.6801291.12	1.6600859	1.6600859.1	1.6600859.2	1.6600859.3	1.6600859.4	1.6600859.5	1.6600859.6	1.6600859.7	1.6600859.8	1.6600859.9	1.6600859.10	1.6600859.11	-0.16328428	0.096866586	-0.6035321	0.25774259	-0.14132001	-0.29348153	-0.43528911	0.409104	0.87897646	0.4880588	0.051818545	0.38952406	0.3077399	0.50258019	0.054010775	-0.23488537	0.16741434	0.52881961	-0.26021885	0.23290647	0.5161471	0.0868569	-0.14512941	-0.91453742	-0.14174021	0.38031769	-0.3823627	-0.0032940819	0.44991127	0.12914505	-0.31329689	-0.72994267	0.11114098	0.32361185	-0.24927233	0.47836216	-0.26719819	-0.10917514	0.57007922	-0.27120226	0.46438787	-0.3135962	-0.52393865	-0.15864045	0.031504136	-0.090675938	-0.35230537	0.16836839	0.024810979	-0.26356825	-0.19796841	0.22407676	0.25016401	-0.350944	-0.14000862	-0.44532325	0.43899348	-0.74482917	-0.073500228	-0.25037801	0.30118808	-0.0067173564	-0.023323636	1.6600859.12	1.6600859.13	1.6600859.14	1.6600859.15	1.6600859.16	1.6600859.17	1.6600859.18	1.6600859.19	1.6600859.20	-1.6801291.13	-1.6801291.14	-1.6801291.15	-1.6801291.16	-1.6801291.17	-1.6801291.18	-1.6801291.19	-1.6801291.20	0.10503578	-0.26483763	0.30659404	-0.075227965	-0.22219207	0.21074476	-0.25542933	-0.27894241
2	0.28718667	-0.46083791	0.044831505	0.54161218	-0.075760531	0.012754268	-0.30735755	-0.29709324	0.094406803	-0.33911149	0.044059155	-0.31803299	0.010718326	0.29543913	-0.29209563	-0.11821088	-0.45153093	0.20648675	0.16894178	0.4484394	0.25954909	0.34170701	-0.16284907	0.10988203	-0.42881144	0.2362736	-0.23024874	-0.035221458	-0.053801314	0.084698771	0.10808305	0.63256564	-0.56434552	-0.036037468	0.21349293	0.024895292	-0.19652032	-0.15578905	-0.30323996	-0.23658441	-0.02613429	-0.065506968	-0.29438923	0.32005792	-0.41776545	0.25150772	-0.24882703	0.25725605	-0.31092914	0.27382361	-0.58896877	0.43521004	0.6384904	0.11385718	0.30769914	0.012586251	-0.43449045	0.066889887	0.010347058	-0.0074554066	-0.16758284	-0.28048886	0.0054281054	0.18169588	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	-0.068622089	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	1.4165555	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-1.385266	-0.036205194
2	0.40425716	0.82427713	-0.42797476	-0.34573991	0.46175413	0.21183856	0.39538923	0.0091440504	-0.17310234	-0.10279074	-0.076250067	-0.3977648	0.10332865	0.081351873	-0.035060245	-0.070433494	0.35982924	0.25409701	0.49462736	0.15821895	-0.30033169	0.59896941	-0.24359466	-0.036670534	-0.3393907	-0.14257284	-0.45614141	0.040436968	-0.24551073	0.055260067	0.17614776	-0.038769419	-0.088944605	-0.068159535	0.41053521	0.080132998	0.39407881	0.57787797	-0.13201701	-0.29837501	0.088075803	-0.18196019	0.11935179	-0.079411339	0.28274399	0.36037508	-0.28412627	0.18410807	-0.2192124	0.20069274	-0.3652351	-0.29480253	-0.030131257	0.37338219	-0.22498874	-0.4592362	-0.095930432	-0.4678114	-0.090039935	-0.26963485	-0.065168091	0.025264409	-0.33005314	0.37155931	0.1726464	-0.027899514	-0.20995917	-0.28763247	0.27420349	0.22685191	0.26559492	-0.36095683	-0.13170467	0.0089182288	0.13584814	-0.077741431	0.2149218	0.5156006	0.14697842	-0.23560584	0.58344638	-0.63313122	0.00066668141	-0.51789276	-0.21069195	-0.17352974	-0.102983	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	1.7836564	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-1.7564054	-0.22791288	-0.0026106635	-0.48296201
1	-0.45134252	-0.09090532	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	0.035595877	-0.067298196	-0.089077048	-0.48007497	0.17311119	-0.56313072	0.042039848	0.24578644	-0.32452996	0.35335097	-0.21407266	-0.16524343	-0.045823938	0.18659182	0.21396207	0.3281098	0.024765099	-0.38959284	0.17748409	-0.59039106	-0.056771237	0.24090077	-0.16083985	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	1.5906397	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-1.6004578	-0.41751328	0.075113044	0.095502671	-0.26049884	-0.19570761	-0.29905939	0.022499252	0.26937985	-0.11885736	-0.20412534	-0.20047686	0.15389889	-0.015265555	0.11122295	0.011299316	-0.11610529	-0.32669324	0.71533284	0.30060072	0.54814121	0.020629623	-0.460119	0.41553828	0.063685468	0.15162943	0.074153491	0.034490059	-0.12808693	0.14211591	-0.10864046	0.18812621	0.37610768	-0.42246041	0.23829684	0.10402505	-0.19413798	0.38599969	0.88106759	-0.59586328	0.41070817	-0.44019337	0.0073900246	-0.42514374	0.3487667	0.15892169	0.00049683768	0.10012983	-0.087095823	0.35781381	-0.0027424984	-0.68704149	-0.39242708	-0.022976305	0.088021528	-0.18038607	-0.24691481
3	0.47838169	-0.1618291	0.17257127	-0.030382708	-0.19727892	-0.60011408	-0.20430917	-0.040662524	0.35246362	-0.11939612	0.083530515	-0.056782084	0.23327079	0.20349051	-0.17553154	-0.10188742	0.26388886	0.26590991	0.40401046	0.044582902	-0.14268493	-0.33286735	0.072229029	0.16655946	-0.46722616	-0.16047417	0.18504238	-0.75341701	-0.39368288	0.14143777	0.05204517	-0.098654958	-0.20309669	-0.054992398	-0.49254379	-0.062852705	0.26168311	-0.23585829	0.25207363	0.260159	-0.1083483	0.22056048	-0.11654222	0.044045715	-0.039048963	-0.016048003	0.092657251	0.29132818	-0.068174778	0.053002603	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-0.2321882	0.28953864	0.26427808	0.070751977	-0.012565639	0.0064139325	-0.27545412	-0.16018454	-0.17487596	0.093398023	0.59401252	-0.47555617	0.22284704	0.15312238	0.0012838944	0.22736036	-0.25390798	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	-1.4781587	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	1.4541177	-0.25305236	0.18283012	-0.0069929932	-0.20226359
2	-0.018498077	0.33599817	-0.21683602	-0.27830101	-0.2749491	0.017107022	0.10051152	-0.4730477	-0.033563446	0.39489555	-0.30842698	0.67285799	-0.31170695	0.39721354	0.36102365	0.65667628	-0.34590143	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	-0.012415236	-0.25817475	0.29243862	-0.033845805	-0.044170423	-0.22125369	-0.21709969	-0.10951521	-0.2315697	-0.12637517	0.050774057	0.65294317	-0.25756344	-0.31093648	0.038745616	0.028034435	-0.72010317	0.089082054	0.33594963	-0.47838812	-0.02412333	-0.091428936	-0.37162156	0.04015589	0.73976575	-0.14928352	-0.41097142	-0.28469226	-0.26002845	0.5148749	-0.22915722	-0.49122967	0.39832044	0.41564183	0.35874963	0.37468968	0.019429841	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	1.5268965	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-1.5010851	-0.030442309	-0.37010314	0.49885518	0.25524455	-0.10770582	0.2282916	0.26775116	0.019777507	0.32108296	-0.20321652	-0.032091959	-0.38021857	0.24580407	-0.45234591	-0.026319224	-0.14661797	0.22647629	0.25262191	0.069066926	-0.2971287	-0.365621	-0.33495839
4	-0.39709249	-0.33260494	0.36652705	0.069434857	-0.17502349	-0.0076193765	-0.57073565	-0.149896	-0.2399117	-0.47726031	-0.39150538	-0.064478564	-0.48646845	0.40572253	0.37111371	-0.31293176	-0.56265408	0.24213763	0.11830391	0.00036529187	1.5522712	-0.031593064	0.076410324	-0.33623298	-0.22019992	0.67098006	-0.13117118	-0.0091611319	0.13227247	0.37268574	0.089203564	0.19104687	-0.086338497	0.23357266	0.34805532	0.05576883	-0.079943144	-0.32630765	-0.015047153	0.31496313	0.0030269068	0.12246822	0.40139928	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	0.060370122	0.25796474	-0.11781461	-0.18190876	-0.014664738	-0.41836075	0.23286387	-0.10619614	0.46185159	0.0032663594	-0.23577596	0.26998083	-0.20840466	0.23924484	-0.38699906	0.39954842	-0.12378687	-0.16578873	-0.15659988	-0.13308173	-0.076852083	-0.031335154	-0.53341588	0.16376123	-0.072124819	0.21132513	-0.058581173	0.1365209	0.53345691	0.17085445	-0.26891682	0.70944726	0.27445227	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	-1.5344051	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	1.6063236	-0.098984221	-0.052370342	-0.27948149	0.27766646
2	-0.051309107	0.28531409	0.19294762	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	-0.076936312	0.032206693	-0.073495034	0.16031135	0.11037917	0.0061484605	-0.50983781	0.083446763	0.05570967	-0.49587401	-0.41533699	0.21058293	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	1.4012926	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-1.4212339	-0.34473468	-0.22096832	0.21910343	0.57032511	0.4758696	0.48308525	-0.49881406	0.082990434	0.26264922	0.013224842	0.33177705	0.025071374	0.41969588	-0.12069825	0.12851249	-0.12496566	0.11453452	-0.76298284	0.16537861	0.33322354	-0.021254837	-0.43915548	-0.21376491	-0.41655999	-0.20398009	0.30269642	-0.02555048	0.11726618	-0.42979109	-0.2022748	-0.099324138	-0.036662709	0.29879346	0.12995853	0.011369769	-0.39997613	0.036603596	-0.44733358	-0.44152112	0.013860966	0.24876932	-0.077012151	-0.22096602	-0.21798947	-0.28709079	0.34329691	0.087634991	0.18832077	-0.10059798	0.58989256	0.08055382	-0.037800427
3	0.12025162	-0.10103831	-0.26906156	0.18278631	0.57378225	-0.34822971	-0.1133255	0.22658621	0.29947674	0.43629662	0.49294671	-0.89113756	-0.15892038	-0.17438959	-0.31851861	0.096763486	0.92976613	-0.22769704	-0.29874636	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	0.96917283	0.22784719	-0.29611739	-0.35129226	0.15565655	-0.31570004	0.2984723	-0.15339099	0.058938368	-0.11489372	0.075716304	0.14942092	0.37473793	-0.064938904	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	-1.5480539	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	1.5053936	-0.056818939	-0.20383639	-0.56403639	-0.0061631681	0.25285407	0.062647338	-0.44885696	-0.41863549	-0.01824457	0.44250901	-0.41056129	-0.31547431	0.15841894	0.34922827	-0.11030974	-0.044029519	-0.13417333	-0.19450408	-0.056212179	0.20194452	0.14460144	0.27066621	-0.15375427	-0.52817575	0.042755923	-0.15791956	-0.21177436	0.043879861	-0.46719624	0.0396788	0.38747575	0.13614942	-0.49849197	-0.24321182	0.35494704	0.1212334	0.12129652	0.31661934	0.15388134	0.26423986	-0.31109101	0.31542318	-0.18086581	-0.35622113
1	-0.2955736	-0.17692546	-0.2897114	-0.054271077	-0.12078785	-0.48239807	0.69196886	-0.2574836	0.15770072	0.061071975	0.59707665	-0.46601565	-0.091073534	0.15119873	0.58636584	-0.82276072	0.37002704	-0.18009336	0.020109142	-0.5351927	-0.076916564	0.019038565	0.071665061	-0.24649549	-0.061843496	-0.59356915	-0.15661756	0.077244043	-0.28808603	-0.11730538	-0.21164444	-0.58683764	0.14202418	-0.18535719	0.2756055	-0.52186983	-0.36771623	0.032712353	0.46863451	0.71099936	1.0531248	-0.42461507	-0.60299658	0.079147828	0.11317047	0.42761564	-0.051629447	0.052170717	0.12144612	0.012053991	-0.79324065	0.14862764	0.21141043	0.13946192	0.34299845	0.2923171	0.4284743	0.12787989	1.735	1.735	1.735	1.735	1.735	1.735	1.735	1.735	1.735	1.735	1.735	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	0.37155503	0.27052987	0.32537276	0.60735237	-0.17982808	-0.015701969	-0.25782171	0.27563699	-0.047775045	-0.16390367	0.11714505	0.75813273	0.0035928072	-0.15870397	-0.64436647	0.35943672	-0.36888837	-0.63575616	-0.071377398	1.735	1.735	1.735	1.735	1.735	1.735	1.735	1.735	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	-1.7931921	0.056924282	-0.22610003	-0.082560856	0.085543643	0.40094653	0.40877982	0.19881252	-0.68908168	-0.046807746	-0.26658705	0.13942548	0.043569768	-0.088226251	-0.091124661
1	-0.14007269	-0.010904211	0.042563336	-0.050555636	0.0576364	-0.17065266	-0.25681903	0.046399852	0.36096707	0.1790751	-0.11447551	0.059554366	-0.19245844	0.088008272	0.17355993	-0.11555549	-0.56907629	0.041435553	0.2661274	0.25747881	-0.63833059	0.10619508	0.44983557	0.17931436	0.3154736	-0.036970409	0.022850967	-0.024595292	0.70778528	-0.52244459	0.59212761	0.22071107	0.18185301	-0.044145899	0.43089009	-0.43131583	-0.50169683	0.1061332	-0.29800764	0.023050338	-0.088911021	0.18501991	-0.0092581976	-0.21364558	0.4326781	-0.32828769	-0.023916293	-0.031519762	-0.30464108	-0.33207353	0.50707414	0.18993649	-0.6527261	0.56945092	-0.22546262	0.025136267	0.59149534	0.72948721	-0.077936239	-0.40668064	0.24172653	-0.28989269	-0.77480431	-0.65037251	-0.29161804	-0.30084755	-0.18462035	0.487582	0.44090533	-0.051352449	0.55165001	-0.71687358	-0.36925971	-0.022614698	0.52983818	-0.33025848	0.21203616	-0.31698277	-0.31384374	-0.082449324	0.073484421	-0.14379202	0.027565977	0.52184539	-0.089614475	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-0.032359315	-0.23486658	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	1.7313344	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-1.7225561	-0.60446278	-0.51003801
