Dataset,,Level,Mean_Accuracy,CI_Lower,CI_Upper,Delta_CI,Mean_Interparticipant_Correlation,Delta_vs_Loyalty
Chinatown,0,L72,0.78,0.72,0.8400000000000001,0.1200000000000001,0.4381120690368087,0.06000000000000005
Chinatown,1,L92,0.8250000000000001,0.8,0.875,0.07499999999999996,0.27777777777777773,-0.09499999999999997
Chinatown,2,L100,0.76,0.6199999999999999,0.9199999999999999,0.30000000000000004,0.45806076208690955,-0.24
Chinatown,3,No Simp,0.6599999999999999,0.52,0.8,0.28,0.011133789209636502,-0.3400000000000001
ECG200,0,L82,0.6799999999999999,0.5399999999999999,0.78,0.2400000000000001,0.43381110438336573,-0.14
ECG200,1,L97,0.72,0.62,0.86,0.24,0.8678558171581822,-0.25
ECG200,2,L100,0.72,0.64,0.8,0.16000000000000003,0.09770620726159657,-0.28
ECG200,3,No Simp,0.725,0.7,0.7749999999999999,0.07499999999999996,0.30320766922426284,-0.275
SonyAIBORobotSurface1,0,L90,0.6749999999999999,0.625,0.7,0.07499999999999996,0.12261860571939405,-0.2250000000000001
SonyAIBORobotSurface1,1,L96,0.72,0.62,0.8200000000000001,0.20000000000000007,0.16578840883391227,-0.24
SonyAIBORobotSurface1,2,L100,0.76,0.6194999999999999,0.9199999999999999,0.3005,-0.07186547986749116,-0.24
SonyAIBORobotSurface1,3,No Simp,0.78,0.6799999999999999,0.8800000000000001,0.20000000000000018,0.47895523316562477,-0.21999999999999997
UMD,0,L95,0.9800000000000001,0.9400000000000001,1.0,0.05999999999999994,,0.030000000000000138
UMD,1,L99,1.0,1.0,1.0,0.0,,0.010000000000000009
UMD,2,L100,1.0,1.0,1.0,0.0,,0.0
UMD,3,No Simp,0.96,0.8800000000000001,1.0,0.11999999999999988,,-0.040000000000000036
