Dataset,Method,Value
Adiac,OS,20.734277786401236
Adiac,RDP,2.060606060606061
Adiac,VW,8.733547177643114
Adiac,BU_1,4.987528483488079
Adiac,BU_2,8.10637009828929
BME,OS,6.8358640725806445
BME,RDP,1.81
BME,VW,1.0
BME,BU_1,3.319200243358345
BME,BU_2,5.03840048671669
CBF,OS,29.289038277115896
CBF,RDP,2.034123779200976
CBF,VW,17.482595102869823
CBF,BU_1,3.18
CBF,BU_2,4.75
Chinatown,OS,6.4994078678970375
Chinatown,RDP,1.74
Chinatown,VW,5.036700106847984
Chinatown,BU_1,2.0
Chinatown,BU_2,2.24
DistalPhalanxOutlineAgeGroup,OS,14.455390791705938
DistalPhalanxOutlineAgeGroup,RDP,1.89
DistalPhalanxOutlineAgeGroup,VW,10.185015864390854
DistalPhalanxOutlineAgeGroup,BU_1,3.69
DistalPhalanxOutlineAgeGroup,BU_2,5.68
DistalPhalanxOutlineCorrect,OS,8.579183093270368
DistalPhalanxOutlineCorrect,RDP,1.04
DistalPhalanxOutlineCorrect,VW,10.442957142857143
DistalPhalanxOutlineCorrect,BU_1,3.426510714285714
DistalPhalanxOutlineCorrect,BU_2,5.853021428571428
DistalPhalanxTW,OS,15.206861802575109
DistalPhalanxTW,RDP,1.87
DistalPhalanxTW,VW,9.71965651746188
DistalPhalanxTW,BU_1,3.6499740693058076
DistalPhalanxTW,BU_2,5.539948138611615
ECG200,OS,11.731910946196662
ECG200,RDP,1.457142857142857
ECG200,VW,10.757142857142858
ECG200,BU_1,2.5478664192949907
ECG200,BU_2,3.9814471243042675
ECG5000,OS,1.0
ECG5000,RDP,3.2
ECG5000,VW,1.0
ECG5000,BU_1,1.0
ECG5000,BU_2,1.0
ECGFiveDays,OS,6.912000000000001
ECGFiveDays,RDP,2.046
ECGFiveDays,VW,1.0
ECGFiveDays,BU_1,2.0
ECGFiveDays,BU_2,2.81
ElectricDevices,OS,21.08299994389902
ElectricDevices,RDP,1.94
ElectricDevices,VW,5.11676053893583
ElectricDevices,BU_1,2.030030208134811
ElectricDevices,BU_2,2.2100604162696222
FacesUCR,OS,36.991970101161485
FacesUCR,RDP,2.0
FacesUCR,VW,11.948724911939756
FacesUCR,BU_1,2.6333450000000003
FacesUCR,BU_2,3.3266899999999997
GunPointAgeSpan,OS,4.951020408163265
