Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,2,0.0,0.005681818181818184,1.0
RDP,0.0,100,1.0,1.0,176.0
BU,0.0,100,1.0,1.0056818181818168,177.0
VW,0.0,100,1.0,1.0,176.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,34,0.2589820359281436,0.045741505968778656,8.05050505050505
RDP,0.01,80,0.7946506550218341,0.13355142332415063,23.505050505050505
BU,0.01,75,0.7386713594368676,0.10135445362718083,17.838383838383837
VW,0.01,91,0.9132530120481928,0.23071625344352617,40.60606060606061
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,43,0.3662551440329218,0.05836776859504133,10.272727272727273
RDP,0.02,67,0.6483516483516483,0.09349173553719009,16.454545454545453
BU,0.02,61,0.5818606202067356,0.08138200183654727,14.323232323232324
VW,0.02,87,0.8704329806958229,0.17780073461891643,31.292929292929294
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,58,0.5438300741739717,0.0684687786960514,12.05050505050505
RDP,0.03,46,0.40845546786922204,0.07024793388429752,12.363636363636363
BU,0.03,51,0.4732875193970295,0.07323232323232325,12.88888888888889
VW,0.03,87,0.8699934340118187,0.1534664830119375,27.01010101010101
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,62,0.5898555592878736,0.07610192837465564,13.393939393939394
RDP,0.04,39,0.32904100304981365,0.060778236914600554,10.696969696969697
BU,0.04,51,0.47317073170731705,0.06743572084481178,11.868686868686869
VW,0.04,83,0.8266389405713035,0.13940541781450877,24.535353535353536
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,65,0.625250501002004,0.0820133149678604,14.434343434343434
RDP,0.05,38,0.3182433958004065,0.054178145087235986,9.535353535353535
BU,0.05,48,0.43899999999999995,0.06227043158861341,10.95959595959596
VW,0.05,82,0.8155818540433926,0.12901744719926542,22.707070707070706
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,72,0.7039539262376786,0.08740817263544531,15.383838383838384
RDP,0.06,32,0.249915187153681,0.04987373737373738,8.777777777777779
BU,0.06,39,0.33764495985727017,0.05744949494949495,10.11111111111111
VW,0.06,75,0.740327868852459,0.12201561065197428,21.474747474747474
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,75,0.7371972126977104,0.09268824609733697,16.31313131313131
RDP,0.07,28,0.21084540249242167,0.04453627180899907,7.838383838383838
BU,0.07,37,0.3134228187919461,0.05423553719008262,9.545454545454545
VW,0.07,74,0.729449059903804,0.11575987144168956,20.373737373737374
