Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.64,0.0,0.0057142857142857125,1.0
RDP,0.0,1.0,1.0,1.0,175.0
BU,0.0,1.0,1.0,1.0057142857142858,176.0
VC,0.0,1.0,1.0,1.0,175.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.97,0.9352890422778257,0.09942857142857145,17.4
RDP,0.1,0.71,0.4295830055074744,0.028971428571428568,5.07
BU,0.1,0.85,0.6764452113891286,0.04325714285714286,7.57
VC,0.1,0.99,0.9784296807592753,0.09937142857142856,17.39
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.98,0.9571183533447685,0.1288,22.54
RDP,0.2,0.67,0.3436754176610979,0.02291428571428571,4.01
BU,0.2,0.86,0.6998284734133791,0.03445714285714286,6.03
VC,0.2,0.94,0.8713550600343053,0.0798857142857143,13.98
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.15634285714285714,27.36
RDP,0.30000000000000004,0.68,0.36,0.02285714285714285,4.0
BU,0.30000000000000004,0.75,0.4734625105307497,0.03045714285714286,5.33
VC,0.30000000000000004,0.95,0.8946925021061499,0.06942857142857144,12.15
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.1829714285714286,32.02
RDP,0.4,0.68,0.36,0.02285714285714285,4.0
BU,0.4,0.71,0.38192668371696503,0.02794285714285714,4.89
VC,0.4,0.96,0.9152542372881356,0.06365714285714287,11.14
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.21125714285714284,36.97
RDP,0.5,0.61,-0.05863192182410404,0.012457142857142856,2.18
BU,0.5,0.68,0.3055555555555556,0.026057142857142855,4.56
VC,0.5,0.94,0.8728813559322034,0.05834285714285715,10.21
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.2456571428571429,42.99
RDP,0.6000000000000001,0.64,0.0,0.011257142857142854,1.97
BU,0.6000000000000001,0.69,0.31476569407603894,0.024914285714285708,4.36
VC,0.6000000000000001,0.92,0.8324958123953099,0.053599999999999995,9.38
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.99,0.9781659388646288,0.2901714285714286,50.78
RDP,0.7000000000000001,0.64,0.0,0.00697142857142857,1.22
BU,0.7000000000000001,0.71,0.3342516069788798,0.023999999999999994,4.2
VC,0.7000000000000001,0.92,0.8305084745762712,0.050057142857142856,8.76
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,0.99,0.9781659388646288,0.3676571428571428,64.34
RDP,0.8,0.64,0.0,0.0057142857142857125,1.0
BU,0.8,0.72,0.35304990757855825,0.02331428571428571,4.08
VC,0.8,0.9,0.788135593220339,0.04782857142857143,8.37
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.5334857142857143,93.36
RDP,0.9,0.64,0.0,0.0057142857142857125,1.0
BU,0.9,0.72,0.35304990757855825,0.02308571428571428,4.04
VC,0.9,0.9,0.788135593220339,0.045371428571428576,7.94
LSF,0.9,0.0,0.0,0.0,0.0
