Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,3,-0.01734104046242768,0.005714285714285718,1.0
RDP,0.0,100,1.0,1.0,175.0
BU,0.0,100,1.0,1.0,175.0
BU,0.0,100,1.0,1.0,175.0
VW,0.0,100,1.0,1.0,175.0
OS,0.01,26,0.23942327930961904,0.04040404040404043,7.070707070707071
RDP,0.01,81,0.8111888111888113,0.1276190476190476,22.333333333333332
BU,0.01,76,0.7592768791627023,0.18776334776334783,32.85858585858586
BU,0.01,76,0.7592768791627023,0.18776334776334783,32.85858585858586
VW,0.01,89,0.895015906680806,0.14862914862914867,26.01010101010101
OS,0.02,36,0.3475258918296893,0.05165945165945168,9.04040404040404
RDP,0.02,61,0.6027874564459931,0.08854256854256858,15.494949494949495
BU,0.02,65,0.6451612903225806,0.1488600288600289,26.050505050505052
BU,0.02,65,0.6451612903225806,0.1488600288600289,26.050505050505052
VW,0.02,78,0.7796502384737679,0.11699855699855702,20.474747474747474
OS,0.03,42,0.4100365917407214,0.06193362193362194,10.83838383838384
RDP,0.03,53,0.5199240986717268,0.06493506493506496,11.363636363636363
BU,0.03,59,0.5836399957943434,0.12969696969696967,22.696969696969695
BU,0.03,59,0.5836399957943434,0.12969696969696967,22.696969696969695
VW,0.03,73,0.7276190476190476,0.10285714285714286,18.0
OS,0.04,47,0.46167520652514904,0.06880230880230882,12.04040404040404
RDP,0.04,43,0.41494301392992816,0.05523809523809524,9.666666666666666
BU,0.04,55,0.5417630969913738,0.11803751803751805,20.656565656565657
BU,0.04,55,0.5417630969913738,0.11803751803751805,20.656565656565657
VW,0.04,67,0.6655052264808363,0.09229437229437233,16.151515151515152
OS,0.05,50,0.4925732217573222,0.0744588744588745,13.030303030303031
RDP,0.05,40,0.3837307448828866,0.04877344877344879,8.535353535353535
BU,0.05,52,0.5105196717862402,0.10834054834054829,18.95959595959596
BU,0.05,52,0.5105196717862402,0.10834054834054829,18.95959595959596
VW,0.05,63,0.6238522427440634,0.08652236652236658,15.141414141414142
OS,0.06,61,0.6049979000419992,0.08046176046176047,14.080808080808081
RDP,0.06,35,0.32959475187810805,0.044444444444444446,7.777777777777778
BU,0.06,46,0.4476842105263158,0.09898989898989895,17.32323232323232
BU,0.06,46,0.4476842105263158,0.09898989898989895,17.32323232323232
VW,0.06,62,0.613770560944749,0.08115440115440113,14.202020202020202
OS,0.07,63,0.6255515864677453,0.08490620490620494,14.858585858585858
RDP,0.07,29,0.2663561295786576,0.03936507936507936,6.888888888888889
BU,0.07,44,0.42792603488127756,0.09217893217893215,16.13131313131313
BU,0.07,44,0.42792603488127756,0.09217893217893215,16.13131313131313
VW,0.07,57,0.5619930475086906,0.07705627705627704,13.484848484848484
OS,0.08,68,0.6775583105694474,0.08975468975468974,15.707070707070708
RDP,0.08,29,0.26370590735231625,0.03567099567099565,6.242424242424242
BU,0.08,39,0.3753943217665615,0.0881385281385281,15.424242424242424
BU,0.08,39,0.3753943217665615,0.0881385281385281,15.424242424242424
VW,0.08,53,0.5211356466876972,0.07341991341991343,12.848484848484848
OS,0.09,69,0.6874342243738161,0.09419913419913414,16.484848484848484
RDP,0.09,22,0.1901625411664719,0.03261183261183259,5.707070707070707
BU,0.09,34,0.32305912055543873,0.0844444444444444,14.777777777777779
BU,0.09,34,0.32305912055543873,0.0844444444444444,14.777777777777779
VW,0.09,52,0.5106740982227364,0.07093795093795097,12.414141414141413
OS,0.1,68,0.6768453195746025,0.09766233766233764,17.09090909090909
RDP,0.1,18,0.1472777541471716,0.029610389610389583,5.181818181818182
BU,0.1,34,0.3239125866778735,0.08040404040404038,14.070707070707071
BU,0.1,34,0.3239125866778735,0.08040404040404038,14.070707070707071
VW,0.1,51,0.5014164305949008,0.0686868686868687,12.02020202020202
OS,0.11,72,0.7180677143761207,0.10083694083694081,17.646464646464647
RDP,0.11,15,0.11248665955176085,0.027763347763347733,4.858585858585859
BU,0.11,32,0.3026703111858705,0.07763347763347765,13.585858585858587
BU,0.11,32,0.3026703111858705,0.07763347763347765,13.585858585858587
VW,0.11,51,0.5012070956229664,0.06649350649350651,11.636363636363637
OS,0.12,73,0.7283090563647878,0.104011544011544,18.2020202020202
RDP,0.12,12,0.0792174470814625,0.026031746031746014,4.555555555555555
BU,0.12,32,0.30016881198565104,0.07405483405483405,12.95959595959596
BU,0.12,32,0.30016881198565104,0.07405483405483405,12.95959595959596
VW,0.12,49,0.4804785894206549,0.06476190476190478,11.333333333333334
OS,0.13,76,0.7595057034220533,0.10707070707070711,18.737373737373737
RDP,0.13,11,0.06823529411764706,0.024761904761904745,4.333333333333333
BU,0.13,29,0.2692956558414171,0.0718614718614719,12.575757575757576
BU,0.13,29,0.2692956558414171,0.0718614718614719,12.575757575757576
VW,0.13,47,0.4595842956120093,0.06297258297258297,11.02020202020202
OS,0.14,79,0.7906534150983294,0.10961038961038962,19.181818181818183
RDP,0.14,11,0.06753719362089272,0.024126984126984115,4.222222222222222
BU,0.14,27,0.24865605565510696,0.07012987012987015,12.272727272727273
BU,0.14,27,0.24865605565510696,0.07012987012987015,12.272727272727273
VW,0.14,46,0.44913385826771657,0.06204906204906207,10.858585858585858
OS,0.15,80,0.8008259212198221,0.11226551226551226,19.646464646464647
RDP,0.15,11,0.06853416016251468,0.023838383838383832,4.171717171717172
BU,0.15,27,0.24865605565510707,0.06909090909090913,12.090909090909092
BU,0.15,27,0.24865605565510707,0.06909090909090913,12.090909090909092
VW,0.15,42,0.40786988457502626,0.06037518037518039,10.565656565656566
OS,0.16,83,0.8323809523809524,0.11503607503607503,20.13131313131313
RDP,0.16,11,0.06733754416015425,0.02349206349206349,4.111111111111111
BU,0.16,26,0.23878238887718561,0.0682828282828283,11.94949494949495
BU,0.16,26,0.23878238887718561,0.0682828282828283,11.94949494949495
VW,0.16,40,0.3873505349276275,0.05939393939393942,10.393939393939394
OS,0.17,83,0.8322922181048173,0.11792207792207787,20.636363636363637
RDP,0.17,11,0.06743737957610796,0.02326118326118327,4.070707070707071
BU,0.17,26,0.23942327930961904,0.06724386724386729,11.767676767676768
BU,0.17,26,0.23942327930961904,0.06724386724386729,11.767676767676768
VW,0.17,40,0.3873505349276274,0.05806637806637807,10.16161616161616
OS,0.18,81,0.8112887853436408,0.12121212121212117,21.21212121212121
RDP,0.18,11,0.06743737957610796,0.023203463203463212,4.0606060606060606
BU,0.18,24,0.21866778911922546,0.06551226551226556,11.464646464646465
BU,0.18,24,0.21866778911922546,0.06551226551226556,11.464646464646465
VW,0.18,36,0.34650041911148377,0.05639249639249638,9.868686868686869
OS,0.19,83,0.8321856128827206,0.12392496392496387,21.68686868686869
RDP,0.19,10,0.05684007707129102,0.023145743145743154,4.05050505050505
BU,0.19,20,0.17499999999999993,0.0634343434343435,11.1010101010101
BU,0.19,20,0.17499999999999993,0.0634343434343435,11.1010101010101
VW,0.19,32,0.30537229029217716,0.05489177489177491,9.606060606060606
OS,0.2,82,0.8216594256649359,0.12704184704184698,22.232323232323232
RDP,0.2,10,0.05684007707129102,0.023145743145743154,4.05050505050505
BU,0.2,20,0.17465175179400583,0.0627417027417028,10.97979797979798
BU,0.2,20,0.17465175179400583,0.0627417027417028,10.97979797979798
VW,0.2,29,0.27419354838709675,0.053679653679653695,9.393939393939394
OS,0.21,84,0.8425739425421392,0.1292929292929292,22.626262626262626
RDP,0.21,10,0.0562339331619538,0.023088023088023102,4.040404040404041
BU,0.21,18,0.15420314312836203,0.062164502164502214,10.878787878787879
BU,0.21,18,0.15420314312836203,0.062164502164502214,10.878787878787879
VW,0.21,30,0.28366191275167796,0.05246753246753248,9.181818181818182
OS,0.22,84,0.8425739425421392,0.1326984126984127,23.22222222222222
RDP,0.22,10,0.0562339331619538,0.023088023088023102,4.040404040404041
BU,0.22,18,0.1544706874736399,0.06135642135642142,10.737373737373737
BU,0.22,18,0.1544706874736399,0.06135642135642142,10.737373737373737
VW,0.22,32,0.3044982698961939,0.05165945165945168,9.04040404040404
OS,0.23,85,0.85306901303933,0.1340836940836941,23.464646464646464
RDP,0.23,10,0.0562339331619538,0.023088023088023102,4.040404040404041
BU,0.23,18,0.1544706874736399,0.06066378066378074,10.616161616161616
BU,0.23,18,0.1544706874736399,0.06066378066378074,10.616161616161616
VW,0.23,32,0.30471698113207535,0.05102453102453103,8.929292929292929
OS,0.24,86,0.8635351500371117,0.13593073593073596,23.78787878787879
RDP,0.24,10,0.0562339331619538,0.023088023088023102,4.040404040404041
BU,0.24,17,0.14430273005164973,0.05974025974025981,10.454545454545455
BU,0.24,17,0.14430273005164973,0.05974025974025981,10.454545454545455
VW,0.24,32,0.3041334452370962,0.04992784992784992,8.737373737373737
OS,0.25,88,0.8845174973488865,0.1391630591630592,24.353535353535353
RDP,0.25,10,0.0562339331619538,0.023088023088023102,4.040404040404041
BU,0.25,16,0.1350526315789473,0.058932178932179016,10.313131313131313
BU,0.25,16,0.1350526315789473,0.058932178932179016,10.313131313131313
VW,0.25,30,0.2837370242214533,0.048946608946608954,8.565656565656566
OS,0.26,88,0.8845052497613745,0.14170274170274175,24.7979797979798
RDP,0.26,9,0.045629820051413916,0.023030303030303043,4.03030303030303
BU,0.26,16,0.13432364096080918,0.05789321789321796,10.131313131313131
BU,0.26,16,0.13432364096080918,0.05789321789321796,10.131313131313131
VW,0.26,30,0.2838121199412875,0.04831168831168831,8.454545454545455
OS,0.27,87,0.8740190880169671,0.14412698412698416,25.22222222222222
RDP,0.27,9,0.045629820051413916,0.023030303030303043,4.03030303030303
BU,0.27,16,0.13505263157894754,0.05673881673881681,9.929292929292929
BU,0.27,16,0.13505263157894754,0.05673881673881681,9.929292929292929
VW,0.27,31,0.29300567107750475,0.047388167388167396,8.292929292929292
OS,0.28,87,0.8740858505564388,0.14626262626262626,25.595959595959595
RDP,0.28,9,0.045629820051413916,0.023030303030303043,4.03030303030303
BU,0.28,16,0.13541666666666674,0.05581529581529589,9.767676767676768
BU,0.28,16,0.13541666666666674,0.05581529581529589,9.767676767676768
VW,0.28,30,0.28275934481310383,0.046695526695526714,8.171717171717171
OS,0.29,86,0.8635640835365207,0.14857142857142863,26.0
RDP,0.29,9,0.045629820051413916,0.023030303030303043,4.03030303030303
BU,0.29,17,0.14592319831667544,0.05500721500721508,9.626262626262626
BU,0.29,17,0.14592319831667544,0.05500721500721508,9.626262626262626
VW,0.29,30,0.2830604534005038,0.046060606060606094,8.06060606060606
OS,0.3,85,0.8529910903691134,0.15122655122655132,26.464646464646464
RDP,0.3,9,0.045629820051413916,0.023030303030303043,4.03030303030303
