Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.53,-0.04351687388987546,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,0.9776377952755905,124.16
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.07354330708661416,9.34
RDP,0.1,1.0,1.0,0.06291338582677167,7.99
BU,0.1,1.0,1.0,0.04874015748031496,6.19
VC,0.1,1.0,1.0,0.10740157480314962,13.64
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.11448818897637797,14.54
RDP,0.2,1.0,1.0,0.03976377952755906,5.05
BU,0.2,1.0,1.0,0.04377952755905511,5.56
VC,0.2,1.0,1.0,0.07511811023622046,9.54
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.1325984251968504,16.84
RDP,0.30000000000000004,1.0,1.0,0.021102362204724407,2.68
BU,0.30000000000000004,1.0,1.0,0.039606299212598416,5.03
VC,0.30000000000000004,1.0,1.0,0.06527559055118111,8.29
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.16259842519685042,20.65
RDP,0.4,0.82,0.08256880733944938,0.00952755905511811,1.21
BU,0.4,1.0,1.0,0.03826771653543306,4.86
VC,0.4,1.0,1.0,0.059133858267716534,7.51
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.21763779527559063,27.64
RDP,0.5,0.81,0.0,0.008031496062992124,1.02
BU,0.5,1.0,1.0,0.03590551181102361,4.56
VC,0.5,1.0,1.0,0.055669291338582685,7.07
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.33779527559055117,42.9
RDP,0.6000000000000001,0.81,0.0,0.007874015748031496,1.0
BU,0.6000000000000001,1.0,1.0,0.03015748031496063,3.83
VC,0.6000000000000001,1.0,1.0,0.0525984251968504,6.68
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.4671653543307086,59.33
RDP,0.7000000000000001,0.81,0.0,0.007874015748031496,1.0
BU,0.7000000000000001,0.99,0.96684350132626,0.0252755905511811,3.21
VC,0.7000000000000001,1.0,1.0,0.05125984251968504,6.51
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.5779527559055118,73.4
RDP,0.8,0.81,0.0,0.007874015748031496,1.0
BU,0.8,0.99,0.96684350132626,0.02,2.54
VC,0.8,1.0,1.0,0.050393700787401574,6.4
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6928346456692914,87.99
RDP,0.9,0.81,0.0,0.007874015748031496,1.0
BU,0.9,0.98,0.9350227420402859,0.017244094488188973,2.19
VC,0.9,1.0,1.0,0.04992125984251969,6.34
LSF,0.9,0.0,0.0,0.0,0.0
