Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.631578947368421,-0.01526717557251911,0.0019569471624266144
RDP,0.0,1.0,1.0,0.9991760222473993
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.1,0.9473684210526315,0.8549618320610687,0.14100319291379132
RDP,0.1,0.9473684210526315,0.8549618320610687,0.040168915439283144
BU,0.1,0.9473684210526315,0.8549618320610687,0.08950458337624885
VC,0.1,0.9473684210526315,0.8549618320610687,0.11010402719126582
OS,0.2,1.0,1.0,0.19641569677618703
RDP,0.2,0.9473684210526315,0.8549618320610687,0.033680090637552784
BU,0.2,0.9473684210526315,0.8549618320610687,0.07714491708723864
VC,0.2,0.9473684210526315,0.8549618320610687,0.0829127613554434
OS,0.30000000000000004,1.0,1.0,0.2760325471212277
RDP,0.30000000000000004,0.8947368421052632,0.7285714285714286,0.02719126583582243
BU,0.30000000000000004,0.9473684210526315,0.8549618320610687,0.069111133999382
VC,0.30000000000000004,0.9473684210526315,0.8549618320610687,0.07065609228550829
OS,0.4,1.0,1.0,0.3949943351529508
RDP,0.4,0.7894736842105263,0.5189873417721519,0.016273560613863425
BU,0.4,0.9473684210526315,0.8549618320610687,0.06540323411267895
VC,0.4,0.9473684210526315,0.8549618320610687,0.06416726748377793
OS,0.5,1.0,1.0,0.5397054279534452
RDP,0.5,0.6842105263157895,0.18571428571428572,0.009372746935832732
BU,0.5,0.9473684210526315,0.8549618320610687,0.061901328664126065
VC,0.5,0.9473684210526315,0.8549618320610687,0.058708414872798424
OS,0.6000000000000001,1.0,1.0,0.662890101967247
RDP,0.6000000000000001,0.6842105263157895,0.2784810126582279,0.006282830363580183
BU,0.6000000000000001,0.9473684210526315,0.8549618320610687,0.05819342877742301
VC,0.6000000000000001,0.9473684210526315,0.8549618320610687,0.05561849830054588
OS,0.7000000000000001,1.0,1.0,0.7338551859099804
RDP,0.7000000000000001,0.5263157894736842,0.07567567567567568,0.003913894324853229
BU,0.7000000000000001,0.9473684210526315,0.8549618320610687,0.05530950664332063
VC,0.7000000000000001,0.9473684210526315,0.8549618320610687,0.05098362344216706
OS,0.8,1.0,1.0,0.7947265423833556
RDP,0.8,0.7368421052631579,0.36241610738255037,0.002677927695952209
BU,0.8,0.9473684210526315,0.8549618320610687,0.052013595632917915
VC,0.8,0.9473684210526315,0.8549618320610687,0.04892367906066535
OS,0.9,1.0,1.0,0.858172829333608
RDP,0.9,0.8421052631578947,0.49557522123893805,0.0021629416005767843
BU,0.9,0.9473684210526315,0.8549618320610687,0.049953651251416216
VC,0.9,0.9473684210526315,0.8549618320610687,0.047378720774539085
