Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.3157894736842105,0.0,0.0019569471624266144
RDP,0.0,1.0,1.0,0.9991760222473993
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.1,1.0,1.0,0.10011329694098257
RDP,0.1,1.0,1.0,0.0178185188999897
BU,0.1,1.0,1.0,0.059223400968173856
VC,0.1,1.0,1.0,0.0829127613554434
OS,0.2,1.0,1.0,0.15418683695540222
RDP,0.2,0.8947368421052632,0.7564102564102564,0.013389638479761046
BU,0.2,0.9473684210526315,0.8834355828220859,0.04480379029766196
VC,0.2,1.0,1.0,0.059841384282624366
OS,0.30000000000000004,1.0,1.0,0.22916881244206405
RDP,0.30000000000000004,0.7368421052631579,0.46327683615819215,0.009269749716757647
BU,0.30000000000000004,0.9473684210526315,0.8834355828220859,0.0410958904109589
VC,0.30000000000000004,1.0,1.0,0.05077762900401689
OS,0.4,1.0,1.0,0.304253785147801
RDP,0.4,0.7368421052631579,0.46327683615819215,0.007003810897105778
BU,0.4,0.8947368421052632,0.7564102564102564,0.03635801833350499
VC,0.4,1.0,1.0,0.04593675970748789
OS,0.5,1.0,1.0,0.40344010711710776
RDP,0.5,0.7368421052631579,0.46327683615819215,0.004325883201153569
BU,0.5,0.8947368421052632,0.7564102564102564,0.03265011844680194
VC,0.5,1.0,1.0,0.04150787928725924
OS,0.6000000000000001,1.0,1.0,0.5267277783499845
RDP,0.6000000000000001,0.631578947368421,0.35121951219512204,0.003089916572252549
BU,0.6000000000000001,0.8947368421052632,0.7564102564102564,0.02956020187454939
VC,0.6000000000000001,1.0,1.0,0.03821196827685652
OS,0.7000000000000001,1.0,1.0,0.6361108250077249
RDP,0.7000000000000001,0.42105263157894735,0.10300429184549353,0.0021629416005767843
BU,0.7000000000000001,0.8947368421052632,0.7564102564102564,0.027706251931197853
VC,0.7000000000000001,1.0,1.0,0.03543104336182923
OS,0.8,1.0,1.0,0.7193325780203934
RDP,0.8,0.42105263157894735,0.10300429184549353,0.0019569471624266144
BU,0.8,0.8947368421052632,0.7564102564102564,0.026882274178597173
VC,0.8,1.0,1.0,0.033577093418477706
OS,0.9,1.0,1.0,0.7955505201359563
RDP,0.9,0.42105263157894735,0.10300429184549353,0.0019569471624266144
BU,0.9,0.8947368421052632,0.7564102564102564,0.025852301987846327
VC,0.9,1.0,1.0,0.032856112884952104
