Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,25,0.0,0.0078125,1.0
RDP,0.0,100,1.0,1.0,128.0
BU_1,0.0,100,1.0,1.0078125,129.0
BU_2,0.0,100,1.0,1.0,128.0
VW,0.0,100,1.0,1.0,128.0
OS,0.01,57,0.3826253123621932,0.035390625,4.53
RDP,0.01,100,1.0,0.895078125,114.57
BU_1,0.01,100,1.0,0.361328125,46.25
BU_2,0.01,100,1.0,0.708984375,90.75
VW,0.01,100,1.0,0.899609375,115.15
OS,0.02,61,0.41799731383375605,0.04046875,5.18
RDP,0.02,100,1.0,0.799296875,102.31
BU_1,0.02,100,1.0,0.256875,32.88
BU_2,0.02,100,1.0,0.500390625,64.05
VW,0.02,100,1.0,0.81703125,104.58
OS,0.03,62,0.4285714285714286,0.04421875,5.66
RDP,0.03,100,1.0,0.708125,90.64
BU_1,0.03,94,0.9082007343941249,0.200234375,25.63
BU_2,0.03,94,0.9082007343941249,0.387109375,49.55
VW,0.03,100,1.0,0.745703125,95.45
OS,0.04,64,0.4586466165413534,0.049375,6.32
RDP,0.04,100,1.0,0.629609375,80.59
BU_1,0.04,87,0.8015267175572519,0.16796875,21.5
BU_2,0.04,87,0.8015267175572519,0.32265625,41.3
VW,0.04,100,1.0,0.688671875,88.15
OS,0.05,64,0.4558645707376058,0.058125,7.44
RDP,0.05,100,1.0,0.56296875,72.06
BU_1,0.05,82,0.7272313986967722,0.142890625,18.29
BU_2,0.05,82,0.7272313986967722,0.2725,34.88
VW,0.05,100,1.0,0.64515625,82.58
OS,0.06,64,0.45446279739354445,0.075390625,9.65
RDP,0.06,100,1.0,0.50078125,64.1
BU_1,0.06,75,0.6195404048090094,0.12390625,15.86
BU_2,0.06,75,0.6195404048090094,0.23453125,30.02
VW,0.06,100,1.0,0.60546875,77.5
OS,0.07,66,0.48147018453561075,0.10171875,13.02
RDP,0.07,100,1.0,0.44390625,56.82
BU_1,0.07,71,0.5567782362830507,0.11046875,14.14
BU_2,0.07,71,0.5567782362830507,0.20765625,26.58
VW,0.07,100,1.0,0.569453125,72.89
OS,0.08,72,0.5725843382689665,0.13609375,17.42
RDP,0.08,100,1.0,0.39328125,50.34
BU_1,0.08,68,0.5146367359320492,0.1,12.8
BU_2,0.08,68,0.5146367359320492,0.18671875,23.9
VW,0.08,100,1.0,0.5365625,68.68
OS,0.09,80,0.6980220443907594,0.1834375,23.48
RDP,0.09,98,0.9694935936546675,0.3471875,44.44
BU_1,0.09,67,0.5013599274705349,0.0921875,11.8
BU_2,0.09,67,0.5013599274705349,0.17109375,21.9
VW,0.09,100,1.0,0.507734375,64.99
OS,0.1,88,0.81704528129288,0.23640625,30.26
RDP,0.1,98,0.9693345599509353,0.30515625,39.06
BU_1,0.1,65,0.4737633438580665,0.086015625,11.01
BU_2,0.1,65,0.4737633438580665,0.15875,20.32
VW,0.1,100,1.0,0.47921875,61.34
OS,0.11,99,0.9846860643185299,0.296484375,37.95
