Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.54,0.05544147843942515,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,1.0,127.0
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.93,0.8594377510040161,0.23669291338582682,30.06
RDP,0.1,0.9,0.8003992015968064,0.3051181102362205,38.75
BU,0.1,0.83,0.6558704453441295,0.07913385826771652,10.05
VC,0.1,0.96,0.9191919191919192,0.48023622047244097,60.99
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.98,0.9595959595959596,0.6249606299212597,79.37
RDP,0.2,0.81,0.6153846153846154,0.07102362204724409,9.02
BU,0.2,0.81,0.610655737704918,0.046614173228346455,5.92
VC,0.2,0.94,0.8792756539235412,0.3006299212598425,38.18
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.979757085020243,0.7814173228346458,99.24
RDP,0.30000000000000004,0.57,0.14682539682539675,0.0258267716535433,3.28
BU,0.30000000000000004,0.82,0.6348884381338742,0.03472440944881889,4.41
VC,0.30000000000000004,0.9,0.7995991983967936,0.22472440944881897,28.54
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.8603149606299213,109.26
RDP,0.4,0.55,0.08906882591093113,0.016535433070866138,2.1
BU,0.4,0.82,0.6378269617706238,0.02803149606299213,3.56
VC,0.4,0.89,0.7808764940239044,0.18078740157480314,22.96
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.9098425196850394,115.55
RDP,0.5,0.53,-0.026200873362445476,0.009212598425196849,1.17
BU,0.5,0.83,0.6599999999999999,0.025196850393700787,3.2
VC,0.5,0.85,0.7,0.1511811023622047,19.2
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.9414173228346453,119.56
RDP,0.6000000000000001,0.55,0.004424778761062065,0.00795275590551181,1.01
BU,0.6000000000000001,0.82,0.6421471172962226,0.023228346456692917,2.95
VC,0.6000000000000001,0.81,0.62,0.1290551181102362,16.39
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.9606299212598424,122.0
RDP,0.7000000000000001,0.54,-0.019955654101995624,0.007874015748031496,1.0
BU,0.7000000000000001,0.78,0.5643564356435644,0.021023622047244093,2.67
VC,0.7000000000000001,0.8,0.6007984031936128,0.11236220472440944,14.27
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.9776377952755907,124.16
RDP,0.8,0.54,-0.019955654101995624,0.007874015748031496,1.0
BU,0.8,0.72,0.4477317554240632,0.01968503937007874,2.5
VC,0.8,0.83,0.657258064516129,0.10141732283464566,12.88
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.9900000000000001,125.73
RDP,0.9,0.54,-0.019955654101995624,0.007874015748031496,1.0
BU,0.9,0.73,0.46850393700787396,0.01874015748031496,2.38
VC,0.9,0.81,0.6169354838709677,0.09251968503937008,11.75
LSF,0.9,0.0,0.0,0.0,0.0
