Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.92,-0.01781170483460559,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,1.0,127.0
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.97,0.7838616714697406,0.23669291338582682,30.06
RDP,0.1,0.96,0.6460176991150443,0.3051181102362205,38.75
BU,0.1,0.95,0.6397694524495677,0.07913385826771652,10.05
VC,0.1,0.99,0.9279538904899135,0.48023622047244097,60.99
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9279538904899135,0.6249606299212597,79.37
RDP,0.2,0.94,0.592944369063772,0.07102362204724409,9.02
BU,0.2,0.95,0.6397694524495677,0.046614173228346455,5.92
VC,0.2,0.95,0.6397694524495677,0.3006299212598425,38.18
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.9279538904899135,0.7814173228346458,99.24
RDP,0.30000000000000004,0.9,0.11504424778761069,0.0258267716535433,3.28
BU,0.30000000000000004,0.93,0.49567723342939485,0.03472440944881889,4.41
VC,0.30000000000000004,0.95,0.6794871794871795,0.22472440944881897,28.54
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.8603149606299213,109.26
RDP,0.4,0.89,0.20749279538904908,0.016535433070866138,2.1
BU,0.4,0.96,0.6927803379416282,0.02803149606299213,3.56
VC,0.4,0.94,0.592944369063772,0.18078740157480314,22.96
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.9098425196850394,115.55
RDP,0.5,0.84,0.1959798994974874,0.009212598425196849,1.17
BU,0.5,0.93,0.42434210526315785,0.025196850393700787,3.2
VC,0.5,0.96,0.7286295793758479,0.1511811023622047,19.2
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.9414173228346453,119.56
RDP,0.6000000000000001,0.81,0.15480427046263334,0.00795275590551181,1.01
BU,0.6000000000000001,0.92,0.3855606758832565,0.023228346456692917,2.95
VC,0.6000000000000001,0.95,0.6397694524495677,0.1290551181102362,16.39
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.9606299212598424,122.0
RDP,0.7000000000000001,0.8,0.14310197086546717,0.007874015748031496,1.0
BU,0.7000000000000001,0.92,0.3855606758832565,0.021023622047244093,2.67
VC,0.7000000000000001,0.94,0.5391705069124424,0.11236220472440944,14.27
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.9776377952755907,124.16
RDP,0.8,0.8,0.14310197086546717,0.007874015748031496,1.0
BU,0.8,0.91,0.35158501440922196,0.01968503937007874,2.5
VC,0.8,0.94,0.5391705069124424,0.10141732283464566,12.88
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.9900000000000001,125.73
RDP,0.9,0.8,0.14310197086546717,0.007874015748031496,1.0
BU,0.9,0.91,0.35158501440922196,0.01874015748031496,2.38
VC,0.9,0.92,0.457259158751696,0.09251968503937008,11.75
LSF,0.9,0.0,0.0,0.0,0.0
