Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,33,0.0,0.007874015748031484,1.0
RDP,0.0,100,1.0,1.0,127.0
BU,0.0,100,1.0,1.0,127.0
BU,0.0,100,1.0,1.0,127.0
VW,0.0,100,1.0,1.0,127.0
OS,0.01,33,0.0,0.028818897637795236,3.66
RDP,0.01,100,1.0,0.8941732283464562,113.56
BU,0.01,100,1.0,0.7022047244094485,89.18
BU,0.01,100,1.0,0.7022047244094485,89.18
VW,0.01,100,1.0,0.7437007874015745,94.45
OS,0.02,33,0.0,0.03204724409448815,4.07
RDP,0.02,100,1.0,0.7977952755905505,101.32
BU,0.02,100,1.0,0.4943307086614173,62.78
BU,0.02,100,1.0,0.4943307086614173,62.78
VW,0.02,100,1.0,0.6023622047244093,76.5
OS,0.03,33,0.0,0.03519685039370074,4.47
RDP,0.03,100,1.0,0.705826771653543,89.64
BU,0.03,98,0.955456570155902,0.3792125984251971,48.16
BU,0.03,98,0.955456570155902,0.3792125984251971,48.16
VW,0.03,100,1.0,0.5038582677165355,63.99
OS,0.04,33,0.0,0.0392125984251968,4.98
RDP,0.04,100,1.0,0.6261417322834641,79.52
BU,0.04,95,0.8911149825783973,0.3122834645669296,39.66
BU,0.04,95,0.8911149825783973,0.3122834645669296,39.66
VW,0.04,100,1.0,0.4230708661417322,53.73
OS,0.05,33,0.0,0.047716535433070806,6.06
RDP,0.05,100,1.0,0.5583464566929134,70.91
BU,0.05,86,0.7141690485912617,0.2645669291338586,33.6
BU,0.05,86,0.7141690485912617,0.2645669291338586,33.6
VW,0.05,100,1.0,0.36338582677165365,46.15
OS,0.06,33,0.0,0.06456692913385818,8.2
RDP,0.06,100,1.0,0.4954330708661418,62.92
BU,0.06,72,0.47897283215481945,0.22724409448818922,28.86
BU,0.06,72,0.47897283215481945,0.22724409448818922,28.86
VW,0.06,100,1.0,0.32338582677165356,41.07
OS,0.07,33,0.01932084309133475,0.09007874015748023,11.44
RDP,0.07,100,1.0,0.4386614173228348,55.71
BU,0.07,66,0.39046253137325204,0.2026771653543308,25.74
BU,0.07,66,0.39046253137325204,0.2026771653543308,25.74
VW,0.07,100,1.0,0.2877952755905511,36.55
OS,0.08,42,0.09289959336878317,0.1244881889763778,15.81
RDP,0.08,100,1.0,0.3869291338582677,49.14
BU,0.08,52,0.20713577799801797,0.18031496062992122,22.9
BU,0.08,52,0.20713577799801797,0.18031496062992122,22.9
VW,0.08,100,1.0,0.2594488188976378,32.95
OS,0.09,62,0.3349667483374169,0.17196850393700772,21.84
RDP,0.09,100,1.0,0.3383464566929134,42.97
BU,0.09,47,0.14845758354755778,0.1639370078740156,20.82
BU,0.09,47,0.14845758354755778,0.1639370078740156,20.82
VW,0.09,100,1.0,0.23590551181102357,29.96
OS,0.1,80,0.6079968639749118,0.22425196850393703,28.48
RDP,0.1,100,1.0,0.29574803149606305,37.56
BU,0.1,42,0.09289959336878317,0.15039370078740139,19.1
BU,0.1,42,0.09289959336878317,0.15039370078740139,19.1
VW,0.1,99,0.9775583482944344,0.2172440944881889,27.59
OS,0.11,98,0.955456570155902,0.2859842519685039,36.32
RDP,0.11,100,1.0,0.25905511811023624,32.9
BU,0.11,33,0.024034959941733547,0.13921259842519665,17.68
BU,0.11,33,0.024034959941733547,0.13921259842519665,17.68
VW,0.11,99,0.9775583482944344,0.20330708661417318,25.82
OS,0.12,100,1.0,0.3393700787401577,43.1
RDP,0.12,99,0.9775583482944344,0.22401574803149601,28.45
BU,0.12,33,0.028703972165845082,0.1278740157480313,16.24
BU,0.12,33,0.028703972165845082,0.1278740157480313,16.24
VW,0.12,97,0.9336870026525199,0.18913385826771645,24.02
OS,0.13,100,1.0,0.38629921259842526,49.06
RDP,0.13,97,0.9336870026525199,0.19511811023622033,24.78
BU,0.13,33,0.024034959941733547,0.11921259842519669,15.14
BU,0.13,33,0.024034959941733547,0.11921259842519669,15.14
VW,0.13,96,0.9122422114962703,0.17897637795275576,22.73
OS,0.14,100,1.0,0.4288976377952757,54.47
RDP,0.14,93,0.849785407725322,0.17118110236220457,21.74
BU,0.14,33,0.014560964847771696,0.11149606299212583,14.16
BU,0.14,33,0.014560964847771696,0.11149606299212583,14.16
VW,0.14,95,0.8911149825783973,0.169291338582677,21.5
OS,0.15,100,1.0,0.4706299212598426,59.77
RDP,0.15,86,0.7141690485912617,0.1466929133858266,18.63
BU,0.15,33,0.009754655631096565,0.10503937007874002,13.34
BU,0.15,33,0.009754655631096565,0.10503937007874002,13.34
VW,0.15,93,0.849785407725322,0.16157480314960612,20.52
OS,0.16,100,1.0,0.505669291338583,64.22
RDP,0.16,77,0.558032282859339,0.12779527559055104,16.23
BU,0.16,33,0.009754655631096565,0.09858267716535421,12.52
BU,0.16,33,0.009754655631096565,0.09858267716535421,12.52
VW,0.16,88,0.7515527950310559,0.15346456692913368,19.49
OS,0.17,100,1.0,0.5362204724409451,68.1
RDP,0.17,68,0.41923774954627946,0.10779527559055105,13.69
BU,0.17,33,0.00490123273429377,0.09291338582677154,11.8
BU,0.17,33,0.00490123273429377,0.09291338582677154,11.8
VW,0.17,86,0.7141690485912617,0.14511811023622032,18.43
OS,0.18,100,1.0,0.5668503937007873,71.99
RDP,0.18,56,0.2692046227056425,0.09244094488188964,11.74
BU,0.18,33,0.00490123273429377,0.08992125984251959,11.42
BU,0.18,33,0.00490123273429377,0.08992125984251959,11.42
VW,0.18,84,0.6778091018928716,0.13803149606299195,17.53
OS,0.19,100,1.0,0.592283464566929,75.22
RDP,0.19,49,0.17153996101364521,0.07803149606299203,9.91
BU,0.19,33,0.00490123273429377,0.08708661417322824,11.06
BU,0.19,33,0.00490123273429377,0.08708661417322824,11.06
VW,0.19,82,0.6424314660309893,0.13204724409448804,16.77
OS,0.2,100,1.0,0.6174015748031494,78.41
RDP,0.2,50,0.18327344005227053,0.06637795275590544,8.43
BU,0.2,33,0.00490123273429377,0.08409448818897629,10.68
BU,0.2,33,0.00490123273429377,0.08409448818897629,10.68
VW,0.2,79,0.5911214953271028,0.1271653543307085,16.15
OS,0.21,100,1.0,0.6355118110236221,80.71
RDP,0.21,46,0.13710450623202297,0.057007874015747965,7.24
BU,0.21,33,0.00490123273429377,0.08031496062992118,10.2
BU,0.21,33,0.00490123273429377,0.08031496062992118,10.2
VW,0.21,73,0.4943820224719102,0.12157480314960616,15.44
OS,0.22,100,1.0,0.6545669291338579,83.13
RDP,0.22,33,0.028703972165845082,0.04889763779527554,6.21
BU,0.22,33,0.00490123273429377,0.07700787401574793,9.78
BU,0.22,33,0.00490123273429377,0.07700787401574793,9.78
VW,0.22,68,0.41923774954627946,0.11629921259842504,14.77
OS,0.23,100,1.0,0.6717322834645668,85.31
RDP,0.23,33,0.024034959941733547,0.042598425196850344,5.41
BU,0.23,33,0.009754655631096565,0.07511811023622038,9.54
BU,0.23,33,0.009754655631096565,0.07511811023622038,9.54
VW,0.23,67,0.40476190476190477,0.11370078740157466,14.44
OS,0.24,100,1.0,0.6905511811023619,87.7
RDP,0.24,33,0.01932084309133475,0.038897637795275546,4.94
BU,0.24,33,0.009754655631096565,0.07212598425196842,9.16
BU,0.24,33,0.009754655631096565,0.07212598425196842,9.16
VW,0.24,65,0.376336421952958,0.10976377952755892,13.94
OS,0.25,100,1.0,0.7079527559055114,89.91
RDP,0.25,33,0.009754655631096565,0.03590551181102358,4.56
BU,0.25,33,0.00490123273429377,0.07055118110236212,8.96
BU,0.25,33,0.00490123273429377,0.07055118110236212,8.96
VW,0.25,64,0.3623804463336875,0.10669291338582663,13.55
OS,0.26,100,1.0,0.7242519685039366,91.98
RDP,0.26,33,0.00490123273429377,0.03299212598425193,4.19
BU,0.26,33,0.00490123273429377,0.06755905511811017,8.58
BU,0.26,33,0.00490123273429377,0.06755905511811017,8.58
VW,0.26,61,0.32150313152400845,0.10354330708661404,13.15
OS,0.27,100,1.0,0.739527559055118,93.92
RDP,0.27,33,0.00490123273429377,0.030866141732283428,3.92
BU,0.27,33,0.0,0.06535433070866134,8.3
BU,0.27,33,0.0,0.06535433070866134,8.3
VW,0.27,56,0.2692046227056425,0.10070866141732271,12.79
OS,0.28,100,1.0,0.7544881889763778,95.82
RDP,0.28,33,0.0,0.02850393700787398,3.62
BU,0.28,33,0.0,0.06346456692913378,8.06
BU,0.28,33,0.0,0.06346456692913378,8.06
VW,0.28,56,0.2565055762081785,0.09842519685039358,12.5
OS,0.29,100,1.0,0.7655905511811021,97.23
RDP,0.29,33,0.0,0.027086614173228312,3.44
BU,0.29,33,0.0,0.061732283464566856,7.84
BU,0.29,33,0.0,0.061732283464566856,7.84
VW,0.29,54,0.23154026060808552,0.09511811023622035,12.08
OS,0.3,100,1.0,0.7762992125984247,98.59
RDP,0.3,33,0.0,0.025039370078740127,3.18
BU,0.3,33,0.0,0.05952755905511804,7.56
BU,0.3,33,0.0,0.05952755905511804,7.56
VW,0.3,52,0.20713577799801797,0.09220472440944871,11.71
OS,0.31,100,1.0,0.7874803149606293,100.01
RDP,0.31,33,0.0,0.024409448818897606,3.1
BU,0.31,33,0.0,0.05874015748031489,7.46
BU,0.31,33,0.0,0.05874015748031489,7.46
VW,0.31,51,0.19513797634691188,0.09015748031496053,11.45
OS,0.32,100,1.0,0.7974803149606291,101.28
RDP,0.32,33,0.0,0.02362204724409446,3.0
BU,0.32,33,0.0,0.057480314960629844,7.3
BU,0.32,33,0.0,0.057480314960629844,7.3
VW,0.32,51,0.19513797634691188,0.08818897637795266,11.2
OS,0.33,100,1.0,0.8074803149606292,102.55
RDP,0.33,33,0.0,0.02283464566929131,2.9
BU,0.33,33,0.0,0.055748031496062916,7.08
BU,0.33,33,0.0,0.055748031496062916,7.08
VW,0.33,50,0.18327344005227053,0.08606299212598416,10.93
OS,0.34,100,1.0,0.8159055118110232,103.62
RDP,0.34,33,0.0,0.02165354330708659,2.75
BU,0.34,33,0.0,0.05464566929133851,6.94
BU,0.34,33,0.0,0.05464566929133851,6.94
VW,0.34,50,0.18327344005227053,0.08559055118110226,10.87
OS,0.35000000000000003,100,1.0,0.8245669291338581,104.72
RDP,0.35000000000000003,33,0.0,0.021102362204724386,2.68
BU,0.35000000000000003,33,0.0,0.053228346456692846,6.76
BU,0.35000000000000003,33,0.0,0.053228346456692846,6.76
VW,0.35000000000000003,50,0.18327344005227053,0.08401574803149597,10.67
OS,0.36,100,1.0,0.8330708661417319,105.8
RDP,0.36,33,0.0,0.020314960629921237,2.58
BU,0.36,33,0.0,0.052440944881889696,6.66
BU,0.36,33,0.0,0.052440944881889696,6.66
VW,0.36,50,0.18327344005227053,0.08267716535433062,10.5
OS,0.37,100,1.0,0.8392125984251965,106.58
RDP,0.37,33,0.0,0.019370078740157455,2.46
BU,0.37,33,0.0,0.05102362204724403,6.48
BU,0.37,33,0.0,0.05102362204724403,6.48
VW,0.37,48,0.15993537964458815,0.08094488188976369,10.28
OS,0.38,100,1.0,0.8455905511811018,107.39
RDP,0.38,33,0.0,0.01850393700787399,2.35
BU,0.38,33,0.0,0.050078740157480255,6.36
BU,0.38,33,0.0,0.050078740157480255,6.36
VW,0.38,48,0.15993537964458815,0.0794488188976377,10.09
OS,0.39,100,1.0,0.851889763779527,108.19
RDP,0.39,33,0.0,0.017086614173228324,2.17
BU,0.39,33,0.0,0.0492913385826771,6.26
BU,0.39,33,0.0,0.0492913385826771,6.26
VW,0.39,47,0.14845758354755778,0.07748031496062983,9.84
OS,0.4,100,1.0,0.8577165354330702,108.93
RDP,0.4,33,0.0,0.01606299212598423,2.04
BU,0.4,33,0.0,0.048818897637795206,6.2
BU,0.4,33,0.0,0.048818897637795206,6.2
VW,0.4,47,0.14845758354755778,0.07551181102362196,9.59
OS,0.41000000000000003,100,1.0,0.863149606299212,109.62
RDP,0.41000000000000003,33,0.0,0.014960629921259825,1.9
BU,0.41000000000000003,33,0.0,0.0477165354330708,6.06
BU,0.41000000000000003,33,0.0,0.0477165354330708,6.06
VW,0.41000000000000003,47,0.14845758354755778,0.07448818897637786,9.46
OS,0.42,100,1.0,0.8688188976377951,110.34
RDP,0.42,33,0.0,0.014094488188976361,1.79
BU,0.42,33,0.0,0.04708661417322828,5.98
BU,0.42,33,0.0,0.04708661417322828,5.98
VW,0.42,46,0.13710450623202297,0.07322834645669282,9.3
OS,0.43,100,1.0,0.8751968503937007,111.15
RDP,0.43,33,0.0,0.013307086614173212,1.69
BU,0.43,33,0.0,0.04629921259842514,5.88
BU,0.43,33,0.0,0.04629921259842514,5.88
VW,0.43,46,0.13710450623202297,0.07220472440944874,9.17
OS,0.44,100,1.0,0.8799999999999996,111.76
RDP,0.44,33,0.0,0.012755905511811005,1.62
BU,0.44,33,0.0,0.04582677165354325,5.82
BU,0.44,33,0.0,0.04582677165354325,5.82
VW,0.44,46,0.13710450623202297,0.07149606299212591,9.08
OS,0.45,100,1.0,0.8857480314960625,112.49
RDP,0.45,33,0.0,0.012283464566929116,1.56
BU,0.45,33,0.0,0.04488188976377947,5.7
BU,0.45,33,0.0,0.04488188976377947,5.7
VW,0.45,45,0.12587412587412594,0.06960629921259835,8.84
OS,0.46,100,1.0,0.8897637795275586,113.0
RDP,0.46,33,0.0,0.011732283464566912,1.49
BU,0.46,33,0.0,0.044566929133858214,5.66
BU,0.46,33,0.0,0.044566929133858214,5.66
VW,0.46,45,0.12587412587412594,0.06818897637795268,8.66
OS,0.47000000000000003,100,1.0,0.894645669291338,113.62
