Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,72,0.048266485384092506,0.043478260869565306,1.0
RDP,0.0,100,1.0,0.9986956521739131,22.97
GAP-BU,0.0,100,1.0,1.0434782608695636,24.0
BU,0.0,100,1.0,1.0,23.0
GAP-BULSF,0.0,100,1.0,1.0434782608695636,24.0
BULSF,0.0,100,1.0,1.0,23.0
VW,0.0,100,1.0,1.0,23.0
OS,0.01,30,0.008217625389629002,0.043478260869565306,1.0
RDP,0.01,100,1.0,0.7608695652173912,17.5
GAP-BU,0.01,94,0.8627002288329519,0.30652173913043496,7.05
BU,0.01,94,0.8627002288329519,0.5665217391304352,13.03
GAP-BULSF,0.01,99,0.9759615384615384,0.3039130434782611,6.99
BULSF,0.01,99,0.9759615384615384,0.5569565217391308,12.81
VW,0.01,100,1.0,0.7821739130434783,17.99
OS,0.02,30,0.008217625389629002,0.04478260869565226,1.03
RDP,0.02,99,0.9759615384615384,0.6330434782608698,14.56
GAP-BU,0.02,77,0.5476003147128246,0.2434782608695648,5.6
BU,0.02,77,0.5476003147128246,0.4430434782608696,10.19
GAP-BULSF,0.02,95,0.882186616399623,0.2391304347826083,5.5
BULSF,0.02,95,0.882186616399623,0.43260869565217386,9.95
VW,0.02,100,1.0,0.6673913043478267,15.35
OS,0.03,32,0.024949813593346803,0.07000000000000015,1.61
RDP,0.03,96,0.9066728884741018,0.5360869565217391,12.33
GAP-BU,0.03,75,0.5162538699690403,0.22304347826086926,5.13
BU,0.03,75,0.5162538699690403,0.402173913043478,9.25
GAP-BULSF,0.03,87,0.7108540925266904,0.2121739130434781,4.88
BULSF,0.03,87,0.7108540925266904,0.3804347826086952,8.75
VW,0.03,100,1.0,0.5873913043478265,13.51
OS,0.04,37,0.06859846244825529,0.09434782608695663,2.17
RDP,0.04,93,0.8413417951042611,0.4578260869565217,10.53
GAP-BU,0.04,64,0.3605683836589698,0.20434782608695645,4.7
BU,0.04,64,0.3605683836589698,0.3652173913043474,8.4
GAP-BULSF,0.04,80,0.5824634655532359,0.19000000000000022,4.37
BULSF,0.04,80,0.5824634655532359,0.3365217391304347,7.74
VW,0.04,99,0.9759615384615384,0.5421739130434786,12.47
OS,0.05,37,0.06859846244825529,0.10478260869565222,2.41
RDP,0.05,89,0.759825327510917,0.40434782608695646,9.3
GAP-BU,0.05,56,0.2741390952059418,0.18913043478260888,4.35
BU,0.05,56,0.2741390952059418,0.33478260869565213,7.7
GAP-BULSF,0.05,76,0.5159338442920532,0.1747826086956524,4.02
BULSF,0.05,76,0.5159338442920532,0.30608695652173923,7.04
VW,0.05,99,0.9759615384615384,0.4956521739130434,11.4
OS,0.06,37,0.06859846244825529,0.11130434782608693,2.56
RDP,0.06,81,0.613506916192026,0.36478260869565227,8.39
GAP-BU,0.06,56,0.26248742876299025,0.18130434782608723,4.17
BU,0.06,56,0.26248742876299025,0.3191304347826089,7.34
GAP-BULSF,0.06,77,0.54,0.16043478260869581,3.69
BULSF,0.06,77,0.54,0.27739130434782605,6.38
VW,0.06,96,0.9066728884741018,0.46217391304347805,10.63
OS,0.07,36,0.05965324713488107,0.11913043478260858,2.74
RDP,0.07,71,0.4565217391304348,0.32521739130434796,7.48
GAP-BU,0.07,55,0.2509986684420772,0.1773913043478264,4.08
BU,0.07,55,0.2509986684420772,0.31130434782608724,7.16
GAP-BULSF,0.07,81,0.6067880794701986,0.14956521739130438,3.44
BULSF,0.07,81,0.6067880794701986,0.2556521739130433,5.88
VW,0.07,93,0.8413417951042611,0.42869565217391276,9.86
OS,0.08,40,0.09611328713467904,0.12652173913043466,2.91
RDP,0.08,57,0.2859571574294457,0.2934782608695652,6.75
GAP-BU,0.08,53,0.22849638870650035,0.16826086956521763,3.87
BU,0.08,53,0.22849638870650035,0.29304347826086974,6.74
GAP-BULSF,0.08,79,0.5728234336859235,0.13913043478260864,3.2
BULSF,0.08,79,0.5728234336859235,0.2347826086956519,5.4
VW,0.08,91,0.7998220640569396,0.40695652173913016,9.36
OS,0.09,46,0.15440025054807394,0.13304347826086946,3.06
RDP,0.09,47,0.16456494325346782,0.27260869565217377,6.27
GAP-BU,0.09,50,0.19588292055323264,0.16217391304347842,3.73
BU,0.09,50,0.19588292055323264,0.28086956521739137,6.46
GAP-BULSF,0.09,80,0.5896594173163725,0.1282608695652173,2.95
BULSF,0.09,80,0.5896594173163725,0.21304347826086928,4.9
VW,0.09,86,0.7025074373140672,0.38434782608695656,8.84
OS,0.1,50,0.19588292055323264,0.1391304347826086,3.2
RDP,0.1,40,0.09611328713467904,0.25260869565217364,5.81
GAP-BU,0.1,46,0.15440025054807394,0.15304347826086964,3.52
BU,0.1,46,0.15440025054807394,0.2626086956521739,6.04
GAP-BULSF,0.1,81,0.6067880794701986,0.12521739130434772,2.88
BULSF,0.1,81,0.6067880794701986,0.20695652173913015,4.76
VW,0.1,86,0.7025074373140672,0.36521739130434794,8.4
OS,0.11,51,0.20660621761658038,0.14347826086956514,3.3
RDP,0.11,39,0.08682634730538918,0.24086956521739097,5.54
GAP-BU,0.11,40,0.09611328713467904,0.1421739130434782,3.27
BU,0.11,40,0.09611328713467904,0.24086956521739109,5.54
GAP-BULSF,0.11,81,0.5998315080033698,0.11826086956521734,2.72
BULSF,0.11,81,0.5998315080033698,0.19304347826086932,4.44
VW,0.11,85,0.6840775063184499,0.3482608695652176,8.01
OS,0.12,54,0.23966942148760328,0.1530434782608695,3.52
RDP,0.12,38,0.07765545968461762,0.22826086956521702,5.25
GAP-BU,0.12,39,0.08682634730538918,0.13608695652173902,3.13
BU,0.12,39,0.08682634730538918,0.2286956521739127,5.26
GAP-BULSF,0.12,80,0.5824634655532359,0.11434782608695648,2.63
BULSF,0.12,80,0.5824634655532359,0.18521739130434764,4.26
VW,0.12,79,0.5800000000000001,0.3313043478260873,7.62
OS,0.13,54,0.23966942148760328,0.15956521739130433,3.67
RDP,0.13,37,0.06859846244825529,0.21826086956521715,5.02
GAP-BU,0.13,37,0.06859846244825529,0.1334782608695651,3.07
BU,0.13,37,0.06859846244825529,0.22347826086956485,5.14
GAP-BULSF,0.13,81,0.5998315080033698,0.10956521739130437,2.52
BULSF,0.13,81,0.5998315080033698,0.17565217391304333,4.04
VW,0.13,79,0.5800000000000001,0.3200000000000003,7.36
OS,0.14,56,0.2741390952059418,0.17086956521739124,3.93
RDP,0.14,35,0.050817757009345654,0.2121739130434781,4.88
GAP-BU,0.14,36,0.05965324713488107,0.1313043478260868,3.02
BU,0.14,36,0.05965324713488107,0.21913043478260835,5.04
GAP-BULSF,0.14,82,0.6175095622609434,0.10652173913043483,2.45
BULSF,0.14,82,0.6175095622609434,0.1695652173913042,3.9
VW,0.14,72,0.47109935776350587,0.3073913043478263,7.07
OS,0.15,61,0.3224461431549688,0.17782608695652166,4.09
RDP,0.15,35,0.050817757009345654,0.20434782608695642,4.7
GAP-BU,0.15,36,0.05965324713488107,0.1295652173913042,2.98
BU,0.15,36,0.05965324713488107,0.21565217391304312,4.96
GAP-BULSF,0.15,75,0.43336355394378967,0.1017391304347827,2.34
BULSF,0.15,75,0.43336355394378967,0.15999999999999986,3.68
VW,0.15,69,0.4280442804428044,0.29956521739130454,6.89
OS,0.16,64,0.3605683836589698,0.18739130434782594,4.31
RDP,0.16,33,0.03346797461050188,0.19695652173913042,4.53
GAP-BU,0.16,34,0.04208998548621201,0.12652173913043463,2.91
BU,0.16,34,0.04208998548621201,0.209565217391304,4.82
GAP-BULSF,0.16,71,0.3166823751178134,0.09695652173913057,2.23
BULSF,0.16,71,0.3166823751178134,0.1504347826086955,3.46
VW,0.16,68,0.41413401684364703,0.29521739130434793,6.79
OS,0.17,69,0.4280442804428044,0.19999999999999976,4.6
RDP,0.17,32,0.024949813593346803,0.19173913043478272,4.41
GAP-BU,0.17,34,0.04208998548621201,0.1252173913043477,2.88
BU,0.17,34,0.04208998548621201,0.20695652173913007,4.76
GAP-BULSF,0.17,68,0.2384578772013327,0.09304347826086973,2.14
BULSF,0.17,68,0.2384578772013327,0.14260869565217374,3.28
VW,0.17,67,0.400436046511628,0.2904347826086957,6.68
OS,0.18,69,0.4280442804428044,0.21521739130434753,4.95
RDP,0.18,31,0.016533637400227952,0.18869565217391318,4.34
GAP-BU,0.18,32,0.024949813593346803,0.1234782608695651,2.84
BU,0.18,32,0.024949813593346803,0.2034782608695649,4.68
GAP-BULSF,0.18,67,0.20673076923076927,0.09173913043478278,2.11
BULSF,0.18,67,0.20673076923076927,0.13999999999999982,3.22
VW,0.18,66,0.38694554633970424,0.2886956521739131,6.64
OS,0.19,72,0.47109935776350587,0.22521739130434754,5.18
RDP,0.19,31,0.016533637400227952,0.18521739130434794,4.26
GAP-BU,0.19,32,0.024949813593346803,0.12217391304347816,2.81
BU,0.19,32,0.024949813593346803,0.200869565217391,4.62
GAP-BULSF,0.19,67,0.20673076923076927,0.09086956521739147,2.09
BULSF,0.19,67,0.20673076923076927,0.13826086956521721,3.18
VW,0.19,62,0.3349667483374169,0.2834782608695652,6.52
OS,0.2,72,0.47109935776350587,0.22913043478260836,5.27
RDP,0.2,31,0.016533637400227952,0.17782608695652194,4.09
