Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.041666666666666616,1.0
RDP,0.0,100,1.0,0.9987499999999998,23.97
BU,0.0,100,1.0,1.0416666666666679,25.0
VW,0.0,100,1.0,1.0,24.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,80,0.0,0.08333333333333323,2.0
RDP,0.01,100,1.0,0.7704166666666665,18.49
BU,0.01,100,1.0,0.32958333333333334,7.91
VW,0.01,100,1.0,0.7912500000000001,18.99
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,80,0.0,0.08333333333333323,2.0
RDP,0.02,100,1.0,0.6441666666666666,15.46
BU,0.02,100,1.0,0.2750000000000002,6.6
VW,0.02,100,1.0,0.6812500000000002,16.35
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,88,0.0,0.08791666666666663,2.11
RDP,0.03,100,1.0,0.5541666666666668,13.3
BU,0.03,100,1.0,0.25291666666666673,6.07
VW,0.03,100,1.0,0.6045833333333336,14.51
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,99,0.0,0.12833333333333335,3.08
RDP,0.04,100,1.0,0.4825,11.58
BU,0.04,100,1.0,0.2349999999999999,5.64
VW,0.04,100,1.0,0.5608333333333335,13.46
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,99,0.0,0.15499999999999983,3.72
RDP,0.05,100,1.0,0.43250000000000016,10.38
BU,0.05,100,1.0,0.22416666666666654,5.38
VW,0.05,100,1.0,0.5166666666666669,12.4
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,99,0.0,0.1654166666666665,3.97
RDP,0.06,100,1.0,0.3908333333333334,9.38
BU,0.06,100,1.0,0.2195833333333332,5.27
VW,0.06,100,1.0,0.4845833333333333,11.63
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.1687499999999999,4.05
RDP,0.07,100,1.0,0.3533333333333332,8.48
BU,0.07,100,1.0,0.21249999999999988,5.1
VW,0.07,100,1.0,0.4525,10.86
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.17166666666666658,4.12
RDP,0.08,100,1.0,0.32291666666666674,7.75
BU,0.08,100,1.0,0.20541666666666658,4.93
VW,0.08,100,1.0,0.43166666666666664,10.36
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,100,1.0,0.17624999999999993,4.23
RDP,0.09,100,1.0,0.30166666666666686,7.24
BU,0.09,100,1.0,0.1958333333333334,4.7
VW,0.09,100,1.0,0.41,9.84
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,100,1.0,0.18166666666666664,4.36
RDP,0.1,100,1.0,0.28375000000000017,6.81
BU,0.1,100,1.0,0.18833333333333335,4.52
VW,0.1,100,1.0,0.3916666666666667,9.4
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.1895833333333333,4.55
RDP,0.11,100,1.0,0.2750000000000002,6.6
BU,0.11,100,1.0,0.17625,4.23
VW,0.11,100,1.0,0.37541666666666673,9.01
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.1975,4.74
RDP,0.12,100,1.0,0.26625000000000015,6.39
BU,0.12,100,1.0,0.17166666666666652,4.12
VW,0.12,100,1.0,0.3591666666666667,8.62
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.20250000000000007,4.86
RDP,0.13,100,1.0,0.2583333333333334,6.2
BU,0.13,100,1.0,0.16916666666666658,4.06
VW,0.13,100,1.0,0.3483333333333333,8.36
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.21041666666666672,5.05
RDP,0.14,100,1.0,0.2537500000000001,6.09
BU,0.14,100,1.0,0.16708333333333317,4.01
VW,0.14,100,1.0,0.33624999999999994,8.07
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.22291666666666676,5.35
RDP,0.15,100,1.0,0.24791666666666676,5.95
BU,0.15,100,1.0,0.1654166666666665,3.97
VW,0.15,100,1.0,0.32874999999999993,7.89
