Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.3236514522821577,-0.012631144794164051,0.04347826086956521
RDP,0.0,1.0,1.0,0.9967526610138914
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.01,0.6721991701244814,0.0,0.04347826086956521
RDP,0.01,0.970954356846473,0.9334438000552334,0.7674544470503337
BU,0.01,0.8838174273858921,0.7493685930768088,0.5690059534548079
VC,0.01,0.966804979253112,0.9236858771374288,0.7860364423597329
OS,0.02,0.6721991701244814,0.0,0.04510193036261951
RDP,0.02,0.9543568464730291,0.8947222111909773,0.6388237416561429
BU,0.02,0.7551867219917012,0.523316235877837,0.44163810211077037
VC,0.02,0.9543568464730291,0.8933156263833555,0.6734620241746347
OS,0.03,0.6639004149377593,-0.0164540484248894,0.07198268085874072
RDP,0.03,0.9253112033195021,0.8260067383282529,0.5372541944795237
BU,0.03,0.6846473029045643,0.4137003841229193,0.403030849720368
VC,0.03,0.9253112033195021,0.8260067383282529,0.5915569186361176
OS,0.04,0.7053941908713693,0.18639151728400927,0.0961573155331048
RDP,0.04,0.8755186721991701,0.7138220392653578,0.4616633591917735
BU,0.04,0.6763485477178424,0.3918079461628058,0.37019664441638095
VC,0.04,0.9336099585062241,0.8443026730194622,0.5417643875157856
OS,0.05,0.6763485477178424,0.1979691099923202,0.10445607071982678
RDP,0.05,0.8796680497925311,0.7295801895917973,0.4057369655421252
BU,0.05,0.6473029045643154,0.3425233494880766,0.345661194299116
VC,0.05,0.9336099585062241,0.8453393229584469,0.4999097961392747
OS,0.06,0.6016597510373444,0.10193307972983456,0.11131156413494495
RDP,0.06,0.8713692946058091,0.7127753642689632,0.3664080822659209
BU,0.06,0.6182572614107884,0.3014052555296489,0.3274400144326177
VC,0.06,0.9253112033195021,0.8271575424336601,0.4685188526068916
OS,0.07,0.44398340248962653,-0.11682113708673403,0.12087317337182028
RDP,0.07,0.8589211618257261,0.6859814516747145,0.33140898430452825
BU,0.07,0.5684647302904564,0.2184596195821641,0.3122857658307776
VC,0.07,0.9253112033195021,0.8294140778607944,0.43622587046725597
OS,0.08,0.37344398340248963,-0.17424413539414685,0.12772866678693845
RDP,0.08,0.8464730290456431,0.6504919060870928,0.3016417102651993
BU,0.08,0.5311203319502075,0.17433223175575296,0.2935233627999279
VC,0.08,0.9253112033195021,0.8305203938115331,0.4116904203499909
OS,0.09,0.3360995850622407,-0.1720364741641336,0.13476456792350708
RDP,0.09,0.8423236514522822,0.6467911138537488,0.2787299296409886
BU,0.09,0.48132780082987553,0.10907047585248275,0.27367851344037525
VC,0.09,0.91701244813278,0.8129027249437155,0.3866137470683745
OS,0.1,0.35684647302904565,-0.1102029898653667,0.13927476095976907
RDP,0.1,0.8589211618257261,0.6756649778340722,0.2585242648385351
BU,0.1,0.44813278008298757,0.0747625782986463,0.25563774129532746
VC,0.1,0.9087136929460581,0.7955106448626967,0.36568645138011907
OS,0.11,0.38589211618257263,-0.042070819212340904,0.143784953996031
RDP,0.11,0.8589211618257261,0.6735198023746912,0.24535450117265017
BU,0.11,0.3983402489626556,0.0008577555396711567,0.23940104636478443
VC,0.11,0.9087136929460581,0.7955106448626967,0.35089301822117985
OS,0.12,0.4315352697095436,0.037713852700300254,0.15190330146130254
RDP,0.12,0.8423236514522822,0.6326808920263116,0.23164351434241384
BU,0.12,0.3775933609958506,-0.031148382680129982,0.22857658307775577
VC,0.12,0.9004149377593361,0.7783398482409749,0.3341151001262854
OS,0.13,0.45643153526970953,0.08428807610871014,0.15659390221901498
RDP,0.13,0.8215767634854771,0.5829610849531168,0.2204582356124842
BU,0.13,0.36929460580912865,-0.04986816462226318,0.22172108966263757
VC,0.13,0.8879668049792531,0.7514230049279902,0.32238859823200433
OS,0.14,0.49377593360995853,0.12831307441446782,0.16723795778459316
RDP,0.14,0.8132780082987552,0.5606287728396062,0.2132419267544651
BU,0.14,0.3775933609958506,-0.041006738466854875,0.21811293523362804
VC,0.14,0.8796680497925311,0.7330098941819154,0.3139094353238318
OS,0.15,0.5311203319502075,0.18256040822452346,0.1748150820855133
RDP,0.15,0.8132780082987552,0.563563926113727,0.206025617896446
BU,0.15,0.36929460580912865,-0.05488682831307967,0.21450478080461846
VC,0.15,0.8755186721991701,0.7246763137852247,0.30633231102291175
OS,0.16,0.5601659751037344,0.2195881957597604,0.18167057550063143
RDP,0.16,0.8132780082987552,0.5721387146407859,0.1991701244813278
BU,0.16,0.3651452282157676,-0.0694956057661631,0.21125744181850986
VC,0.16,0.8755186721991701,0.7264058124574283,0.3009200793793974
OS,0.17,0.6016597510373444,0.27482447342026084,0.19195381562330868
RDP,0.17,0.8008298755186722,0.5451042076287849,0.19393830055926395
BU,0.17,0.3817427385892116,-0.051662029579733426,0.2087317337182032
VC,0.17,0.8796680497925311,0.7363536911992153,0.29496662457153167
OS,0.18,0.6639004149377593,0.35277344915619513,0.20638643333934692
RDP,0.18,0.7925311203319502,0.5261502162799843,0.189067292080101
BU,0.18,0.3983402489626556,-0.03347824801111998,0.20656684106079742
VC,0.18,0.8796680497925311,0.7379943767572634,0.2922605087497745
OS,0.19,0.7302904564315352,0.4659234257270465,0.21847375067652897
RDP,0.19,0.7966804979253111,0.5371379296829067,0.18509832220819047
BU,0.19,0.3983402489626556,-0.04892690980039016,0.20404113296049073
VC,0.19,0.8838174273858921,0.7478137379475297,0.28684827710626015
OS,0.2,0.7593360995850622,0.5109851665267282,0.22532924409164712
RDP,0.2,0.7883817427385892,0.5213598660383971,0.17896445967887423
BU,0.2,0.43568464730290457,-0.01675145799727007,0.1986289013169764
VC,0.2,0.8838174273858921,0.7462394705174489,0.2826988995128991
OS,0.21,0.8174273858921162,0.6156299840510366,0.2374165614288291
RDP,0.21,0.7925311203319502,0.5292233161431474,0.17391304347826084
BU,0.21,0.48132780082987553,0.02794359652802425,0.19321666967346207
VC,0.21,0.8755186721991701,0.7298004335152104,0.2772866678693848
OS,0.22,0.8257261410788381,0.6263565891472869,0.24300920079379396
RDP,0.22,0.7966804979253111,0.5371379296829067,0.16868121955619697
BU,0.22,0.5186721991701245,0.06539181599358124,0.18816525347284868
VC,0.22,0.8755186721991701,0.7314663497251523,0.27259606711167234
OS,0.23,0.8506224066390041,0.6737364620938628,0.24878224788020925
RDP,0.23,0.7883817427385892,0.5213598660383971,0.1609236875338264
BU,0.23,0.5518672199170125,0.09987550145248292,0.1838354681580372
VC,0.23,0.8672199170124482,0.7153193060169805,0.27061158217571707
OS,0.24,0.8464730290456431,0.6636236749783093,0.25455529496662455
RDP,0.24,0.7883817427385892,0.5182456002822091,0.15713512538336638
BU,0.24,0.5684647302904564,0.11802378774016453,0.18094894461482952
VC,0.24,0.8713692946058091,0.7233680156996334,0.26772505863250945
OS,0.25,0.8464730290456431,0.6615040048589758,0.2581634493956341
RDP,0.25,0.8008298755186722,0.5451042076287849,0.15064044741114918
BU,0.25,0.6224066390041494,0.19291208184594988,0.1755367129713152
VC,0.25,0.8672199170124482,0.7153193060169805,0.2644777196464008
OS,0.26,0.8423236514522822,0.6512566641279512,0.26231282698899505
RDP,0.26,0.7842323651452282,0.5071962249311837,0.14360454627458052
BU,0.26,0.6597510373443983,0.24744859101294747,0.1712069276565037
VC,0.26,0.8672199170124482,0.7153193060169805,0.26249323471044556
OS,0.27,0.8381742738589212,0.643206924040542,0.2657405736965542
RDP,0.27,0.8008298755186722,0.5421152628245725,0.13963557640267
BU,0.27,0.6887966804979253,0.2961174500564664,0.16868121955619703
VC,0.27,0.8630705394190872,0.7055207909060615,0.25942630344578743
OS,0.28,0.8381742738589212,0.6409443404515414,0.26970954356846466
RDP,0.28,0.7966804979253111,0.5341066003866335,0.13566660653075946
BU,0.28,0.6929460580912863,0.2846943686828173,0.16543388057008837
VC,0.28,0.8547717842323651,0.6876735661124893,0.2570810030669312
OS,0.29,0.8423236514522822,0.6445151773930595,0.2740393288832762
RDP,0.29,0.7966804979253111,0.5341066003866335,0.13097600577304705
BU,0.29,0.7344398340248963,0.364430525795286,0.16110409525527694
VC,0.29,0.8423236514522822,0.6598573763185263,0.25293162547357023
OS,0.3,0.8464730290456431,0.6549816212033275,0.27710626014793427
RDP,0.3,0.7966804979253111,0.5341066003866335,0.12863070539419083
BU,0.3,0.7344398340248963,0.36005310762592324,0.16002164892657403
VC,0.3,0.8381742738589212,0.6541051779339786,0.25022550965181306
OS,0.31,0.8589211618257261,0.6819346324043164,0.28197726862709727
RDP,0.31,0.8049792531120332,0.5501767205432668,0.12484214324373082
BU,0.31,0.7468879668049793,0.3793642082154769,0.1571351253833664
VC,0.31,0.8464730290456431,0.6698263413189174,0.2473389861086054
OS,0.32,0.8589211618257261,0.6819346324043164,0.28648746166335914
RDP,0.32,0.7883817427385892,0.5086548071157305,0.12069276565036982
BU,0.32,0.7510373443983402,0.383053161532554,0.15533104816886162
VC,0.32,0.8464730290456431,0.6677843597481465,0.2451740934511997
OS,0.33,0.8547717842323651,0.673631263300445,0.2922605087497745
RDP,0.33,0.8049792531120332,0.5379940449484031,0.11726501894281072
