Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.76,0.0,0.043478260869565216,1.0
RDP,0.0,1.0,1.0,0.9965217391304348,22.92
BU,0.0,1.0,1.0,1.0,23.0
VC,0.0,1.0,1.0,1.0,23.0
OS,0.01,0.89,0.7393364928909953,0.043478260869565216,1.0
RDP,0.01,1.0,1.0,0.766086956521739,17.62
BU,0.01,0.99,0.972972972972973,0.5639130434782609,12.97
VC,0.01,1.0,1.0,0.7817391304347826,17.98
OS,0.02,0.87,0.6759720837487537,0.04521739130434782,1.04
RDP,0.02,1.0,1.0,0.6404347826086958,14.73
BU,0.02,0.96,0.8962655601659751,0.44,10.12
VC,0.02,1.0,1.0,0.6752173913043478,15.53
OS,0.03,0.77,0.22611036339165547,0.07217391304347825,1.66
RDP,0.03,1.0,1.0,0.5321739130434783,12.24
BU,0.03,0.96,0.8962655601659751,0.3982608695652173,9.16
VC,0.03,1.0,1.0,0.591304347826087,13.6
OS,0.04,0.92,0.7524752475247525,0.09652173913043478,2.22
RDP,0.04,0.98,0.9466950959488273,0.4543478260869565,10.45
BU,0.04,0.92,0.8031496062992126,0.3695652173913042,8.5
VC,0.04,1.0,1.0,0.5408695652173913,12.44
OS,0.05,0.93,0.7868453105968332,0.1043478260869565,2.4
RDP,0.05,0.97,0.9211356466876972,0.4021739130434782,9.25
BU,0.05,0.91,0.7813411078717201,0.3434782608695652,7.9
VC,0.05,1.0,1.0,0.49999999999999994,11.5
OS,0.06,0.92,0.7524752475247525,0.11130434782608693,2.56
RDP,0.06,0.98,0.9466950959488273,0.36826086956521736,8.47
BU,0.06,0.9,0.7600767754318618,0.32347826086956516,7.44
VC,0.06,0.99,0.972972972972973,0.46434782608695646,10.68
OS,0.07,0.92,0.7524752475247525,0.11956521739130432,2.75
RDP,0.07,0.97,0.9211356466876972,0.3334782608695652,7.67
BU,0.07,0.9,0.7600767754318618,0.3156521739130435,7.26
VC,0.07,0.98,0.9451754385964912,0.437391304347826,10.06
OS,0.08,0.92,0.7524752475247525,0.12739130434782603,2.93
RDP,0.08,0.97,0.9211356466876972,0.30391304347826087,6.99
BU,0.08,0.89,0.7393364928909953,0.2956521739130435,6.8
VC,0.08,0.99,0.972972972972973,0.4152173913043478,9.55
OS,0.09,0.92,0.7524752475247525,0.1360869565217391,3.13
RDP,0.09,0.96,0.8962655601659751,0.2817391304347826,6.48
BU,0.09,0.9,0.7539370078740157,0.2782608695652174,6.4
VC,0.09,0.98,0.9466950959488273,0.392608695652174,9.03
OS,0.1,0.91,0.725943970767357,0.14130434782608695,3.25
RDP,0.1,0.94,0.8484848484848485,0.2604347826086957,5.99
