Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,28,0.007825600894354467,0.043478260869565306,1.0
RDP,0.0,100,1.0,0.9986956521739131,22.97
BU,0.0,100,1.0,1.0,23.0
BU,0.0,100,1.0,1.0,23.0
VW,0.0,100,1.0,1.0,23.0
OS,0.01,72,0.0,0.043478260869565306,1.0
RDP,0.01,100,1.0,0.7608695652173912,17.5
BU,0.01,99,0.9754661432777233,0.5665217391304352,13.03
BU,0.01,99,0.9754661432777233,0.5665217391304352,13.03
VW,0.01,100,1.0,0.5873913043478265,13.51
OS,0.02,72,0.0,0.04478260869565226,1.03
RDP,0.02,100,1.0,0.6330434782608698,14.56
BU,0.02,98,0.9514563106796117,0.4430434782608696,10.19
BU,0.02,98,0.9514563106796117,0.4430434782608696,10.19
VW,0.02,99,0.9754661432777233,0.46217391304347805,10.63
OS,0.03,72,0.0,0.07000000000000015,1.61
RDP,0.03,100,1.0,0.5360869565217391,12.33
BU,0.03,98,0.9514563106796117,0.402173913043478,9.25
BU,0.03,98,0.9514563106796117,0.402173913043478,9.25
VW,0.03,97,0.9279538904899135,0.38434782608695656,8.84
OS,0.04,87,0.6242774566473989,0.09434782608695663,2.17
RDP,0.04,99,0.9754661432777233,0.4578260869565217,10.53
BU,0.04,98,0.9514563106796117,0.3652173913043474,8.4
BU,0.04,98,0.9514563106796117,0.3652173913043474,8.4
VW,0.04,96,0.9049429657794676,0.3313043478260873,7.62
OS,0.05,95,0.8746238716148446,0.10478260869565222,2.41
RDP,0.05,98,0.9514563106796117,0.40434782608695646,9.3
BU,0.05,96,0.9029126213592233,0.33478260869565213,7.7
BU,0.05,96,0.9029126213592233,0.33478260869565213,7.7
VW,0.05,97,0.9279538904899135,0.29956521739130454,6.89
OS,0.06,95,0.8773307163886163,0.11130434782608693,2.56
RDP,0.06,97,0.9279538904899135,0.36478260869565227,8.39
BU,0.06,96,0.9029126213592233,0.3191304347826089,7.34
BU,0.06,96,0.9029126213592233,0.3191304347826089,7.34
VW,0.06,97,0.9279538904899135,0.2886956521739131,6.64
OS,0.07,91,0.7791952894995093,0.11913043478260858,2.74
RDP,0.07,97,0.9279538904899135,0.32521739130434796,7.48
BU,0.07,95,0.8799231508165226,0.31130434782608724,7.16
BU,0.07,95,0.8799231508165226,0.31130434782608724,7.16
VW,0.07,97,0.9279538904899135,0.2734782608695651,6.29
OS,0.08,89,0.7301275760549558,0.12652173913043466,2.91
RDP,0.08,97,0.9279538904899135,0.2934782608695652,6.75
BU,0.08,94,0.8574144486692015,0.29304347826086974,6.74
BU,0.08,94,0.8574144486692015,0.29304347826086974,6.74
VW,0.08,96,0.9049429657794676,0.2647826086956519,6.09
