Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,22,0.030694668820678506,0.006060606060606063,1.0
RDP,0.0,100,1.0,0.9996969696969696,164.95
BU,0.0,100,1.0,1.0,165.0
BU,0.0,100,1.0,1.0,165.0
VW,0.0,100,1.0,1.0,165.0
OS,0.01,27,0.05526077390966733,0.012121212121212126,2.0
RDP,0.01,77,0.5895056219882207,0.482969696969697,79.69
BU,0.01,38,0.09064241713112364,0.31509090909090903,51.99
BU,0.01,38,0.09064241713112364,0.31509090909090903,51.99
VW,0.01,50,0.20217009733524816,0.3684848484848486,60.8
OS,0.02,27,0.05526077390966733,0.012727272727272736,2.1
RDP,0.02,64,0.33234421364985167,0.333090909090909,54.96
BU,0.02,28,0.054621848739495715,0.20381818181818176,33.63
BU,0.02,28,0.054621848739495715,0.20381818181818176,33.63
VW,0.02,45,0.11816578483245155,0.2682424242424242,44.26
OS,0.03,24,0.03307888040712459,0.02103030303030303,3.47
RDP,0.03,42,-0.01843722563652328,0.24987878787878798,41.23
BU,0.03,28,0.03910316295208871,0.16084848484848474,26.54
BU,0.03,28,0.03910316295208871,0.16084848484848474,26.54
VW,0.03,43,0.09250119407737623,0.21757575757575753,35.9
OS,0.04,16,-0.05713566574377027,0.0293939393939394,4.85
RDP,0.04,42,-0.010805158591843833,0.19042424242424247,31.42
BU,0.04,23,-0.0005197505197505059,0.13430303030303029,22.16
BU,0.04,23,-0.0005197505197505059,0.13430303030303029,22.16
VW,0.04,38,0.05818016102081114,0.1808484848484849,29.84
OS,0.05,19,-0.02544625902012898,0.040909090909090916,6.75
RDP,0.05,40,0.0057995028997515075,0.14921212121212127,24.62
BU,0.05,26,0.03343782654127481,0.11187878787878795,18.46
BU,0.05,26,0.03343782654127481,0.11187878787878795,18.46
VW,0.05,24,-0.01890333824909507,0.15363636363636363,25.35
OS,0.06,24,0.05460878218683918,0.05824242424242418,9.61
RDP,0.06,38,0.08093685146753626,0.11363636363636363,18.75
BU,0.06,22,0.009020454834201552,0.09345454545454554,15.42
BU,0.06,22,0.009020454834201552,0.09345454545454554,15.42
