Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,3,0.0,0.021739130434782653,1.0
RDP,0.0,100,1.0,0.9184782608695656,42.25
BU_1,0.0,100,1.0,1.0217391304347816,47.0
BU_2,0.0,100,1.0,1.0,46.0
VW,0.0,100,1.0,1.0,46.0
OS,0.01,46,0.4339622641509433,0.04565217391304357,2.1
RDP,0.01,98,0.9790136411332634,0.4815217391304346,22.15
BU_1,0.01,93,0.9264705882352942,0.20217391304347831,9.3
BU_2,0.01,93,0.9264705882352942,0.3639130434782609,16.74
VW,0.01,100,1.0,0.5421739130434782,24.94
OS,0.02,56,0.5489352774572538,0.051304347826087025,2.36
RDP,0.02,95,0.9475175816101606,0.3380434782608697,15.55
BU_1,0.02,87,0.863359260037839,0.15434782608695655,7.1
BU_2,0.02,87,0.863359260037839,0.2682608695652172,12.34
VW,0.02,97,0.9685270667226186,0.4439130434782607,20.42
OS,0.03,71,0.695570018895654,0.06260869565217397,2.88
RDP,0.03,91,0.9055018899622007,0.2578260869565216,11.86
BU_1,0.03,84,0.8317383531391314,0.13282608695652165,6.11
BU_2,0.03,84,0.8317383531391314,0.22521739130434779,10.36
VW,0.03,97,0.9685105489660963,0.3900000000000001,17.94
OS,0.04,71,0.6954741152998005,0.06956521739130443,3.2
RDP,0.04,88,0.8739098455395607,0.21065217391304342,9.69
BU_1,0.04,80,0.7895179962113239,0.1184782608695652,5.45
BU_2,0.04,80,0.7895179962113239,0.19652173913043477,9.04
VW,0.04,93,0.9264937519689174,0.34913043478260875,16.06
OS,0.05,73,0.7165949406948673,0.0734782608695653,3.38
RDP,0.05,84,0.8318091033322821,0.17630434782608692,8.11
BU_1,0.05,79,0.7790404040404041,0.10847826086956519,4.99
BU_2,0.05,79,0.7790404040404041,0.17652173913043484,8.12
VW,0.05,96,0.958005249343832,0.31586956521739135,14.53
OS,0.06,74,0.7270627755616208,0.07760869565217397,3.57
RDP,0.06,84,0.8319151171341528,0.15434782608695652,7.1
BU_1,0.06,76,0.7474747474747474,0.10304347826086958,4.74
BU_2,0.06,76,0.7474747474747474,0.16565217391304354,7.62
VW,0.06,95,0.94750656167979,0.28891304347826097,13.29
OS,0.07,74,0.7270627755616208,0.08086956521739136,3.72
RDP,0.07,82,0.8110037799244015,0.1369565217391304,6.3
BU_1,0.07,77,0.758174745032068,0.09782608695652178,4.5
BU_2,0.07,77,0.758174745032068,0.15521739130434783,7.14
VW,0.07,95,0.94750656167979,0.2713043478260869,12.48
OS,0.08,73,0.7164759004515384,0.08456521739130439,3.89
RDP,0.08,83,0.8216720864365887,0.1213043478260869,5.58
BU_1,0.08,77,0.7581747450320682,0.0928260869565218,4.27
BU_2,0.08,77,0.7581747450320682,0.14521739130434783,6.68
VW,0.08,92,0.9160016799664007,0.2515217391304347,11.57
OS,0.09,73,0.7162971524640118,0.09021739130434785,4.15
RDP,0.09,79,0.7795275590551181,0.10847826086956519,4.99
BU_1,0.09,77,0.7582509985284843,0.08978260869565222,4.13
BU_2,0.09,77,0.7582509985284843,0.13913043478260867,6.4
VW,0.09,91,0.9055514744464267,0.23978260869565207,11.03
OS,0.1,75,0.7372293462266134,0.09347826086956522,4.3
RDP,0.1,77,0.7587581288021816,0.09826086956521735,4.52
BU_1,0.1,75,0.7373121782074183,0.08565217391304351,3.94
BU_2,0.1,75,0.7373121782074183,0.1308695652173913,6.02
VW,0.1,91,0.9055514744464267,0.23108695652173897,10.63
OS,0.11,77,0.7582001682085786,0.09956521739130432,4.58
RDP,0.11,72,0.7058823529411765,0.09021739130434786,4.15
BU_1,0.11,74,0.726775956284153,0.08304347826086962,3.82
BU_2,0.11,74,0.726775956284153,0.12565217391304348,5.78
VW,0.11,92,0.916028130576257,0.22239130434782609,10.23
OS,0.12,77,0.7582001682085786,0.10282608695652172,4.73
RDP,0.12,67,0.6531427370191298,0.0819565217391305,3.77
BU_1,0.12,71,0.6953141416263922,0.07847826086956528,3.61
BU_2,0.12,71,0.6953141416263922,0.1165217391304348,5.36
VW,0.12,90,0.8949027850761955,0.21195652173913043,9.75
OS,0.13,78,0.768737517081888,0.10608695652173909,4.88
RDP,0.13,65,0.6322756881697835,0.07630434782608703,3.51
