Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.39,-0.0013131976362441566,0.02222222222222222,1.0
RDP,0.0,1.0,1.0,0.9111111111111111,41.0
BU,0.0,1.0,1.0,1.0222222222222224,46.0
VC,0.0,1.0,1.0,1.0,45.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.87,0.7064137308039747,0.10444444444444442,4.7
RDP,0.1,0.63,0.21940928270042193,0.08777777777777777,3.95
BU,0.1,0.72,0.4188459941884599,0.08399999999999999,3.78
VC,0.1,0.95,0.8921484037963762,0.19244444444444445,8.66
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.88,0.7305792546026044,0.1271111111111111,5.72
RDP,0.2,0.42,0.0355836381775857,0.041111111111111105,1.85
BU,0.2,0.38,-0.013403072899640378,0.04488888888888889,2.02
VC,0.2,0.89,0.7544642857142857,0.14177777777777775,6.38
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.9,0.7806055287406757,0.16066666666666665,7.23
RDP,0.30000000000000004,0.38,0.011794708320050917,0.02555555555555555,1.15
BU,0.30000000000000004,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.30000000000000004,0.82,0.5862068965517242,0.12022222222222222,5.41
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.97,0.9360068259385665,0.20177777777777778,9.08
RDP,0.4,0.37,0.0,0.02222222222222222,1.0
BU,0.4,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.4,0.79,0.5143385753931545,0.11222222222222221,5.05
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9786689419795221,0.2557777777777777,11.51
RDP,0.5,0.37,0.0,0.02222222222222222,1.0
BU,0.5,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.5,0.79,0.5143385753931545,0.10866666666666668,4.89
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.3088888888888888,13.9
RDP,0.6000000000000001,0.37,0.0,0.02222222222222222,1.0
BU,0.6000000000000001,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.6000000000000001,0.75,0.42183163737280294,0.1051111111111111,4.73
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.39488888888888884,17.77
RDP,0.7000000000000001,0.37,0.0,0.02222222222222222,1.0
BU,0.7000000000000001,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.7000000000000001,0.76,0.4482758620689655,0.1,4.5
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.4966666666666668,22.35
RDP,0.8,0.37,0.0,0.02222222222222222,1.0
BU,0.8,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.8,0.73,0.3902439024390244,0.09444444444444444,4.25
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6086666666666667,27.39
RDP,0.9,0.37,0.0,0.02222222222222222,1.0
BU,0.9,0.38,-0.013403072899640378,0.04444444444444444,2.0
VC,0.9,0.72,0.385695480473892,0.08911111111111111,4.01
LSF,0.9,0.0,0.0,0.0,0.0
