Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.52,0.0,0.02222222222222222,1.0
RDP,0.0,1.0,1.0,0.9111111111111111,41.0
BU,0.0,1.0,1.0,1.0222222222222224,46.0
VC,0.0,1.0,1.0,1.0,45.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.72,0.4382022471910113,0.10444444444444442,4.7
RDP,0.1,0.72,0.44356120826709067,0.08777777777777777,3.95
BU,0.1,0.68,0.3548387096774194,0.08399999999999999,3.78
VC,0.1,0.85,0.699759807846277,0.19244444444444445,8.66
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.83,0.6569814366424536,0.1271111111111111,5.72
RDP,0.2,0.66,0.32646592709984157,0.041111111111111105,1.85
BU,0.2,0.65,0.2949234488315874,0.04488888888888889,2.02
VC,0.2,0.8,0.5987158908507224,0.14177777777777775,6.38
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.83,0.6569814366424536,0.16066666666666665,7.23
RDP,0.30000000000000004,0.65,0.27864798021434456,0.02555555555555555,1.15
BU,0.30000000000000004,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.30000000000000004,0.78,0.5564516129032258,0.12022222222222222,5.41
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.86,0.7172859450726979,0.20177777777777778,9.08
RDP,0.4,0.52,0.0,0.02222222222222222,1.0
BU,0.4,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.4,0.73,0.45783132530120474,0.11222222222222221,5.05
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.86,0.7181964573268922,0.2557777777777777,11.51
RDP,0.5,0.52,0.0,0.02222222222222222,1.0
BU,0.5,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.5,0.73,0.45695897023330645,0.10866666666666668,4.89
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.9,0.7996794871794872,0.3088888888888888,13.9
RDP,0.6000000000000001,0.52,0.0,0.02222222222222222,1.0
BU,0.6000000000000001,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.6000000000000001,0.72,0.43639291465378427,0.1051111111111111,4.73
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.96,0.9198717948717949,0.39488888888888884,17.77
RDP,0.7000000000000001,0.52,0.0,0.02222222222222222,1.0
BU,0.7000000000000001,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.7000000000000001,0.71,0.41579371474617244,0.1,4.5
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,0.97,0.9399519615692554,0.4966666666666668,22.35
RDP,0.8,0.52,0.0,0.02222222222222222,1.0
BU,0.8,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.8,0.72,0.4372990353697749,0.09444444444444444,4.25
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,0.99,0.9799839871897518,0.6086666666666667,27.39
RDP,0.9,0.52,0.0,0.02222222222222222,1.0
BU,0.9,0.65,0.2949234488315874,0.04444444444444444,2.0
VC,0.9,0.7,0.39710610932475887,0.08911111111111111,4.01
LSF,0.9,0.0,0.0,0.0,0.0
