Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.11,0.0,0.02222222222222222,1.0
RDP,0.0,1.0,1.0,0.9111111111111111,41.0
BU,0.0,1.0,1.0,1.0222222222222224,46.0
VC,0.0,1.0,1.0,1.0,45.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.95,0.7718978102189782,0.10444444444444442,4.7
RDP,0.1,0.74,0.3211488250652741,0.08777777777777777,3.95
BU,0.1,0.75,0.3602865916069601,0.08399999999999999,3.78
VC,0.1,0.94,0.7356828193832599,0.19244444444444445,8.66
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.94,0.7161778618732262,0.1271111111111111,5.72
RDP,0.2,0.27,-0.03870233352305075,0.041111111111111105,1.85
BU,0.2,0.35,0.009146341463414531,0.04488888888888889,2.02
VC,0.2,0.93,0.7204472843450479,0.14177777777777775,6.38
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.95,0.7544204322200393,0.16066666666666665,7.23
RDP,0.30000000000000004,0.16,0.012925969447708519,0.02555555555555555,1.15
BU,0.30000000000000004,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.30000000000000004,0.92,0.6215704824976348,0.12022222222222222,5.41
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.98,0.9053926206244087,0.20177777777777778,9.08
RDP,0.4,0.11,0.0,0.02222222222222222,1.0
BU,0.4,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.4,0.91,0.5894160583941606,0.11222222222222221,5.05
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9508840864440079,0.2557777777777777,11.51
RDP,0.5,0.11,0.0,0.02222222222222222,1.0
BU,0.5,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.5,0.93,0.656188605108055,0.10866666666666668,4.89
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.9508840864440079,0.3088888888888888,13.9
RDP,0.6000000000000001,0.11,0.0,0.02222222222222222,1.0
BU,0.6000000000000001,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.6000000000000001,0.89,0.5315161839863713,0.1051111111111111,4.73
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.99,0.9508840864440079,0.39488888888888884,17.77
RDP,0.7000000000000001,0.11,0.0,0.02222222222222222,1.0
BU,0.7000000000000001,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.7000000000000001,0.85,0.4673295454545454,0.1,4.5
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,0.98,0.9053926206244087,0.4966666666666668,22.35
RDP,0.8,0.11,0.0,0.02222222222222222,1.0
BU,0.8,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.8,0.85,0.520460358056266,0.09444444444444444,4.25
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6086666666666667,27.39
RDP,0.9,0.11,0.0,0.02222222222222222,1.0
BU,0.9,0.35,0.009146341463414531,0.04444444444444444,2.0
VC,0.9,0.78,0.4011976047904192,0.08911111111111111,4.01
LSF,0.9,0.0,0.0,0.0,0.0
