Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,2,-0.02072700760337476,0.022222222222222185,1.0
RDP,0.0,100,1.0,0.9166666666666657,41.25
BU,0.0,100,1.0,1.0,45.0
BU,0.0,100,1.0,1.0,45.0
VW,0.0,100,1.0,1.0,45.0
OS,0.01,8,0.039866416197036014,0.025777777777777743,1.16
RDP,0.01,94,0.9371464487743557,0.4699999999999997,21.15
BU,0.01,76,0.7489014438166981,0.3479999999999998,15.66
BU,0.01,76,0.7489014438166981,0.3479999999999998,15.66
VW,0.01,90,0.8952660242982824,0.37644444444444425,16.94
OS,0.02,13,0.09147869674185471,0.03222222222222217,1.45
RDP,0.02,89,0.8848649780196776,0.3233333333333329,14.55
BU,0.02,65,0.6341973244147157,0.24888888888888847,11.2
BU,0.02,65,0.6341973244147157,0.24888888888888847,11.2
VW,0.02,86,0.8533417138068301,0.27311111111111075,12.29
OS,0.03,15,0.11273486430062629,0.03799999999999995,1.71
RDP,0.03,79,0.7800586510263929,0.2415555555555552,10.87
BU,0.03,56,0.5503973232956922,0.20488888888888857,9.22
BU,0.03,56,0.5503973232956922,0.20488888888888857,9.22
VW,0.03,80,0.7905539847104409,0.22288888888888853,10.03
OS,0.04,25,0.21695552307371058,0.04533333333333331,2.04
RDP,0.04,73,0.7171886456478476,0.19288888888888867,8.68
BU,0.04,56,0.5397489539748954,0.1773333333333331,7.98
BU,0.04,56,0.5397489539748954,0.1773333333333331,7.98
VW,0.04,77,0.7589856439274861,0.19444444444444417,8.75
OS,0.05,32,0.29055816379760047,0.053111111111111074,2.39
RDP,0.05,68,0.6648863755367054,0.15755555555555542,7.09
BU,0.05,46,0.4355597365945437,0.15688888888888866,7.06
BU,0.05,46,0.4355597365945437,0.15688888888888866,7.06
VW,0.05,70,0.6856993190151912,0.17599999999999982,7.92
OS,0.06,36,0.331802046356233,0.056222222222222173,2.53
RDP,0.06,59,0.5711297071129707,0.13466666666666652,6.06
BU,0.06,42,0.39387605810429516,0.14355555555555535,6.46
BU,0.06,42,0.39387605810429516,0.14355555555555535,6.46
VW,0.06,66,0.6443886622738209,0.1613333333333332,7.26
OS,0.07,38,0.3524127846250261,0.05888888888888883,2.65
RDP,0.07,56,0.5505852842809364,0.117111111111111,5.27
BU,0.07,41,0.3834900731452455,0.1328888888888887,5.98
BU,0.07,41,0.3834900731452455,0.1328888888888887,5.98
VW,0.07,62,0.6027182435964453,0.15066666666666645,6.78
OS,0.08,38,0.3524127846250261,0.06133333333333327,2.76
RDP,0.08,47,0.4459544219109346,0.10111111111111104,4.55
BU,0.08,34,0.3107769423558898,0.12311111111111094,5.54
BU,0.08,34,0.3107769423558898,0.12311111111111094,5.54
VW,0.08,56,0.5508200146244646,0.13599999999999984,6.12
OS,0.09,39,0.36299081035923153,0.06688888888888882,3.01
RDP,0.09,41,0.38342564531298984,0.08799999999999995,3.96
BU,0.09,36,0.33159268929503916,0.11644444444444428,5.24
BU,0.09,36,0.33159268929503916,0.11644444444444428,5.24
VW,0.09,56,0.5405179615705931,0.1259999999999998,5.67
OS,0.1,40,0.3731062584891861,0.0697777777777777,3.14
RDP,0.1,40,0.37297523252168463,0.07799999999999996,3.51
BU,0.1,35,0.32086511336328494,0.10799999999999986,4.86
BU,0.1,35,0.32086511336328494,0.10799999999999986,4.86
VW,0.1,56,0.5405179615705933,0.12088888888888868,5.44
OS,0.11,40,0.3733026947984124,0.07422222222222215,3.34
RDP,0.11,36,0.331453045022459,0.06999999999999997,3.15
BU,0.11,36,0.33159268929503916,0.10311111111111101,4.64
BU,0.11,36,0.33159268929503916,0.10311111111111101,4.64
VW,0.11,54,0.5192307692307692,0.11466666666666651,5.16
OS,0.12,42,0.39406602590890094,0.07755555555555546,3.49
RDP,0.12,26,0.22747677210564776,0.061111111111111054,2.75
BU,0.12,32,0.28966886033636274,0.09511111111111098,4.28
BU,0.12,32,0.28966886033636274,0.09511111111111098,4.28
VW,0.12,56,0.5402298850574713,0.11111111111111095,5.0
OS,0.13,44,0.415204678362573,0.08022222222222215,3.61
RDP,0.13,28,0.24741298212605833,0.05555555555555551,2.5
BU,0.13,26,0.22650778718511555,0.09022222222222209,4.06
BU,0.13,26,0.22650778718511555,0.09022222222222209,4.06
VW,0.13,53,0.5089845382365232,0.10622222222222209,4.78
OS,0.14,45,0.4256474519632415,0.08422222222222216,3.79
RDP,0.14,21,0.17407213800313648,0.0493333333333333,2.22
BU,0.14,27,0.23688061885845701,0.08577777777777768,3.86
BU,0.14,27,0.23688061885845701,0.08577777777777768,3.86
VW,0.14,51,0.48819720075203676,0.10088888888888878,4.54
OS,0.15,45,0.42594718714121693,0.08755555555555546,3.94
RDP,0.15,21,0.17415847794271377,0.045333333333333295,2.04
BU,0.15,25,0.21539910032430176,0.08044444444444433,3.62
BU,0.15,25,0.21539910032430176,0.08044444444444433,3.62
VW,0.15,51,0.48830409356725146,0.0979999999999999,4.41
OS,0.16,48,0.456805599080748,0.09266666666666656,4.17
RDP,0.16,18,0.14288700742134408,0.04066666666666665,1.83
BU,0.16,23,0.19472913616398246,0.07777777777777768,3.5
BU,0.16,23,0.19472913616398246,0.07777777777777768,3.5
VW,0.16,50,0.47791584003341336,0.09466666666666654,4.26
OS,0.17,49,0.46714031971580816,0.09622222222222213,4.33
RDP,0.17,18,0.1431556948798327,0.0373333333333333,1.68
BU,0.17,23,0.19481334309317155,0.07288888888888881,3.28
BU,0.17,23,0.19481334309317155,0.07288888888888881,3.28
VW,0.17,51,0.48809026326786464,0.09066666666666656,4.08
OS,0.18,48,0.45635128071092523,0.10355555555555546,4.66
RDP,0.18,17,0.13297816776350146,0.03577777777777774,1.61
BU,0.18,22,0.18444165621079045,0.06933333333333326,3.12
BU,0.18,22,0.18444165621079045,0.06933333333333326,3.12
VW,0.18,49,0.46725164525227203,0.08844444444444433,3.98
OS,0.19,49,0.4666387784982221,0.10577777777777767,4.76
RDP,0.19,14,0.10229645093945727,0.03311111111111107,1.49
BU,0.19,22,0.18427107299728085,0.06755555555555548,3.04
BU,0.19,22,0.18427107299728085,0.06755555555555548,3.04
VW,0.19,47,0.4462438616654477,0.08666666666666656,3.9
OS,0.2,53,0.50836820083682,0.11377777777777764,5.12
RDP,0.2,11,0.07069019525947595,0.030666666666666623,1.38
BU,0.2,22,0.1836734693877552,0.062222222222222186,2.8
BU,0.2,22,0.1836734693877552,0.062222222222222186,2.8
VW,0.2,48,0.4566353187042842,0.0842222222222221,3.79
OS,0.21,56,0.5395081109366824,0.12022222222222209,5.41
RDP,0.21,11,0.07069019525947595,0.030444444444444402,1.37
BU,0.21,22,0.1839296924042687,0.06088888888888886,2.74
BU,0.21,22,0.1839296924042687,0.06088888888888886,2.74
VW,0.21,49,0.4670846394984326,0.08244444444444433,3.71
OS,0.22,56,0.5499267322587398,0.12511111111111098,5.63
RDP,0.22,9,0.04980682886081245,0.028444444444444404,1.28
BU,0.22,20,0.16256673296346702,0.059111111111111087,2.66
BU,0.22,20,0.16256673296346702,0.059111111111111087,2.66
VW,0.22,47,0.4461859979101359,0.0799999999999999,3.6
OS,0.23,59,0.5707705192629815,0.13022222222222207,5.86
RDP,0.23,9,0.050104384133611624,0.026444444444444402,1.19
BU,0.23,20,0.16256673296346702,0.056888888888888864,2.56
BU,0.23,20,0.16256673296346702,0.056888888888888864,2.56
VW,0.23,43,0.404139661300439,0.07755555555555546,3.49
OS,0.24,60,0.5814586167207283,0.13422222222222208,6.04
RDP,0.24,9,0.05020352781546811,0.02577777777777774,1.16
BU,0.24,18,0.14154103852596311,0.05466666666666665,2.46
BU,0.24,18,0.14154103852596311,0.05466666666666665,2.46
VW,0.24,44,0.4143484626647145,0.07644444444444436,3.44
OS,0.25,61,0.5918794474675597,0.1362222222222221,6.13
RDP,0.25,9,0.05020352781546811,0.02577777777777774,1.16
BU,0.25,17,0.1312539250575676,0.05333333333333332,2.4
BU,0.25,17,0.1312539250575676,0.05333333333333332,2.4
VW,0.25,41,0.38310330405688,0.0748888888888888,3.37
OS,0.26,62,0.6025520343060349,0.14333333333333317,6.45
RDP,0.26,8,0.04016692749087114,0.02511111111111107,1.13
BU,0.26,16,0.1212469923632179,0.05199999999999999,2.34
BU,0.26,16,0.1212469923632179,0.05199999999999999,2.34
VW,0.26,40,0.3725818257868869,0.07355555555555547,3.31
OS,0.27,63,0.6130111912979814,0.14799999999999985,6.66
RDP,0.27,8,0.040467250730079174,0.02466666666666663,1.11
BU,0.27,14,0.10013602594956583,0.05111111111111111,2.3
BU,0.27,14,0.10013602594956583,0.05111111111111111,2.3
VW,0.27,41,0.38284518828451874,0.07244444444444437,3.26
OS,0.28,64,0.623509725998745,0.14977777777777762,6.74
RDP,0.28,7,0.03044203502919096,0.02399999999999996,1.08
BU,0.28,14,0.10023017367650144,0.050666666666666665,2.28
BU,0.28,14,0.10023017367650144,0.050666666666666665,2.28
VW,0.28,39,0.36185793493043206,0.0697777777777777,3.14
OS,0.29,63,0.6130921259019135,0.1535555555555554,6.91
RDP,0.29,7,0.03044203502919096,0.023777777777777738,1.07
BU,0.29,13,0.08986295637619002,0.04977777777777778,2.24
BU,0.29,13,0.08986295637619002,0.04977777777777778,2.24
VW,0.29,39,0.36185793493043206,0.06933333333333326,3.12
OS,0.3,64,0.623509725998745,0.1579999999999999,7.11
RDP,0.3,6,0.020016680567139344,0.02333333333333329,1.05
BU,0.3,12,0.0795941847087126,0.04622222222222223,2.08
BU,0.3,12,0.0795941847087126,0.04622222222222223,2.08
VW,0.3,39,0.36159079016221873,0.06711111111111107,3.02
OS,0.31,65,0.6338912133891212,0.16333333333333322,7.35
RDP,0.31,6,0.020220971440483626,0.022888888888888848,1.03
BU,0.31,12,0.0795941847087126,0.04622222222222223,2.08
BU,0.31,12,0.0795941847087126,0.04622222222222223,2.08
VW,0.31,39,0.36159079016221884,0.06644444444444439,2.99
OS,0.32,67,0.6545949340590329,0.16888888888888876,7.6
RDP,0.32,6,0.020425177157148866,0.022666666666666627,1.02
BU,0.32,12,0.0796904413302657,0.04488888888888889,2.02
BU,0.32,12,0.0796904413302657,0.04488888888888889,2.02
VW,0.32,38,0.35119296776894104,0.0655555555555555,2.95
OS,0.33,67,0.6546672247802428,0.17355555555555535,7.81
RDP,0.33,5,0.010210460512606656,0.022444444444444406,1.01
BU,0.33,12,0.0796904413302657,0.04488888888888889,2.02
BU,0.33,12,0.0796904413302657,0.04488888888888889,2.02
VW,0.33,37,0.34100418410041833,0.06399999999999996,2.88
OS,0.34,67,0.6546672247802428,0.17644444444444424,7.94
RDP,0.34,5,0.010210460512606656,0.022444444444444406,1.01
BU,0.34,12,0.07988289418653272,0.044000000000000004,1.98
BU,0.34,12,0.07988289418653272,0.044000000000000004,1.98
VW,0.34,36,0.3304738989434042,0.06288888888888884,2.83
OS,0.35000000000000003,65,0.6338912133891212,0.1837777777777776,8.27
RDP,0.35000000000000003,4,0.0,0.022222222222222185,1.0
BU,0.35000000000000003,12,0.08007526656909891,0.042666666666666665,1.92
BU,0.35000000000000003,12,0.08007526656909891,0.042666666666666665,1.92
VW,0.35000000000000003,36,0.33054393305439334,0.0624444444444444,2.81
OS,0.36,66,0.6442770454069888,0.1859999999999998,8.37
RDP,0.36,4,0.0,0.022222222222222185,1.0
BU,0.36,11,0.0695243073706221,0.042222222222222223,1.9
BU,0.36,11,0.0695243073706221,0.042222222222222223,1.9
VW,0.36,35,0.3200836820083681,0.06177777777777774,2.78
OS,0.37,69,0.6757661332496601,0.1937777777777775,8.72
RDP,0.37,4,0.0,0.022222222222222185,1.0
BU,0.37,10,0.05906952430737067,0.04133333333333334,1.86
BU,0.37,10,0.05906952430737067,0.04133333333333334,1.86
VW,0.37,34,0.3095512082853855,0.061111111111111074,2.75
OS,0.38,70,0.6862252902416065,0.19866666666666635,8.94
RDP,0.38,4,0.0,0.022222222222222185,1.0
BU,0.38,10,0.059462848782526834,0.04,1.8
BU,0.38,10,0.059462848782526834,0.04,1.8
VW,0.38,33,0.299163179916318,0.059999999999999956,2.7
OS,0.39,72,0.706959706959707,0.20599999999999974,9.27
RDP,0.39,4,0.0,0.022222222222222185,1.0
BU,0.39,10,0.05965938773377921,0.03911111111111111,1.76
BU,0.39,10,0.05965938773377921,0.03911111111111111,1.76
