Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,27,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.8985,71.88
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,45,0.2526158445440957,0.0783750000000001,6.27
RDP,0.01,100,1.0,0.49462500000000015,39.57
BU,0.01,97,0.9534811598697472,0.2057500000000001,16.46
VW,0.01,100,1.0,0.55125,44.1
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,75,0.6296844911864908,0.10300000000000009,8.24
RDP,0.02,98,0.9688861232109521,0.34337500000000004,27.47
BU,0.02,93,0.8928516761059238,0.16412499999999994,13.13
VW,0.02,100,1.0,0.430625,34.45
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,69,0.5492220444961466,0.11875000000000009,9.5
RDP,0.03,95,0.9227083011284588,0.2720000000000001,21.76
BU,0.03,90,0.8483929654335961,0.14437499999999998,11.55
VW,0.03,99,0.9843920711721554,0.36650000000000027,29.32
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,68,0.5374385660595549,0.13087500000000007,10.47
RDP,0.04,90,0.847885609978704,0.22687499999999988,18.15
BU,0.04,86,0.7897266446380294,0.13312500000000002,10.65
VW,0.04,97,0.9534811598697472,0.3319999999999999,26.56
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,70,0.5649651972157773,0.13725000000000004,10.98
RDP,0.05,87,0.8041283712520717,0.19524999999999987,15.62
BU,0.05,84,0.7611940298507462,0.127375,10.19
VW,0.05,97,0.9534811598697472,0.3102500000000001,24.82
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,72,0.5914794280711992,0.14300000000000002,11.44
RDP,0.06,85,0.7754154813594849,0.175375,14.03
BU,0.06,83,0.7470614491891088,0.12374999999999994,9.9
VW,0.06,96,0.9379652605459057,0.29237500000000005,23.39
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,79,0.6914940502423975,0.15237500000000004,12.19
RDP,0.07,84,0.7611940298507462,0.16312500000000008,13.05
BU,0.07,83,0.7470614491891088,0.12062499999999997,9.65
VW,0.07,95,0.9227083011284588,0.2738750000000001,21.91
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,81,0.7191426459719144,0.159375,12.75
RDP,0.08,82,0.7330169089291011,0.15250000000000002,12.2
BU,0.08,83,0.7470614491891088,0.1185,9.48
VW,0.08,96,0.9379652605459057,0.2621250000000002,20.97
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,83,0.7471366949278596,0.16675,13.34
RDP,0.09,82,0.7330169089291011,0.14587499999999992,11.67
BU,0.09,83,0.7470614491891088,0.11675000000000002,9.34
VW,0.09,95,0.9227083011284588,0.2536250000000002,20.29
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,85,0.775482712168837,0.17450000000000002,13.96
RDP,0.1,82,0.7330169089291011,0.13999999999999999,11.2
BU,0.1,82,0.7313432835820896,0.11550000000000002,9.24
VW,0.1,93,0.8924896329288896,0.24625000000000014,19.7
