Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1,-0.00050530570995444,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8972151898734179,70.88
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,65,0.09793814432989689,0.06784810126582291,5.36
RDP,0.01,100,1.0,0.488227848101266,38.57
BU,0.01,99,0.9596774193548387,0.3787341772151899,29.92
BU,0.01,99,0.9596774193548387,0.3787341772151899,29.92
VW,0.01,100,1.0,0.3584810126582278,28.32
OS,0.02,92,0.6475770925110131,0.09202531645569623,7.27
RDP,0.02,99,0.9596774193548387,0.3351898734177212,26.48
BU,0.02,99,0.9596774193548387,0.2929113924050631,23.14
BU,0.02,99,0.9596774193548387,0.2929113924050631,23.14
VW,0.02,100,1.0,0.28341772151898725,22.39
OS,0.03,87,0.5038167938931297,0.10810126582278494,8.54
RDP,0.03,99,0.9596774193548387,0.2626582278481013,20.75
BU,0.03,100,1.0,0.25316455696202506,20.0
BU,0.03,100,1.0,0.25316455696202506,20.0
VW,0.03,100,1.0,0.2441772151898734,19.29
OS,0.04,94,0.797979797979798,0.12012658227848119,9.49
RDP,0.04,99,0.9596774193548387,0.2172151898734178,17.16
BU,0.04,98,0.9256505576208178,0.2308860759493669,18.24
BU,0.04,98,0.9256505576208178,0.2308860759493669,18.24
VW,0.04,97,0.8913043478260869,0.22063291139240523,17.43
OS,0.05,95,0.8275862068965517,0.1258227848101267,9.94
RDP,0.05,99,0.9596774193548387,0.18531645569620248,14.64
BU,0.05,98,0.9256505576208178,0.21746835443037957,17.18
BU,0.05,98,0.9256505576208178,0.21746835443037957,17.18
VW,0.05,98,0.9256505576208178,0.2026582278481013,16.01
OS,0.06,97,0.8913043478260869,0.1322784810126583,10.45
RDP,0.06,97,0.8854961832061069,0.1646835443037973,13.01
BU,0.06,97,0.8854961832061069,0.20987341772151885,16.58
BU,0.06,97,0.8854961832061069,0.20987341772151885,16.58
VW,0.06,99,0.9618320610687023,0.1882278481012658,14.87
OS,0.07,100,1.0,0.1413924050632912,11.17
RDP,0.07,97,0.8913043478260869,0.15227848101265817,12.03
BU,0.07,97,0.8854961832061069,0.20303797468354418,16.04
BU,0.07,97,0.8854961832061069,0.20303797468354418,16.04
VW,0.07,98,0.9256505576208178,0.17683544303797455,13.97
OS,0.08,100,1.0,0.14886075949367086,11.76
RDP,0.08,96,0.8513011152416357,0.14113924050632917,11.15
BU,0.08,97,0.8854961832061069,0.2005063291139239,15.84
BU,0.08,97,0.8854961832061069,0.2005063291139239,15.84
VW,0.08,98,0.9256505576208178,0.16734177215189855,13.22
OS,0.09,100,1.0,0.15430379746835426,12.19
RDP,0.09,97,0.8913043478260869,0.13443037974683555,10.62
BU,0.09,93,0.732824427480916,0.19721518987341757,15.58
BU,0.09,93,0.732824427480916,0.19721518987341757,15.58
VW,0.09,98,0.9256505576208178,0.15987341772151892,12.63
OS,0.1,100,1.0,0.15924050632911382,12.58
RDP,0.1,98,0.9256505576208178,0.12860759493670898,10.16
BU,0.1,91,0.6370967741935484,0.1949367088607593,15.4
BU,0.1,91,0.6370967741935484,0.1949367088607593,15.4
VW,0.1,97,0.8913043478260869,0.15278481012658227,12.07
OS,0.11,99,0.9618320610687023,0.16518987341772134,13.05
RDP,0.11,97,0.8854961832061069,0.12341772151898747,9.75
BU,0.11,90,0.5594713656387664,0.1908860759493669,15.08
BU,0.11,90,0.5594713656387664,0.1908860759493669,15.08
VW,0.11,96,0.8586572438162544,0.14658227848101274,11.58
OS,0.12,100,1.0,0.17329113924050626,13.69
RDP,0.12,98,0.9215686274509804,0.11835443037974698,9.35
BU,0.12,90,0.5594713656387664,0.18835443037974664,14.88
BU,0.12,90,0.5594713656387664,0.18835443037974664,14.88
VW,0.12,97,0.8913043478260869,0.14139240506329126,11.17
OS,0.13,99,0.9618320610687023,0.17962025316455685,14.19
RDP,0.13,97,0.8790322580645161,0.11455696202531661,9.05
BU,0.13,89,0.5,0.18556962025316434,14.66
BU,0.13,89,0.5,0.18556962025316434,14.66
VW,0.13,97,0.8913043478260869,0.13860759493670904,10.95
OS,0.14,100,1.0,0.18506329113924047,14.62
RDP,0.14,97,0.8717948717948718,0.11265822784810141,8.9
BU,0.14,85,0.21875,0.18253164556962007,14.42
BU,0.14,85,0.21875,0.18253164556962007,14.42
VW,0.14,96,0.8586572438162544,0.13455696202531664,10.63
OS,0.15,100,1.0,0.19063291139240504,15.06
RDP,0.15,97,0.8717948717948718,0.11126582278481027,8.79
BU,0.15,86,0.18128654970760238,0.17696202531645555,13.98
BU,0.15,86,0.18128654970760238,0.17696202531645555,13.98
VW,0.15,96,0.8586572438162544,0.13177215189873437,10.41
OS,0.16,99,0.9618320610687023,0.19696202531645565,15.56
RDP,0.16,95,0.7727272727272727,0.108227848101266,8.55
BU,0.16,86,0.18128654970760238,0.17240506329113905,13.62
BU,0.16,86,0.18128654970760238,0.17240506329113905,13.62
VW,0.16,95,0.8188405797101449,0.12987341772151917,10.26
OS,0.17,99,0.9618320610687023,0.20455696202531645,16.16
RDP,0.17,92,0.5979899497487438,0.10670886075949382,8.43
BU,0.17,87,0.20731707317073167,0.16784810126582264,13.26
BU,0.17,87,0.20731707317073167,0.16784810126582264,13.26
VW,0.17,95,0.8188405797101449,0.12759493670886093,10.08
OS,0.18,99,0.9618320610687023,0.21088607594936712,16.66
RDP,0.18,91,0.53125,0.10506329113924066,8.3
BU,0.18,86,0.10828025477707004,0.16405063291139224,12.96
BU,0.18,86,0.10828025477707004,0.16405063291139224,12.96
VW,0.18,95,0.8188405797101449,0.12518987341772167,9.89
OS,0.19,99,0.9618320610687023,0.21569620253164565,17.04
RDP,0.19,88,0.29824561403508776,0.10291139240506343,8.13
BU,0.19,86,0.10828025477707004,0.15898734177215185,12.56
BU,0.19,86,0.10828025477707004,0.15898734177215185,12.56
VW,0.19,95,0.8188405797101449,0.12367088607594953,9.77
OS,0.2,99,0.9618320610687023,0.22113924050632922,17.47
RDP,0.2,87,0.20731707317073167,0.10063291139240517,7.95
BU,0.2,86,0.10828025477707004,0.15544303797468348,12.28
BU,0.2,86,0.10828025477707004,0.15544303797468348,12.28
VW,0.2,94,0.7879858657243817,0.12202531645569639,9.64
OS,0.21,100,1.0,0.2263291139240507,17.88
RDP,0.21,87,0.20731707317073167,0.09835443037974693,7.77
BU,0.21,86,0.10828025477707004,0.14911392405063284,11.78
BU,0.21,86,0.10828025477707004,0.14911392405063284,11.78
VW,0.21,93,0.7586206896551724,0.12088607594936727,9.55
OS,0.22,100,1.0,0.2330379746835444,18.41
RDP,0.22,43,-0.03730664240218373,0.09518987341772159,7.52
BU,0.22,86,0.10828025477707004,0.14556962025316453,11.5
BU,0.22,86,0.10828025477707004,0.14556962025316453,11.5
VW,0.22,93,0.7586206896551724,0.12012658227848119,9.49
OS,0.23,100,1.0,0.23822784810126582,18.82
RDP,0.23,43,-0.05360443622920519,0.09113924050632916,7.2
BU,0.23,86,0.10828025477707004,0.1422784810126583,11.24
BU,0.23,86,0.10828025477707004,0.1422784810126583,11.24
VW,0.23,93,0.7586206896551724,0.11873417721519004,9.38
OS,0.24,100,1.0,0.24291139240506332,19.19
RDP,0.24,44,-0.08632395732298748,0.08772151898734178,6.93
BU,0.24,86,0.10828025477707004,0.1382278481012659,10.92
BU,0.24,86,0.10828025477707004,0.1382278481012659,10.92
VW,0.24,92,0.7306397306397306,0.11721518987341786,9.26
OS,0.25,99,0.9596774193548387,0.24810126582278483,19.6
RDP,0.25,44,-0.06870229007633588,0.0850632911392405,6.72
BU,0.25,86,0.10828025477707004,0.1349367088607596,10.66
BU,0.25,86,0.10828025477707004,0.1349367088607596,10.66
VW,0.25,93,0.7586206896551724,0.11506329113924066,9.09
OS,0.26,99,0.9596774193548387,0.2541772151898734,20.08
RDP,0.26,45,-0.08481262327416172,0.08278481012658226,6.54
BU,0.26,86,0.10828025477707004,0.13189873417721532,10.42
BU,0.26,86,0.10828025477707004,0.13189873417721532,10.42
VW,0.26,93,0.7586206896551724,0.11443037974683559,9.04
OS,0.27,99,0.9596774193548387,0.26063291139240513,20.59
RDP,0.27,43,-0.08778625954198471,0.08037974683544304,6.35
BU,0.27,86,0.10828025477707004,0.12936708860759505,10.22
BU,0.27,86,0.10828025477707004,0.12936708860759505,10.22
VW,0.27,93,0.7586206896551724,0.11278481012658242,8.91
OS,0.28,99,0.9596774193548387,0.2656962025316455,20.99
RDP,0.28,45,-0.0669253152279341,0.07645569620253165,6.04
BU,0.28,86,0.10828025477707004,0.12784810126582294,10.1
BU,0.28,86,0.10828025477707004,0.12784810126582294,10.1
VW,0.28,92,0.7173144876325088,0.11189873417721533,8.84
OS,0.29,99,0.9596774193548387,0.27101265822784787,21.41
RDP,0.29,43,-0.05360443622920519,0.07189873417721523,5.68
BU,0.29,86,0.10828025477707004,0.12455696202531659,9.84
BU,0.29,86,0.10828025477707004,0.12455696202531659,9.84
VW,0.29,92,0.7173144876325088,0.11139240506329127,8.8
OS,0.3,99,0.9596774193548387,0.2768354430379745,21.87
RDP,0.3,39,-0.0608695652173914,0.06949367088607601,5.49
BU,0.3,86,0.10828025477707004,0.12253164556962041,9.68
BU,0.3,86,0.10828025477707004,0.12253164556962041,9.68
VW,0.3,92,0.7173144876325088,0.1106329113924052,8.74
OS,0.31,99,0.9596774193548387,0.281518987341772,22.24
RDP,0.31,84,-0.019108280254777066,0.06670886075949375,5.27
BU,0.31,86,0.10828025477707004,0.12101265822784825,9.56
BU,0.31,86,0.10828025477707004,0.12101265822784825,9.56
VW,0.31,91,0.6739130434782609,0.1096202531645571,8.66
OS,0.32,100,1.0,0.2893670886075947,22.86
RDP,0.32,84,-0.019108280254777066,0.0651898734177216,5.15
BU,0.32,30,-0.04712041884816753,0.12000000000000015,9.48
BU,0.32,30,-0.04712041884816753,0.12000000000000015,9.48
VW,0.32,91,0.6739130434782609,0.10949367088607609,8.65
OS,0.33,100,1.0,0.2935443037974681,23.19
