Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,59,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.9122500000000002,72.98
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,59,0.0,0.05537499999999997,4.43
RDP,0.01,100,1.0,0.47125000000000006,37.7
BU,0.01,96,0.9167013744273219,0.19762499999999997,15.81
VW,0.01,100,1.0,0.534875,42.79
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,59,0.0,0.09287500000000001,7.43
RDP,0.02,97,0.9372909698996655,0.31425000000000003,25.14
BU,0.02,89,0.7683235046335299,0.1618750000000001,12.95
VW,0.02,100,1.0,0.4132500000000001,33.06
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,71,0.32808155699721964,0.10887500000000004,8.71
RDP,0.03,94,0.8731501057082452,0.24912499999999993,19.93
BU,0.03,83,0.6392190152801358,0.14462500000000003,11.57
VW,0.03,98,0.958350687213661,0.35525,28.42
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,78,0.5047276001800991,0.12075,9.66
RDP,0.04,92,0.8295696634000852,0.20787499999999998,16.63
BU,0.04,80,0.573924158500213,0.135875,10.87
VW,0.04,98,0.958350687213661,0.32087499999999997,25.67
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,77,0.48010849909584086,0.12974999999999998,10.38
RDP,0.05,87,0.7176368375325803,0.18299999999999994,14.64
BU,0.05,83,0.6392190152801358,0.12975,10.38
VW,0.05,96,0.9160721779269828,0.29837499999999995,23.87
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,77,0.48010849909584086,0.13624999999999995,10.9
RDP,0.06,86,0.6947230702136938,0.16500000000000004,13.2
BU,0.06,86,0.69944182052383,0.125,10.0
VW,0.06,95,0.8946925021061499,0.27825,22.26
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,79,0.5291479820627802,0.14375,11.5
RDP,0.07,84,0.6483516483516483,0.15412500000000004,12.33
BU,0.07,83,0.630755864465682,0.12174999999999997,9.74
VW,0.07,94,0.8731501057082452,0.26275000000000015,21.02
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,80,0.5533720410897722,0.15100000000000005,12.08
RDP,0.08,84,0.6511120802442215,0.14450000000000005,11.56
BU,0.08,78,0.5126273814798405,0.11762500000000004,9.41
VW,0.08,93,0.8514431239388794,0.2528750000000002,20.23
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,80,0.5533720410897722,0.15675000000000008,12.54
RDP,0.09,83,0.6248896734333628,0.13762499999999997,11.01
BU,0.09,74,0.41467807294011705,0.11525000000000003,9.22
VW,0.09,90,0.78531558608845,0.24137500000000006,19.31
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,84,0.6483516483516483,0.1647500000000001,13.18
RDP,0.1,79,0.5291479820627802,0.13249999999999995,10.6
BU,0.1,71,0.33910665451230626,0.11137500000000006,8.91
VW,0.1,90,0.78531558608845,0.23199999999999998,18.56
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,84,0.6511120802442215,0.17175000000000004,13.74
RDP,0.11,79,0.5291479820627802,0.12887499999999996,10.31
BU,0.11,68,0.26165205353022614,0.10875000000000005,8.7
VW,0.11,89,0.7629310344827587,0.22349999999999998,17.88
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,87,0.7176368375325803,0.17762500000000003,14.21
RDP,0.12,80,0.5533720410897722,0.125625,10.05
BU,0.12,67,0.2224316682375117,0.10512500000000005,8.41
VW,0.12,87,0.7176368375325803,0.21700000000000005,17.36
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,89,0.7629310344827587,0.18662499999999993,14.93
RDP,0.13,80,0.5533720410897722,0.12250000000000001,9.8
BU,0.13,64,0.14081145584725552,0.10137500000000003,8.11
VW,0.13,86,0.6947230702136938,0.21075,16.86
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,88,0.7403721332756382,0.19199999999999992,15.36
RDP,0.14,79,0.5291479820627802,0.12000000000000004,9.6
BU,0.14,60,0.03707270101107385,0.09887500000000005,7.91
VW,0.14,86,0.6947230702136938,0.20500000000000004,16.4
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,89,0.7629310344827587,0.19749999999999995,15.8
RDP,0.15,79,0.5291479820627802,0.117875,9.43
BU,0.15,60,0.03707270101107385,0.09725000000000003,7.78
VW,0.15,86,0.6947230702136938,0.199875,15.99
