Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,28,0.0,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.9111392405063293,71.98
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,45,0.14436838830118237,0.05632911392405069,4.45
RDP,0.01,99,0.9754661432777233,0.4646835443037974,36.71
BU,0.01,91,0.7920517560073937,0.36151898734177224,28.56
BU,0.01,91,0.7920517560073937,0.36151898734177224,28.56
VW,0.01,99,0.9754661432777233,0.34708860759493654,27.42
OS,0.02,43,-0.0049365303244006675,0.08670886075949369,6.85
RDP,0.02,96,0.9048072346501665,0.30708860759493645,24.26
BU,0.02,85,0.6663701067615658,0.282278481012658,22.3
BU,0.02,85,0.6663701067615658,0.282278481012658,22.3
VW,0.02,96,0.9048072346501665,0.26911392405063306,21.26
OS,0.03,64,0.28599761999206663,0.10227848101265832,8.08
RDP,0.03,95,0.882186616399623,0.23987341772151902,18.95
BU,0.03,82,0.6033494931687968,0.24506329113924027,19.36
BU,0.03,82,0.6033494931687968,0.24506329113924027,19.36
VW,0.03,93,0.8350612629594723,0.23177215189873426,18.31
OS,0.04,83,0.5994344957587181,0.11481012658227865,9.07
RDP,0.04,95,0.8844731977818854,0.1978481012658227,15.63
BU,0.04,83,0.6218861209964412,0.2273417721518985,17.96
BU,0.04,83,0.6218861209964412,0.2273417721518985,17.96
VW,0.04,91,0.7920517560073937,0.2072151898734178,16.37
OS,0.05,89,0.7408105560791706,0.12126582278481031,9.58
RDP,0.05,95,0.8844731977818854,0.17177215189873415,13.57
BU,0.05,83,0.614687216681777,0.21772151898734154,17.2
BU,0.05,83,0.614687216681777,0.21772151898734154,17.2
VW,0.05,91,0.7960108794197642,0.18974683544303797,14.99
OS,0.06,93,0.8350612629594723,0.12670886075949384,10.01
RDP,0.06,94,0.8627002288329519,0.1524050632911392,12.04
BU,0.06,84,0.6407723394701392,0.21012658227848077,16.6
BU,0.06,84,0.6407723394701392,0.21012658227848077,16.6
VW,0.06,88,0.7355663287791979,0.17734177215189864,14.01
OS,0.07,95,0.8798076923076923,0.13329113924050653,10.53
RDP,0.07,90,0.775482712168837,0.1420253164556962,11.22
BU,0.07,82,0.6033494931687968,0.20354430379746818,16.08
BU,0.07,82,0.6033494931687968,0.20354430379746818,16.08
VW,0.07,87,0.7108540925266904,0.16645569620253148,13.15
OS,0.08,95,0.8798076923076923,0.14000000000000015,11.06
RDP,0.08,91,0.7920517560073937,0.13265822784810133,10.48
BU,0.08,81,0.5851528384279476,0.19898734177215172,15.72
