Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,14,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.884375,70.75
BU_1,0.0,100,1.0,1.0125000000000017,81.0
BU_2,0.0,100,1.0,1.0,80.0
VW,0.0,100,1.0,1.0,80.0
OS,0.01,34,0.0,0.0783750000000001,6.27
RDP,0.01,100,1.0,0.49274999999999997,39.42
BU_1,0.01,96,0.9431333522888826,0.20412499999999992,16.33
BU_2,0.01,96,0.9431333522888826,0.38525,30.82
VW,0.01,100,1.0,0.544,43.52
OS,0.02,67,0.5048762190547638,0.10312500000000009,8.25
RDP,0.02,97,0.9573621375781695,0.34449999999999986,27.56
BU_1,0.02,86,0.79962788034922,0.16049999999999998,12.84
BU_2,0.02,86,0.79962788034922,0.2980000000000001,23.84
VW,0.02,99,0.9857428001140576,0.4294999999999999,34.36
OS,0.03,71,0.5721451755680143,0.11637500000000006,9.31
RDP,0.03,93,0.899540757749713,0.2681250000000001,21.45
BU_1,0.03,85,0.7848845547110282,0.14299999999999996,11.44
BU_2,0.03,85,0.7848845547110282,0.26300000000000007,21.04
VW,0.03,98,0.9714448886350657,0.36937500000000006,29.55
OS,0.04,74,0.6174782992496689,0.12687500000000004,10.15
RDP,0.04,90,0.8569384835479257,0.22424999999999995,17.94
BU_1,0.04,85,0.7854691075514875,0.133625,10.69
BU_2,0.04,85,0.7854691075514875,0.24425000000000005,19.54
VW,0.04,98,0.9714448886350657,0.33087500000000003,26.47
OS,0.05,76,0.646069901194514,0.13312499999999997,10.65
RDP,0.05,90,0.8557622962642435,0.19587499999999994,15.67
BU_1,0.05,84,0.7700819083201609,0.12824999999999995,10.26
BU_2,0.05,84,0.7700819083201609,0.2335,18.68
VW,0.05,96,0.9425617461229179,0.30900000000000005,24.72
OS,0.06,78,0.6804647785039941,0.14062499999999997,11.25
RDP,0.06,87,0.8125991062418914,0.17862500000000003,14.29
BU_1,0.06,82,0.7431140288283146,0.12249999999999997,9.8
BU_2,0.06,82,0.7431140288283146,0.22200000000000014,17.76
VW,0.06,93,0.8998712630524961,0.292375,23.39
OS,0.07,80,0.7096399535423925,0.15062500000000004,12.05
RDP,0.07,85,0.7829861111111112,0.1630000000000001,13.04
BU_1,0.07,82,0.7435166714163579,0.118625,9.49
BU_2,0.07,82,0.7435166714163579,0.21425000000000005,17.14
VW,0.07,93,0.8999714204058302,0.2763749999999999,22.11
OS,0.08,81,0.7238372093023255,0.157,12.56
RDP,0.08,81,0.7258297258297258,0.15200000000000002,12.16
BU_1,0.08,80,0.713999713999714,0.11637499999999999,9.31
BU_2,0.08,80,0.713999713999714,0.20975000000000005,16.78
VW,0.08,91,0.87118935165307,0.26287500000000014,21.03
OS,0.09,84,0.7666618054542803,0.16537499999999997,13.23
RDP,0.09,78,0.6834987771543664,0.14412500000000003,11.53
BU_1,0.09,79,0.7001713306681896,0.114625,9.17
BU_2,0.09,79,0.7001713306681896,0.20625000000000004,16.5
VW,0.09,91,0.87118935165307,0.2537500000000001,20.3
OS,0.1,85,0.7815003641660597,0.17325000000000002,13.86
RDP,0.1,79,0.6940559440559441,0.13762499999999997,11.01
BU_1,0.1,77,0.6725978647686832,0.11400000000000002,9.12
BU_2,0.1,77,0.6725978647686832,0.20500000000000007,16.4
VW,0.1,90,0.856795073750537,0.2432500000000001,19.46
OS,0.11,83,0.7510980966325036,0.17962499999999998,14.37
RDP,0.11,80,0.7087944088526499,0.13212499999999994,10.57
BU_1,0.11,77,0.6725978647686832,0.11187500000000006,8.95
BU_2,0.11,77,0.6725978647686832,0.20075000000000004,16.06
VW,0.11,86,0.797979797979798,0.23287499999999997,18.63
OS,0.12,86,0.795171909290417,0.18812500000000004,15.05
RDP,0.12,78,0.6798603026775321,0.12787499999999993,10.23
BU_1,0.12,74,0.6280400572246065,0.1098750000000001,8.79
BU_2,0.12,74,0.6280400572246065,0.19674999999999998,15.74
VW,0.12,85,0.7824194952132288,0.22537499999999994,18.03
OS,0.13,87,0.8114849187935035,0.19474999999999998,15.58
RDP,0.13,77,0.6632010543271343,0.12450000000000001,9.96
BU_1,0.13,73,0.6123474515434314,0.1083750000000001,8.67
BU_2,0.13,73,0.6123474515434314,0.19374999999999992,15.5
VW,0.13,85,0.7819767441860466,0.2196249999999999,17.57
OS,0.14,86,0.796156086196855,0.20125,16.1
RDP,0.14,76,0.6488147497805092,0.12200000000000001,9.76
BU_1,0.14,71,0.582072344718259,0.1067500000000001,8.54
BU_2,0.14,71,0.582072344718259,0.19049999999999995,15.24
VW,0.14,85,0.7819767441860466,0.213125,17.05
OS,0.15,88,0.8260869565217391,0.20612500000000003,16.49
RDP,0.15,75,0.6345563514106125,0.11987500000000002,9.59
BU_1,0.15,70,0.5660977726352329,0.10475000000000008,8.38
BU_2,0.15,70,0.5660977726352329,0.18649999999999992,14.92
VW,0.15,85,0.7819767441860466,0.20787499999999992,16.63
OS,0.16,90,0.8554495518936109,0.21450000000000005,17.16
RDP,0.16,74,0.6202161846333626,0.11787500000000001,9.43
BU_1,0.16,68,0.5377726419182435,0.10312500000000009,8.25
BU_2,0.16,68,0.5377726419182435,0.18324999999999997,14.66
VW,0.16,83,0.7531581240017424,0.20237499999999994,16.19
OS,0.17,90,0.8558870154200894,0.21912500000000004,17.53
RDP,0.17,73,0.6058969493504598,0.11687500000000003,9.35
BU_1,0.17,65,0.4959677419354839,0.10112500000000006,8.09
BU_2,0.17,65,0.4959677419354839,0.1792499999999999,14.34
VW,0.17,83,0.7546897546897546,0.19637500000000002,15.71
OS,0.18,92,0.8853703969050007,0.22399999999999995,17.92
RDP,0.18,73,0.6058969493504598,0.11487500000000005,9.19
BU_1,0.18,63,0.4679321253954559,0.09962500000000006,7.97
BU_2,0.18,63,0.4679321253954559,0.1762499999999999,14.1
VW,0.18,83,0.7546897546897546,0.19399999999999998,15.52
OS,0.19,92,0.8853703969050007,0.22725,18.18
RDP,0.19,73,0.6058969493504598,0.11337500000000007,9.07
BU_1,0.19,59,0.4121020934901062,0.09712499999999999,7.77
BU_2,0.19,59,0.4121020934901062,0.17124999999999993,13.7
VW,0.19,83,0.7546897546897546,0.18999999999999992,15.2
OS,0.2,93,0.9000571102227298,0.23287500000000017,18.63
RDP,0.2,72,0.5915985997666278,0.11162500000000004,8.93
BU_1,0.2,57,0.39957112223016433,0.09537499999999995,7.63
BU_2,0.2,57,0.39957112223016433,0.16774999999999995,13.42
VW,0.2,82,0.7406713730010086,0.18724999999999992,14.98
OS,0.21,91,0.8709677419354839,0.23850000000000018,19.08
RDP,0.21,68,0.5346131471785922,0.10812500000000004,8.65
BU_1,0.21,55,0.3617926535243229,0.09237499999999996,7.39
BU_2,0.21,55,0.3617926535243229,0.16174999999999998,12.94
VW,0.21,82,0.7401097314467225,0.18324999999999997,14.66
OS,0.22,91,0.8709677419354839,0.24325000000000016,19.46
RDP,0.22,67,0.5193008011653313,0.10525000000000004,8.42
BU_1,0.22,51,0.31410974244120937,0.09074999999999996,7.26
BU_2,0.22,51,0.31410974244120937,0.1585,12.68
VW,0.22,81,0.7230724384200553,0.17962499999999992,14.37
OS,0.23,92,0.8857795545402627,0.24850000000000017,19.88
RDP,0.23,62,0.4457409568261377,0.10037500000000003,8.03
BU_1,0.23,45,0.23066163099734227,0.08837499999999995,7.07
BU_2,0.23,45,0.23066163099734227,0.15375000000000003,12.3
VW,0.23,82,0.7390169638973467,0.1761249999999999,14.09
OS,0.24,92,0.8851069941117334,0.25300000000000017,20.24
