Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,6,-0.013367830961621419,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8829113924050636,69.75
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,45,0.30835010060362167,0.06759493670886087,5.34
RDP,0.01,99,0.986180210060807,0.48632911392405087,38.42
BU,0.01,87,0.8220640569395017,0.37518987341772153,29.64
BU,0.01,87,0.8220640569395017,0.37518987341772153,29.64
VW,0.01,94,0.9170353982300885,0.36139240506329107,28.55
OS,0.02,60,0.47739743924745226,0.09139240506329116,7.22
RDP,0.02,94,0.9180999180999181,0.33620253164556957,26.56
BU,0.02,80,0.7298757428417072,0.28607594936708847,22.6
BU,0.02,80,0.7298757428417072,0.28607594936708847,22.6
VW,0.02,92,0.8905608755129959,0.28341772151898725,22.39
OS,0.03,68,0.5839833593343733,0.10582278481012672,8.36
RDP,0.03,93,0.9036078215367667,0.25886075949367093,20.45
BU,0.03,82,0.7512437810945274,0.24810126582278452,19.6
BU,0.03,82,0.7512437810945274,0.24810126582278452,19.6
VW,0.03,87,0.8237049091402224,0.2443037974683545,19.3
OS,0.04,78,0.7132429614181439,0.11772151898734194,9.3
RDP,0.04,89,0.8511904761904762,0.2145569620253165,16.95
BU,0.04,82,0.7486735548729404,0.23037974683544282,18.2
BU,0.04,82,0.7486735548729404,0.23037974683544282,18.2
VW,0.04,86,0.809575625680087,0.21556962025316465,17.03
OS,0.05,77,0.701686121919585,0.1236708860759495,9.77
RDP,0.05,87,0.8224043715846995,0.18582278481012654,14.68
BU,0.05,80,0.7186268992684299,0.2184810126582276,17.26
BU,0.05,80,0.7186268992684299,0.2184810126582276,17.26
VW,0.05,84,0.7826677533279001,0.19784810126582283,15.63
OS,0.06,78,0.7126436781609196,0.12936708860759508,10.22
RDP,0.06,84,0.7829625610417796,0.1682278481012657,13.29
BU,0.06,82,0.7444633730834753,0.20911392405063267,16.52
BU,0.06,82,0.7444633730834753,0.20911392405063267,16.52
VW,0.06,82,0.755700325732899,0.18379746835443034,14.52
OS,0.07,78,0.7127187255158005,0.13835443037974693,10.93
RDP,0.07,88,0.8363338788870704,0.15240506329113912,12.04
BU,0.07,83,0.7576276019389792,0.20303797468354415,16.04
BU,0.07,83,0.7576276019389792,0.20303797468354415,16.04
