Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.2,0.012096774193548376,0.01052631578947369
RDP,0.0,1.0,1.0,1.0
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.1,0.9714285714285714,0.8994252873563219,0.10962406015037593
RDP,0.1,0.8714285714285714,0.5882352941176471,0.08751879699248119
BU,0.1,0.7142857142857143,0.36936936936936937,0.11518796992481205
VC,0.1,0.9285714285714286,0.7566063977746871,0.23082706766917294
OS,0.2,0.9714285714285714,0.8994252873563219,0.18496240601503763
RDP,0.2,0.7714285714285715,0.36363636363636376,0.052781954887218055
BU,0.2,0.7857142857142857,0.41860465116279066,0.07518796992481201
VC,0.2,0.9142857142857143,0.676923076923077,0.1581954887218045
OS,0.30000000000000004,0.9857142857142858,0.9479940564635958,0.29142857142857137
RDP,0.30000000000000004,0.5857142857142857,0.2014162077104642,0.038045112781954896
BU,0.30000000000000004,0.8285714285714286,0.46700507614213205,0.056541353383458656
VC,0.30000000000000004,0.9571428571428572,0.8539638386648123,0.13263157894736843
OS,0.4,1.0,1.0,0.40406015037593984
RDP,0.4,0.37142857142857144,-0.14925373134328335,0.021954887218045116
BU,0.4,0.8142857142857143,0.40522875816993464,0.05353383458646618
VC,0.4,0.9285714285714286,0.7712418300653595,0.11383458646616541
OS,0.5,1.0,1.0,0.529624060150376
RDP,0.5,0.5714285714285714,-0.08024691358024683,0.012330827067669177
BU,0.5,0.8,0.3396226415094339,0.05172932330827069
VC,0.5,0.9,0.7141190198366394,0.09879699248120301
OS,0.6000000000000001,1.0,1.0,0.6636090225563909
RDP,0.6000000000000001,0.5857142857142857,-0.1240310077519382,0.010676691729323312
BU,0.6000000000000001,0.8142857142857143,0.40522875816993464,0.0499248120300752
VC,0.6000000000000001,0.8857142857142857,0.6818181818181819,0.08766917293233083
OS,0.7000000000000001,1.0,1.0,0.7750375939849624
RDP,0.7000000000000001,0.5714285714285714,-0.19318181818181812,0.01052631578947369
BU,0.7000000000000001,0.8,0.41247002398081534,0.04812030075187971
VC,0.7000000000000001,0.8142857142857143,0.542713567839196,0.0793984962406015
OS,0.8,1.0,1.0,0.8624060150375941
RDP,0.8,0.5714285714285714,-0.19318181818181812,0.01052631578947369
BU,0.8,0.7428571428571429,0.31965442764578833,0.044812030075187984
VC,0.8,0.7714285714285715,0.4736842105263158,0.07278195488721803
OS,0.9,1.0,1.0,0.9380451127819549
RDP,0.9,0.5714285714285714,-0.19318181818181812,0.01052631578947369
BU,0.9,0.7,0.32382704691812325,0.03879699248120302
VC,0.9,0.7142857142857143,0.39446366782006925,0.06751879699248119
