Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.8142857142857143,-0.02708803611738131,0.01052631578947369
RDP,0.0,1.0,1.0,1.0
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.01,0.8142857142857143,0.43896424167694204,0.032330827067669175
RDP,0.01,0.9857142857142858,0.9479940564635958,0.6311278195488723
BU,0.01,0.9714285714285714,0.8994252873563219,0.392781954887218
VC,0.01,0.9857142857142858,0.9479940564635958,0.6819548872180451
OS,0.02,0.8428571428571429,0.5252774352651048,0.04045112781954888
RDP,0.02,0.9571428571428572,0.8539638386648123,0.42496240601503754
BU,0.02,0.9571428571428572,0.8439821693907875,0.27398496240601505
VC,0.02,0.9857142857142858,0.9479940564635958,0.5451127819548873
OS,0.03,0.8571428571428571,0.5283018867924528,0.050375939849624074
RDP,0.03,0.9428571428571428,0.8113207547169812,0.30436090225563905
BU,0.03,0.9571428571428572,0.8439821693907875,0.2213533834586466
VC,0.03,0.9714285714285714,0.8994252873563219,0.4610526315789473
OS,0.04,0.8571428571428571,0.49712643678160917,0.05669172932330828
RDP,0.04,0.9428571428571428,0.8113207547169812,0.23954887218045115
BU,0.04,0.9714285714285714,0.8994252873563219,0.19187969924812032
VC,0.04,0.9714285714285714,0.8994252873563219,0.3996992481203007
OS,0.05,0.8857142857142857,0.5977011494252873,0.06436090225563908
RDP,0.05,0.9142857142857143,0.6982758620689655,0.1921804511278195
BU,0.05,0.9428571428571428,0.7988505747126436,0.16691729323308271
VC,0.05,0.9571428571428572,0.8539638386648123,0.35488721804511275
OS,0.06,0.9,0.6359583952451708,0.0700751879699248
RDP,0.06,0.9285714285714286,0.7566063977746871,0.15729323308270676
BU,0.06,0.9428571428571428,0.7988505747126436,0.15097744360902252
VC,0.06,0.9571428571428572,0.8539638386648123,0.3186466165413534
OS,0.07,0.9,0.6359583952451708,0.08120300751879701
RDP,0.07,0.9,0.6592489568845619,0.13338345864661655
BU,0.07,0.9428571428571428,0.7988505747126436,0.13924812030075184
VC,0.07,0.9571428571428572,0.8539638386648123,0.2900751879699248
OS,0.08,0.9,0.6359583952451708,0.09458646616541354
RDP,0.08,0.8428571428571429,0.46453407510431155,0.11323308270676694
BU,0.08,0.9285714285714286,0.7566063977746871,0.1281203007518797
VC,0.08,0.9571428571428572,0.8539638386648123,0.26556390977443595
OS,0.09,0.9285714285714286,0.7208931419457736,0.10150375939849626
RDP,0.09,0.8571428571428571,0.46153846153846156,0.09729323308270676
BU,0.09,0.9285714285714286,0.7566063977746871,0.12210526315789473
VC,0.09,0.9428571428571428,0.8113207547169812,0.24932330827067664
OS,0.1,0.9285714285714286,0.7208931419457736,0.10962406015037593
RDP,0.1,0.8571428571428571,0.49712643678160917,0.08751879699248119
BU,0.1,0.9,0.6592489568845619,0.11518796992481205
VC,0.1,0.9428571428571428,0.8113207547169812,0.23082706766917294
OS,0.11,0.9285714285714286,0.7208931419457736,0.11699248120300751
RDP,0.11,0.8571428571428571,0.49712643678160917,0.08030075187969926
BU,0.11,0.8857142857142857,0.5977011494252873,0.10947368421052632
VC,0.11,0.9428571428571428,0.8113207547169812,0.21458646616541355
OS,0.12,0.9428571428571428,0.7846153846153846,0.12646616541353387
RDP,0.12,0.8571428571428571,0.5283018867924528,0.0736842105263158
BU,0.12,0.8857142857142857,0.5977011494252873,0.10406015037593982
VC,0.12,0.9428571428571428,0.8113207547169812,0.20451127819548878
OS,0.13,0.9571428571428572,0.8439821693907875,0.1321804511278196
RDP,0.13,0.8571428571428571,0.5558375634517767,0.06887218045112782
BU,0.13,0.8714285714285714,0.5319465081723626,0.10045112781954886
VC,0.13,0.9428571428571428,0.8113207547169812,0.19639097744360898
OS,0.14,0.9571428571428572,0.8439821693907875,0.13714285714285715
RDP,0.14,0.8571428571428571,0.5558375634517767,0.06661654135338346
BU,0.14,0.8714285714285714,0.5319465081723626,0.09503759398496239
VC,0.14,0.9428571428571428,0.8113207547169812,0.18947368421052627
OS,0.15,0.9428571428571428,0.7988505747126436,0.14360902255639096
RDP,0.15,0.8571428571428571,0.5558375634517767,0.06406015037593986
BU,0.15,0.8714285714285714,0.5319465081723626,0.0926315789473684
VC,0.15,0.9428571428571428,0.8113207547169812,0.18315789473684213
OS,0.16,0.9428571428571428,0.7988505747126436,0.15067669172932333
RDP,0.16,0.8714285714285714,0.6115906288532675,0.06045112781954887
BU,0.16,0.8714285714285714,0.5319465081723626,0.08812030075187968
VC,0.16,0.9428571428571428,0.8113207547169812,0.17654135338345867
OS,0.17,0.9428571428571428,0.7988505747126436,0.15714285714285717
RDP,0.17,0.8714285714285714,0.6115906288532675,0.05804511278195489
BU,0.17,0.8428571428571429,0.46453407510431155,0.08210526315789471
VC,0.17,0.9428571428571428,0.8113207547169812,0.17142857142857143
OS,0.18,0.9285714285714286,0.7399702823179792,0.16676691729323312
RDP,0.18,0.8714285714285714,0.6115906288532675,0.05578947368421054
BU,0.18,0.8571428571428571,0.5283018867924528,0.07879699248120299
VC,0.18,0.9428571428571428,0.8113207547169812,0.16571428571428568
OS,0.19,0.9571428571428572,0.8539638386648123,0.17714285714285716
RDP,0.19,0.8714285714285714,0.6115906288532675,0.054285714285714305
BU,0.19,0.8571428571428571,0.5283018867924528,0.07789473684210524
VC,0.19,0.9428571428571428,0.8113207547169812,0.16135338345864655
OS,0.2,0.9571428571428572,0.8539638386648123,0.18496240601503763
RDP,0.2,0.8714285714285714,0.6115906288532675,0.052781954887218055
BU,0.2,0.8428571428571429,0.49673202614379086,0.07518796992481201
VC,0.2,0.9428571428571428,0.8113207547169812,0.1581954887218045
OS,0.21,0.9571428571428572,0.8539638386648123,0.19263157894736846
RDP,0.21,0.8714285714285714,0.6115906288532675,0.05127819548872182
BU,0.21,0.8571428571428571,0.5558375634517767,0.07218045112781953
VC,0.21,0.9428571428571428,0.8113207547169812,0.1550375939849624
OS,0.22,0.9571428571428572,0.8539638386648123,0.20721804511278194
RDP,0.22,0.8714285714285714,0.6115906288532675,0.0505263157894737
BU,0.22,0.8571428571428571,0.5558375634517767,0.06947368421052628
VC,0.22,0.9428571428571428,0.8113207547169812,0.15323308270676692
OS,0.23,0.9714285714285714,0.9056603773584906,0.21428571428571427
RDP,0.23,0.8571428571428571,0.580335731414868,0.04887218045112783
BU,0.23,0.8428571428571429,0.5252774352651048,0.06646616541353383
VC,0.23,0.9428571428571428,0.8113207547169812,0.15037593984962408
OS,0.24,0.9857142857142858,0.9513212795549374,0.22466165413533828
RDP,0.24,0.8428571428571429,0.5507584597432905,0.04691729323308272
BU,0.24,0.8428571428571429,0.5252774352651048,0.06556390977443606
VC,0.24,0.9428571428571428,0.8113207547169812,0.1478195488721805
OS,0.25,0.9857142857142858,0.9513212795549374,0.23533834586466165
RDP,0.25,0.8285714285714286,0.5227272727272727,0.046015037593984974
BU,0.25,0.8428571428571429,0.5252774352651048,0.06406015037593982
VC,0.25,0.9428571428571428,0.8113207547169812,0.1442105263157895
OS,0.26,0.9857142857142858,0.9513212795549374,0.24781954887218047
RDP,0.26,0.8,0.4708423326133909,0.043759398496240616
BU,0.26,0.8714285714285714,0.6115906288532675,0.060751879699248106
VC,0.26,0.9428571428571428,0.8113207547169812,0.14120300751879702
OS,0.27,0.9857142857142858,0.9513212795549374,0.25789473684210523
RDP,0.27,0.8,0.4708423326133909,0.04285714285714287
BU,0.27,0.8714285714285714,0.6115906288532675,0.05954887218045112
VC,0.27,0.9428571428571428,0.8113207547169812,0.13879699248120303
OS,0.28,0.9857142857142858,0.9513212795549374,0.2703759398496241
RDP,0.28,0.7714285714285715,0.4238683127572017,0.040451127819548884
BU,0.28,0.8714285714285714,0.6115906288532675,0.05804511278195489
VC,0.28,0.9428571428571428,0.8113207547169812,0.13654135338345869
OS,0.29,0.9857142857142858,0.9513212795549374,0.28225563909774437
RDP,0.29,0.7428571428571429,0.38113948919449914,0.03969924812030076
BU,0.29,0.8714285714285714,0.6115906288532675,0.05684210526315791
VC,0.29,0.9428571428571428,0.8113207547169812,0.13443609022556394
OS,0.3,0.9857142857142858,0.9513212795549374,0.29142857142857137
RDP,0.3,0.6714285714285714,0.2594296228150874,0.038045112781954896
BU,0.3,0.8714285714285714,0.6115906288532675,0.056541353383458656
VC,0.3,0.9428571428571428,0.8113207547169812,0.13263157894736843
OS,0.31,0.9857142857142858,0.9513212795549374,0.2986466165413534
RDP,0.31,0.6714285714285714,0.28949691085613416,0.037293233082706774
