Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.6,-0.011351909184726505,0.01052631578947369
RDP,0.0,1.0,1.0,1.0
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.1,0.9,0.7986852917009039,0.10962406015037593
RDP,0.1,0.7714285714285715,0.5544948289578361,0.08751879699248119
BU,0.1,0.6857142857142857,0.41710825132475393,0.11518796992481205
VC,0.1,0.9285714285714286,0.8523206751054853,0.23082706766917294
OS,0.2,0.9285714285714286,0.8542880932556203,0.18496240601503763
RDP,0.2,0.7571428571428571,0.5412490362374711,0.052781954887218055
BU,0.2,0.6714285714285714,0.37933693138010793,0.07518796992481201
VC,0.2,0.9571428571428572,0.9113924050632911,0.1581954887218045
OS,0.30000000000000004,0.9571428571428572,0.9113924050632911,0.29142857142857137
RDP,0.30000000000000004,0.5714285714285714,0.2505353319057815,0.038045112781954896
BU,0.30000000000000004,0.6857142857142857,0.4026377036462374,0.056541353383458656
VC,0.30000000000000004,0.9142857142857143,0.826302729528536,0.13263157894736843
OS,0.4,0.9571428571428572,0.9113924050632911,0.40406015037593984
RDP,0.4,0.5714285714285714,0.1646778042959427,0.021954887218045116
BU,0.4,0.6714285714285714,0.371584699453552,0.05353383458646618
VC,0.4,0.9,0.7960033305578684,0.11383458646616541
OS,0.5,0.9714285714285714,0.9405267629566695,0.529624060150376
RDP,0.5,0.6571428571428571,0.23427529626253418,0.012330827067669177
BU,0.5,0.6571428571428571,0.3483320403413499,0.05172932330827069
VC,0.5,0.9,0.7986852917009039,0.09879699248120301
OS,0.6000000000000001,0.9857142857142858,0.9696444058976583,0.6636090225563909
RDP,0.6000000000000001,0.6428571428571429,0.1845293569431501,0.010676691729323312
BU,0.6000000000000001,0.6714285714285714,0.3869002284843869,0.0499248120300752
VC,0.6000000000000001,0.8714285714285714,0.7445255474452555,0.08766917293233083
OS,0.7000000000000001,0.9857142857142858,0.9696444058976583,0.7750375939849624
RDP,0.7000000000000001,0.6571428571428571,0.22294172062904716,0.01052631578947369
BU,0.7000000000000001,0.6714285714285714,0.3869002284843869,0.04812030075187971
VC,0.7000000000000001,0.8142857142857143,0.6403162055335969,0.0793984962406015
OS,0.8,1.0,1.0,0.8624060150375941
RDP,0.8,0.6571428571428571,0.22294172062904716,0.01052631578947369
BU,0.8,0.6857142857142857,0.4099616858237548,0.044812030075187984
VC,0.8,0.8,0.6101829753381065,0.07278195488721803
OS,0.9,1.0,1.0,0.9380451127819549
RDP,0.9,0.6571428571428571,0.22294172062904716,0.01052631578947369
BU,0.9,0.7142857142857143,0.4569433669511249,0.03879699248120302
VC,0.9,0.7571428571428571,0.5355191256830601,0.06751879699248119
