Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,100,1.0,0.007142857142857128,1.0
RDP,0.0,100,1.0,0.9999278499278498,139.989898989899
BU,0.0,100,1.0,1.0071428571428562,141.0
VW,0.0,100,1.0,1.0,140.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,100,1.0,0.02503607503607501,3.505050505050505
RDP,0.01,100,1.0,0.22085137085137074,30.91919191919192
BU,0.01,100,1.0,0.11111111111111101,15.555555555555555
VW,0.01,100,1.0,0.3855699855699856,53.97979797979798
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,100,1.0,0.05064935064935056,7.090909090909091
RDP,0.02,100,1.0,0.13636363636363635,19.09090909090909
BU,0.02,100,1.0,0.08549783549783536,11.969696969696969
VW,0.02,100,1.0,0.26839826839826836,37.57575757575758
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,100,1.0,0.059956709956709854,8.393939393939394
RDP,0.03,100,1.0,0.10461760461760457,14.646464646464647
BU,0.03,100,1.0,0.07438672438672428,10.414141414141413
VW,0.03,100,1.0,0.21976911976911961,30.767676767676768
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,100,1.0,0.06551226551226542,9.171717171717171
RDP,0.04,100,1.0,0.08881673881673867,12.434343434343434
BU,0.04,100,1.0,0.0702020202020201,9.828282828282829
VW,0.04,100,1.0,0.1907647907647907,26.707070707070706
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,100,1.0,0.07164502164502155,10.030303030303031
RDP,0.05,100,1.0,0.07539682539682527,10.555555555555555
BU,0.05,100,1.0,0.0655844155844155,9.181818181818182
VW,0.05,100,1.0,0.17020202020202024,23.828282828282827
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,100,1.0,0.07554112554112544,10.575757575757576
RDP,0.06,100,1.0,0.06544011544011535,9.16161616161616
BU,0.06,100,1.0,0.06212121212121203,8.696969696969697
VW,0.06,100,1.0,0.15541125541125542,21.757575757575758
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.07965367965367953,11.151515151515152
RDP,0.07,100,1.0,0.05966810966810959,8.353535353535353
BU,0.07,100,1.0,0.05952380952380942,8.333333333333334
VW,0.07,100,1.0,0.14415584415584412,20.181818181818183
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.08398268398268388,11.757575757575758
RDP,0.08,100,1.0,0.05526695526695519,7.737373737373737
BU,0.08,100,1.0,0.05642135642135632,7.898989898989899
VW,0.08,100,1.0,0.13564213564213562,18.98989898989899
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,100,1.0,0.08845598845598837,12.383838383838384
RDP,0.09,100,1.0,0.05187590187590179,7.262626262626263
BU,0.09,100,1.0,0.05367965367965357,7.515151515151516
VW,0.09,100,1.0,0.12720057720057718,17.80808080808081
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,100,1.0,0.09271284271284262,12.97979797979798
RDP,0.1,100,1.0,0.04870129870129862,6.818181818181818
BU,0.1,100,1.0,0.05194805194805185,7.2727272727272725
VW,0.1,100,1.0,0.12215007215007213,17.1010101010101
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.096103896103896,13.454545454545455
RDP,0.11,100,1.0,0.04646464646464638,6.505050505050505
BU,0.11,100,1.0,0.049639249639249546,6.94949494949495
VW,0.11,100,1.0,0.11695526695526694,16.373737373737374
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.1005050505050504,14.070707070707071
RDP,0.12,100,1.0,0.04242424242424236,5.9393939393939394
BU,0.12,100,1.0,0.047546897546897456,6.656565656565657
VW,0.12,100,1.0,0.11204906204906198,15.686868686868687
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.10360750360750352,14.505050505050505
RDP,0.13,100,1.0,0.040548340548340486,5.6767676767676765
BU,0.13,100,1.0,0.04516594516594508,6.3232323232323235
VW,0.13,100,1.0,0.10815295815295807,15.141414141414142
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.10642135642135632,14.8989898989899
RDP,0.14,100,1.0,0.03903318903318897,5.4646464646464645
BU,0.14,100,1.0,0.043290043290043226,6.0606060606060606
VW,0.14,100,1.0,0.10468975468975458,14.656565656565656
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.11103896103896098,15.545454545454545
RDP,0.15,100,1.0,0.0376623376623376,5.2727272727272725
BU,0.15,100,1.0,0.0415584415584415,5.818181818181818
VW,0.15,100,1.0,0.101082251082251,14.151515151515152
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.11399711399711394,15.95959595959596
RDP,0.16,100,1.0,0.035930735930735876,5.03030303030303
BU,0.16,100,1.0,0.03917748917748912,5.484848484848484
VW,0.16,100,1.0,0.09891774891774881,13.848484848484848
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.11717171717171714,16.404040404040405
RDP,0.17,100,1.0,0.034848484848484795,4.878787878787879
BU,0.17,100,1.0,0.03730158730158725,5.222222222222222
VW,0.17,100,1.0,0.09624819624819615,13.474747474747474
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.1204184704184704,16.858585858585858
RDP,0.18,100,1.0,0.034199134199134146,4.787878787878788
BU,0.18,100,1.0,0.03600288600288596,5.040404040404041
VW,0.18,100,1.0,0.09307359307359296,13.030303030303031
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.12395382395382398,17.353535353535353
RDP,0.19,100,1.0,0.03326118326118321,4.656565656565657
BU,0.19,100,1.0,0.0351370851370851,4.91919191919192
VW,0.19,100,1.0,0.09112554112554101,12.757575757575758
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,100,1.0,0.12792207792207794,17.90909090909091
RDP,0.2,100,1.0,0.0322510822510822,4.515151515151516
BU,0.2,100,1.0,0.03448773448773445,4.828282828282828
VW,0.2,100,1.0,0.08982683982683971,12.575757575757576
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,100,1.0,0.13174603174603172,18.444444444444443
RDP,0.21,100,1.0,0.03102453102453097,4.343434343434343
BU,0.21,100,1.0,0.03369408369408365,4.717171717171717
VW,0.21,100,1.0,0.08816738816738805,12.343434343434344
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,100,1.0,0.1353535353535353,18.949494949494948
RDP,0.22,100,1.0,0.030014430014429962,4.202020202020202
BU,0.22,100,1.0,0.03275613275613271,4.585858585858586
VW,0.22,100,1.0,0.0867243867243866,12.141414141414142
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,100,1.0,0.13852813852813853,19.393939393939394
RDP,0.23,100,1.0,0.029076479076479027,4.070707070707071
BU,0.23,100,1.0,0.03217893217893213,4.505050505050505
VW,0.23,100,1.0,0.08549783549783538,11.969696969696969
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,100,1.0,0.14199134199134195,19.87878787878788
RDP,0.24,100,1.0,0.02763347763347759,3.8686868686868685
BU,0.24,100,1.0,0.0317460317460317,4.444444444444445
VW,0.24,100,1.0,0.08427128427128415,11.797979797979798
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,100,1.0,0.14545454545454545,20.363636363636363
RDP,0.25,100,1.0,0.026767676767676725,3.7474747474747474
