Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.44,0.0,0.007194244604316543,1.0
RDP,0.0,1.0,1.0,0.9999280575539568,138.99
BU,0.0,1.0,1.0,1.007194244604317,140.0
VC,0.0,1.0,1.0,1.0,139.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.93,0.8582995951417004,0.09510791366906476,13.22
RDP,0.1,0.9,0.797077922077922,0.043237410071942435,6.01
BU,0.1,0.72,0.4556765163297045,0.05129496402877696,7.13
VC,0.1,0.96,0.9196141479099679,0.12798561151079135,17.79
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.94,0.8788368336025848,0.1381294964028777,19.2
RDP,0.2,0.74,0.4849445324881141,0.020647482014388485,2.87
BU,0.2,0.61,0.26746806912096166,0.028992805755395673,4.03
VC,0.2,0.92,0.84,0.09402877697841724,13.07
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.96,0.9192245557350566,0.17223021582733822,23.94
RDP,0.30000000000000004,0.76,0.52,0.01043165467625899,1.45
BU,0.30000000000000004,0.65,0.3335872048743336,0.021582733812949638,3.0
VC,0.30000000000000004,0.89,0.7805267358339985,0.08057553956834532,11.2
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.98,0.9596122778675282,0.21431654676258993,29.79
RDP,0.4,0.76,0.5222929936305732,0.007482014388489205,1.04
BU,0.4,0.64,0.31610942249240126,0.018345323741007197,2.55
VC,0.4,0.88,0.76,0.07561151079136691,10.51
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.97,0.9389747762408462,0.27438848920863307,38.14
RDP,0.5,0.76,0.5222929936305732,0.007194244604316543,1.0
BU,0.5,0.64,0.31921331316187584,0.01611510791366906,2.24
VC,0.5,0.86,0.72,0.07043165467625898,9.79
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.979757085020243,0.3617985611510791,50.29
RDP,0.6000000000000001,0.76,0.5222929936305732,0.007194244604316543,1.0
BU,0.6000000000000001,0.64,0.31921331316187584,0.015467625899280569,2.15
VC,0.6000000000000001,0.84,0.6799999999999999,0.06611510791366905,9.19
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.99,0.979757085020243,0.50431654676259,70.1
RDP,0.7000000000000001,0.76,0.5222929936305732,0.007194244604316543,1.0
BU,0.7000000000000001,0.63,0.2987111448066718,0.014964028776978411,2.08
VC,0.7000000000000001,0.82,0.64171974522293,0.06035971223021581,8.39
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6736690647482014,93.64
RDP,0.8,0.76,0.5222929936305732,0.007194244604316543,1.0
BU,0.8,0.63,0.2987111448066718,0.014604316546762584,2.03
VC,0.8,0.79,0.5849802371541502,0.05769784172661868,8.02
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8523021582733813,118.47
RDP,0.9,0.76,0.5222929936305732,0.007194244604316543,1.0
BU,0.9,0.63,0.2987111448066718,0.014460431654676253,2.01
VC,0.9,0.77,0.5497259201252936,0.05402877697841725,7.51
LSF,0.9,0.0,0.0,0.0,0.0
