Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007352941176470571,1.0
RDP,0.0,100,1.0,0.9827941176470594,133.66
BU,0.0,100,1.0,1.0073529411764683,137.0
VW,0.0,100,1.0,1.0,136.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,95,0.0,0.017352941176470554,2.36
RDP,0.01,100,1.0,0.19066176470588228,25.93
BU,0.01,100,1.0,0.11029411764705874,15.0
VW,0.01,100,1.0,0.32220588235294106,43.82
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,100,1.0,0.05919117647058817,8.05
RDP,0.02,100,1.0,0.13889705882352946,18.89
BU,0.02,100,1.0,0.08110294117647059,11.03
VW,0.02,100,1.0,0.23669117647058807,32.19
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,100,1.0,0.06375000000000004,8.67
RDP,0.03,100,1.0,0.10874999999999993,14.79
BU,0.03,100,1.0,0.07036764705882356,9.57
VW,0.03,100,1.0,0.20272058823529424,27.57
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,100,1.0,0.06529411764705889,8.88
RDP,0.04,100,1.0,0.09441176470588228,12.84
BU,0.04,100,1.0,0.06448529411764704,8.77
VW,0.04,100,1.0,0.18257352941176472,24.83
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,100,1.0,0.06705882352941185,9.12
RDP,0.05,100,1.0,0.08588235294117645,11.68
BU,0.05,100,1.0,0.061544117647058805,8.37
VW,0.05,100,1.0,0.16889705882352943,22.97
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,100,1.0,0.06919117647058828,9.41
RDP,0.06,100,1.0,0.07904411764705883,10.75
BU,0.06,100,1.0,0.05882352941176466,8.0
VW,0.06,100,1.0,0.15742647058823533,21.41
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.07404411764705887,10.07
RDP,0.07,100,1.0,0.07242647058823531,9.85
BU,0.07,100,1.0,0.05595588235294113,7.61
VW,0.07,100,1.0,0.14676470588235302,19.96
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.07661764705882355,10.42
RDP,0.08,100,1.0,0.0684558823529412,9.31
BU,0.08,100,1.0,0.05455882352941173,7.42
VW,0.08,100,1.0,0.13977941176470604,19.01
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,100,1.0,0.08132352941176473,11.06
RDP,0.09,100,1.0,0.06477941176470588,8.81
BU,0.09,100,1.0,0.05404411764705878,7.35
VW,0.09,100,1.0,0.13375000000000006,18.19
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,100,1.0,0.08448529411764709,11.49
RDP,0.1,100,1.0,0.0617647058823529,8.4
BU,0.1,100,1.0,0.05323529411764704,7.24
VW,0.1,100,1.0,0.12610294117647064,17.15
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.08882352941176469,12.08
