Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.94,0.0,0.007407407407407406,1.0
RDP,0.0,1.0,1.0,0.9808148148148149,132.41
BU,0.0,1.0,1.0,1.007407407407408,136.0
VC,0.0,1.0,1.0,1.0,135.0
LSF,0.0,0.94,0.0,0.007407407407407406,1.0
OS,0.1,0.96,0.48453608247422675,0.07637037037037037,10.31
RDP,0.1,0.95,0.2732558139534884,0.05355555555555556,7.23
BU,0.1,0.96,0.48453608247422675,0.04740740740740741,6.4
VC,0.1,0.98,0.7899159663865546,0.11755555555555557,15.87
LSF,0.1,1.0,1.0,0.10370370370370374,14.0
OS,0.2,0.99,0.9038461538461539,0.13637037037037036,18.41
RDP,0.2,0.84,-0.08108108108108092,0.03874074074074074,5.23
BU,0.2,0.9,-0.050420168067226934,0.03251851851851852,4.39
VC,0.2,0.97,0.6527777777777778,0.07837037037037037,10.58
LSF,0.2,1.0,1.0,0.19999999999999996,27.0
OS,0.30000000000000004,1.0,1.0,0.17474074074074075,23.59
RDP,0.30000000000000004,0.85,0.13990825688073405,0.03392592592592592,4.58
BU,0.30000000000000004,0.85,-0.0775862068965516,0.02266666666666666,3.06
VC,0.30000000000000004,0.97,0.6527777777777778,0.0654074074074074,8.83
LSF,0.30000000000000004,1.0,1.0,0.30370370370370375,41.0
OS,0.4,1.0,1.0,0.20162962962962966,27.22
RDP,0.4,0.71,0.0799492385786803,0.02548148148148148,3.44
BU,0.4,0.82,-0.0869565217391306,0.016518518518518516,2.23
VC,0.4,0.97,0.6527777777777778,0.06081481481481481,8.21
LSF,0.4,1.0,1.0,0.3999999999999999,54.0
OS,0.5,1.0,1.0,0.22881481481481483,30.89
RDP,0.5,0.79,-0.00190839694656475,0.009851851851851851,1.33
BU,0.5,0.82,-0.0869565217391306,0.014962962962962961,2.02
VC,0.5,0.97,0.6527777777777778,0.05703703703703703,7.7
LSF,0.5,1.0,1.0,0.503703703703704,68.0
OS,0.6000000000000001,1.0,1.0,0.26407407407407407,35.65
RDP,0.6000000000000001,0.94,0.0,0.007407407407407406,1.0
BU,0.6000000000000001,0.81,-0.08944954128440363,0.014888888888888886,2.01
VC,0.6000000000000001,0.97,0.6527777777777778,0.05533333333333335,7.47
LSF,0.6000000000000001,1.0,1.0,0.503703703703704,68.0
OS,0.7000000000000001,1.0,1.0,0.3264444444444445,44.07
RDP,0.7000000000000001,0.94,0.0,0.007407407407407406,1.0
BU,0.7000000000000001,0.81,-0.08944954128440363,0.014888888888888886,2.01
VC,0.7000000000000001,0.97,0.6527777777777778,0.05362962962962964,7.24
LSF,0.7000000000000001,1.0,1.0,0.503703703703704,68.0
OS,0.8,1.0,1.0,0.4594074074074075,62.02
RDP,0.8,0.94,0.0,0.007407407407407406,1.0
BU,0.8,0.81,-0.08944954128440363,0.014814814814814812,2.0
VC,0.8,0.96,0.48453608247422675,0.05155555555555557,6.96
LSF,0.8,1.0,1.0,0.503703703703704,68.0
OS,0.9,1.0,1.0,0.7040740740740741,95.05
RDP,0.9,0.94,0.0,0.007407407407407406,1.0
BU,0.9,0.81,-0.08944954128440363,0.014814814814814812,2.0
VC,0.9,0.95,0.4212962962962963,0.049925925925925936,6.74
LSF,0.9,1.0,1.0,0.503703703703704,68.0
