Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,39,-0.21999999999999997,0.0074074074074074155,1.0
RDP,0.0,100,1.0,0.9826666666666664,132.66
BU,0.0,100,1.0,1.0,135.0
BU,0.0,100,1.0,1.0,135.0
VW,0.0,100,1.0,1.0,135.0
OS,0.01,44,-0.1200000000000001,0.009777777777777788,1.32
RDP,0.01,100,1.0,0.18525925925925932,25.01
BU,0.01,100,1.0,0.20274074074074086,27.37
BU,0.01,100,1.0,0.20274074074074086,27.37
VW,0.01,100,1.0,0.19637037037037042,26.51
OS,0.02,99,0.98,0.05229629629629635,7.06
RDP,0.02,100,1.0,0.13296296296296306,17.95
BU,0.02,100,1.0,0.14385185185185187,19.42
BU,0.02,100,1.0,0.14385185185185187,19.42
VW,0.02,100,1.0,0.1516296296296296,20.47
OS,0.03,99,0.98,0.05637037037037044,7.61
RDP,0.03,100,1.0,0.10222222222222228,13.8
BU,0.03,100,1.0,0.12207407407407406,16.48
BU,0.03,100,1.0,0.12207407407407406,16.48
VW,0.03,100,1.0,0.1272592592592593,17.18
OS,0.04,99,0.98,0.05762962962962969,7.78
RDP,0.04,100,1.0,0.08785185185185185,11.86
BU,0.04,100,1.0,0.11037037037037033,14.9
BU,0.04,100,1.0,0.11037037037037033,14.9
VW,0.04,100,1.0,0.10651851851851854,14.38
OS,0.05,99,0.98,0.05896296296296302,7.96
RDP,0.05,100,1.0,0.07903703703703707,10.67
BU,0.05,100,1.0,0.10414814814814814,14.06
BU,0.05,100,1.0,0.10414814814814814,14.06
VW,0.05,100,1.0,0.09288888888888888,12.54
OS,0.06,99,0.98,0.06059259259259265,8.18
RDP,0.06,100,1.0,0.07200000000000002,9.72
BU,0.06,96,0.92,0.09896296296296296,13.36
BU,0.06,96,0.92,0.09896296296296296,13.36
VW,0.06,100,1.0,0.08422222222222223,11.37
OS,0.07,100,1.0,0.06488888888888894,8.76
RDP,0.07,100,1.0,0.06518518518518522,8.8
BU,0.07,93,0.86,0.0927407407407408,12.52
BU,0.07,93,0.86,0.0927407407407408,12.52
