Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,70,0.0,0.010416666666666654,1.0
RDP,0.0,100,1.0,0.5354166666666668,51.4
BU,0.0,100,1.0,1.0104166666666676,97.0
VW,0.0,100,1.0,1.0,96.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,69,0.0057729313662604476,0.02291666666666666,2.2
RDP,0.01,100,1.0,0.41291666666666677,39.64
BU,0.01,98,0.9560536145902,0.2065625,19.83
VW,0.01,100,1.0,0.44114583333333335,42.35
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,69,0.0057729313662604476,0.025625,2.46
RDP,0.02,100,1.0,0.3752083333333334,36.02
BU,0.02,85,0.6448863636363635,0.14697916666666666,14.11
VW,0.02,100,1.0,0.3959375,38.01
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,70,0.01928734880679961,0.029166666666666684,2.8
RDP,0.03,100,1.0,0.35541666666666666,34.12
BU,0.03,84,0.6118389131489568,0.11666666666666663,11.2
VW,0.03,100,1.0,0.37208333333333327,35.72
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,71,0.049491969845952055,0.03416666666666669,3.28
RDP,0.04,100,1.0,0.3386458333333332,32.51
BU,0.04,82,0.5405819295558958,0.09947916666666662,9.55
VW,0.04,100,1.0,0.3581249999999999,34.38
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,72,0.09735654416505479,0.041666666666666685,4.0
RDP,0.05,100,1.0,0.3181249999999999,30.54
BU,0.05,79,0.46401225114854516,0.08447916666666667,8.11
VW,0.05,100,1.0,0.3393749999999999,32.58
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,72,0.09735654416505479,0.046770833333333324,4.49
RDP,0.06,99,0.9780653652116692,0.30177083333333327,28.97
BU,0.06,78,0.4076467420570813,0.07614583333333333,7.31
VW,0.06,100,1.0,0.32802083333333315,31.49
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,72,0.11420436570705472,0.04999999999999996,4.8
RDP,0.07,98,0.9560536145902,0.28260416666666677,27.13
BU,0.07,78,0.39091915836101876,0.06781249999999998,6.51
VW,0.07,99,0.9783080260303687,0.30958333333333315,29.72
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,72,0.11420436570705472,0.055208333333333304,5.3
RDP,0.08,96,0.912929908576404,0.26875000000000004,25.8
BU,0.08,77,0.3447293447293448,0.06291666666666665,6.04
VW,0.08,99,0.9783080260303687,0.29760416666666656,28.57
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,72,0.11420436570705472,0.05687499999999998,5.46
RDP,0.09,96,0.9117971334068358,0.2548958333333334,24.47
BU,0.09,76,0.3077588693394866,0.05875,5.64
VW,0.09,98,0.9565406345067362,0.29124999999999995,27.96
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,71,0.067524115755627,0.06093749999999999,5.85
RDP,0.1,95,0.8909725250763192,0.23041666666666674,22.12
BU,0.1,74,0.22734026745913827,0.054791666666666655,5.26
VW,0.1,98,0.9565406345067362,0.28541666666666665,27.4
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,72,0.11420436570705472,0.07072916666666666,6.79
