Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1.0,1.0,0.010526315789473687,1.0
RDP,0.0,1.0,1.0,0.5005263157894737,47.55
BU,0.0,1.0,1.0,1.0105263157894735,96.0
VC,0.0,1.0,1.0,1.0,95.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.05989473684210526,5.69
RDP,0.1,1.0,1.0,0.20557894736842106,19.53
BU,0.1,1.0,1.0,0.04621052631578947,4.39
VC,0.1,1.0,1.0,0.266,25.27
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.278,26.41
RDP,0.2,1.0,1.0,0.03863157894736842,3.67
BU,0.2,1.0,1.0,0.028631578947368425,2.72
VC,0.2,1.0,1.0,0.14757894736842106,14.02
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.3290526315789474,31.26
RDP,0.30000000000000004,1.0,1.0,0.0268421052631579,2.55
BU,0.30000000000000004,1.0,1.0,0.02378947368421053,2.26
VC,0.30000000000000004,1.0,1.0,0.10147368421052633,9.64
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.3616842105263159,34.36
RDP,0.4,1.0,1.0,0.01842105263157895,1.75
BU,0.4,1.0,1.0,0.021789473684210532,2.07
VC,0.4,1.0,1.0,0.07968421052631579,7.57
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.3843157894736842,36.51
RDP,0.5,1.0,1.0,0.014000000000000002,1.33
BU,0.5,1.0,1.0,0.021263157894736852,2.02
VC,0.5,1.0,1.0,0.06789473684210527,6.45
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.39663157894736834,37.68
RDP,0.6000000000000001,1.0,1.0,0.010526315789473687,1.0
BU,0.6000000000000001,1.0,1.0,0.02115789473684211,2.01
VC,0.6000000000000001,1.0,1.0,0.05568421052631579,5.29
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.4219999999999999,40.09
RDP,0.7000000000000001,1.0,1.0,0.010526315789473687,1.0
BU,0.7000000000000001,1.0,1.0,0.02115789473684211,2.01
VC,0.7000000000000001,1.0,1.0,0.048315789473684215,4.59
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.45589473684210524,43.31
RDP,0.8,1.0,1.0,0.010526315789473687,1.0
BU,0.8,1.0,1.0,0.021052631578947375,2.0
VC,0.8,1.0,1.0,0.04368421052631579,4.15
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.48526315789473684,46.1
RDP,0.9,1.0,1.0,0.010526315789473687,1.0
BU,0.9,1.0,1.0,0.021052631578947375,2.0
VC,0.9,1.0,1.0,0.03926315789473684,3.73
LSF,0.9,0.0,0.0,0.0,0.0
