Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1.0,1.0,0.010526315789473687,1.0
RDP,0.0,1.0,1.0,0.5589473684210525,53.1
BU,0.0,1.0,1.0,1.0105263157894735,96.0
VC,0.0,1.0,1.0,1.0,95.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.050210526315789476,4.77
RDP,0.1,1.0,1.0,0.3002105263157894,28.52
BU,0.1,1.0,1.0,0.051052631578947356,4.85
VC,0.1,1.0,1.0,0.3643157894736842,34.61
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.37947368421052624,36.05
RDP,0.2,0.99,0.0,0.03621052631578947,3.44
BU,0.2,1.0,1.0,0.031052631578947373,2.95
VC,0.2,1.0,1.0,0.1630526315789474,15.49
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.4272631578947368,40.59
RDP,0.30000000000000004,1.0,1.0,0.023684210526315794,2.25
BU,0.30000000000000004,1.0,1.0,0.02410526315789474,2.29
VC,0.30000000000000004,1.0,1.0,0.10578947368421053,10.05
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.45747368421052625,43.46
RDP,0.4,1.0,1.0,0.01757894736842105,1.67
BU,0.4,1.0,1.0,0.02157894736842106,2.05
VC,0.4,1.0,1.0,0.08610526315789473,8.18
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.4723157894736842,44.87
RDP,0.5,1.0,1.0,0.013368421052631583,1.27
BU,0.5,1.0,1.0,0.021052631578947375,2.0
VC,0.5,1.0,1.0,0.07157894736842105,6.8
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4938947368421052,46.92
RDP,0.6000000000000001,1.0,1.0,0.010526315789473687,1.0
BU,0.6000000000000001,1.0,1.0,0.021052631578947375,2.0
VC,0.6000000000000001,1.0,1.0,0.06147368421052631,5.84
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.509157894736842,48.37
RDP,0.7000000000000001,1.0,1.0,0.010526315789473687,1.0
BU,0.7000000000000001,1.0,1.0,0.021052631578947375,2.0
VC,0.7000000000000001,1.0,1.0,0.05347368421052631,5.08
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.5282105263157895,50.18
RDP,0.8,1.0,1.0,0.010526315789473687,1.0
BU,0.8,1.0,1.0,0.021052631578947375,2.0
VC,0.8,1.0,1.0,0.04947368421052631,4.7
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.5428421052631579,51.57
RDP,0.9,1.0,1.0,0.010526315789473687,1.0
BU,0.9,1.0,1.0,0.021052631578947375,2.0
VC,0.9,1.0,1.0,0.04368421052631579,4.15
LSF,0.9,0.0,0.0,0.0,0.0
