Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,42,0.15155061439438267,0.010526315789473696,1.0
RDP,0.0,100,1.0,0.5305263157894735,50.4
BU,0.0,100,1.0,1.0,95.0
BU,0.0,100,1.0,1.0,95.0
VW,0.0,100,1.0,1.0,95.0
OS,0.01,44,0.17948717948717952,0.012736842105263171,1.21
RDP,0.01,97,0.9610339005065593,0.40673684210526323,38.64
BU,0.01,95,0.9356416527223581,0.38526315789473725,36.6
BU,0.01,95,0.9356416527223581,0.38526315789473725,36.6
VW,0.01,96,0.9480856586632057,0.36768421052631584,34.93
OS,0.02,39,0.1062271062271064,0.015368421052631597,1.46
RDP,0.02,89,0.857991221275497,0.36863157894736853,35.02
BU,0.02,79,0.735249621785174,0.26463157894736844,25.14
BU,0.02,79,0.735249621785174,0.26463157894736844,25.14
VW,0.02,95,0.9351827845475759,0.3214736842105264,30.54
OS,0.03,36,0.060343561885185526,0.018736842105263177,1.78
RDP,0.03,89,0.8580828280221907,0.34863157894736835,33.12
BU,0.03,72,0.6440828778441592,0.20410526315789476,19.39
BU,0.03,72,0.6440828778441592,0.20410526315789476,19.39
VW,0.03,91,0.8835403726708074,0.28400000000000003,26.98
OS,0.04,38,0.10235992471405808,0.023789473684210548,2.26
RDP,0.04,91,0.8837359514274642,0.33168421052631586,31.51
BU,0.04,62,0.5180111618467783,0.1697894736842106,16.13
BU,0.04,62,0.5180111618467783,0.1697894736842106,16.13
VW,0.04,91,0.8836006207966891,0.2565263157894737,24.37
OS,0.05,48,0.27837912850402446,0.030736842105263187,2.92
RDP,0.05,91,0.8837359514274642,0.31084210526315803,29.53
BU,0.05,59,0.47784004075394815,0.13852631578947366,13.16
BU,0.05,59,0.47784004075394815,0.13852631578947366,13.16
VW,0.05,81,0.7575912222505741,0.1944210526315789,18.47
OS,0.06,59,0.43920120366570936,0.035789473684210565,3.4
RDP,0.06,90,0.8701973001038421,0.29421052631578953,27.95
BU,0.06,52,0.37815779246016323,0.12168421052631576,11.56
BU,0.06,52,0.37815779246016323,0.12168421052631576,11.56
VW,0.06,78,0.7203863751906456,0.16494736842105265,15.67
OS,0.07,59,0.44270762539078434,0.03926315789473687,3.73
RDP,0.07,86,0.819098074686652,0.2747368421052632,26.1
BU,0.07,49,0.33176100628930816,0.10652631578947364,10.12
BU,0.07,49,0.33176100628930816,0.10652631578947364,10.12
VW,0.07,79,0.7322453142930001,0.14442105263157892,13.72
OS,0.08,67,0.5578185716199919,0.04431578947368419,4.21
RDP,0.08,85,0.8076676496986793,0.2609473684210526,24.79
BU,0.08,49,0.31543624161073824,0.09726315789473676,9.24
BU,0.08,49,0.31543624161073824,0.09726315789473676,9.24
VW,0.08,75,0.6798975672215108,0.12442105263157893,11.82
OS,0.09,67,0.561811180454123,0.04610526315789471,4.38
