Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007633587786259552,1.0
RDP,0.0,100,1.0,0.9946564885496184,130.3
BU,0.0,100,1.0,1.0076335877862592,132.0
VW,0.0,100,1.0,1.0,131.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,97,0.3902439024390244,0.021603053435114497,2.83
RDP,0.01,100,1.0,0.5185496183206106,67.93
BU,0.01,98,0.6575342465753424,0.2255725190839696,29.55
VW,0.01,100,1.0,0.5945801526717558,77.89
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,96,0.0,0.049694656488549656,6.51
RDP,0.02,100,1.0,0.37061068702290084,48.55
BU,0.02,96,0.0,0.17893129770992375,23.44
VW,0.02,100,1.0,0.46916030534351144,61.46
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,96,0.0,0.0737404580152672,9.66
RDP,0.03,99,0.8520710059171598,0.28656488549618303,37.54
BU,0.03,96,0.0,0.154351145038168,20.22
VW,0.03,98,0.6575342465753424,0.4015267175572519,52.6
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,96,0.0,0.09954198473282443,13.04
RDP,0.04,97,0.3902439024390244,0.2364885496183206,30.98
BU,0.04,96,0.0,0.13702290076335877,17.95
VW,0.04,98,0.6575342465753424,0.3625954198473282,47.5
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,96,0.0,0.12183206106870231,15.96
RDP,0.05,97,0.3902439024390244,0.2029007633587787,26.58
BU,0.05,97,0.3902439024390244,0.12488549618320612,16.36
VW,0.05,98,0.6575342465753424,0.3341221374045801,43.77
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,96,0.0,0.139618320610687,18.29
RDP,0.06,98,0.6575342465753424,0.17396946564885496,22.79
BU,0.06,97,0.3902439024390244,0.11396946564885498,14.93
VW,0.06,98,0.6575342465753424,0.3130534351145038,41.01
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,96,0.0,0.15274809160305342,20.01
RDP,0.07,97,0.3902439024390244,0.1549618320610687,20.3
BU,0.07,98,0.6575342465753424,0.10496183206106871,13.75
VW,0.07,97,0.3902439024390244,0.29679389312977095,38.88
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,96,0.0,0.16847328244274812,22.07
RDP,0.08,96,0.31506849315068497,0.1410687022900763,18.48
BU,0.08,98,0.6575342465753424,0.09839694656488553,12.89
VW,0.08,97,0.3902439024390244,0.2812977099236642,36.85
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,96,0.0,0.18251908396946567,23.91
RDP,0.09,96,0.47916666666666663,0.1313740458015267,17.21
BU,0.09,95,-0.016260162601626105,0.09221374045801525,12.08
VW,0.09,97,0.3902439024390244,0.26877862595419827,35.21
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,97,0.3902439024390244,0.19664122137404574,25.76
RDP,0.1,94,0.3697478991596639,0.12198473282442747,15.98
BU,0.1,95,0.2603550295857988,0.08625954198473279,11.3
VW,0.1,97,0.3902439024390244,0.2588549618320609,33.91
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,97,0.3902439024390244,0.2073282442748093,27.16
RDP,0.11,92,0.2957746478873239,0.11404580152671759,14.94
BU,0.11,95,0.2603550295857988,0.08137404580152667,10.66
VW,0.11,97,0.3902439024390244,0.2487786259541985,32.59
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,97,0.3902439024390244,0.22068702290076342,28.91
RDP,0.12,90,0.11971830985915488,0.10610687022900767,13.9
BU,0.12,93,0.18604651162790697,0.07732824427480917,10.13
VW,0.12,97,0.3902439024390244,0.2408396946564887,31.55
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,97,0.3902439024390244,0.2313740458015266,30.31
RDP,0.13,87,0.07932011331444766,0.0985496183206107,12.91
BU,0.13,92,0.15966386554621848,0.07358778625954199,9.64
VW,0.13,97,0.3902439024390244,0.23358778625954202,30.6
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,98,0.6575342465753424,0.24396946564885488,31.96
RDP,0.14,83,-0.06516290726817031,0.09068702290076334,11.88
BU,0.14,90,0.11971830985915488,0.07106870229007635,9.31
VW,0.14,97,0.3902439024390244,0.22717557251908393,29.76
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,98,0.6575342465753424,0.25320610687022904,33.17
RDP,0.15,78,0.017857142857142794,0.08480916030534351,11.11
BU,0.15,88,0.09090909090909083,0.06755725190839698,8.85
VW,0.15,97,0.3902439024390244,0.2209923664122137,28.95
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,98,0.6575342465753424,0.2628244274809159,34.43
RDP,0.16,71,-0.005547850208044158,0.07908396946564887,10.36
BU,0.16,88,0.09090909090909083,0.06503816793893133,8.52
VW,0.16,97,0.3902439024390244,0.21618320610687025,28.32
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,98,0.6575342465753424,0.26984732824427476,35.35
RDP,0.17,67,0.03958090803259606,0.07435114503816796,9.74
BU,0.17,87,0.07932011331444766,0.062366412213740514,8.17
VW,0.17,97,0.3902439024390244,0.2103053435114504,27.55
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,98,0.6575342465753424,0.2790076335877861,36.55
RDP,0.18,64,-0.020408163265306145,0.07129770992366413,9.34
BU,0.18,88,0.09090909090909083,0.06053435114503822,7.93
VW,0.18,97,0.3902439024390244,0.20419847328244273,26.75
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,98,0.6575342465753424,0.28633587786259546,37.51
RDP,0.19,63,0.02733964248159848,0.0654198473282443,8.57
BU,0.19,86,0.06914893617021267,0.05847328244274812,7.66
VW,0.19,97,0.3902439024390244,0.2,26.2
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,98,0.6575342465753424,0.29473282442748117,38.61
RDP,0.2,61,0.02206619859578729,0.06206106870229007,8.13
BU,0.2,81,0.03258655804480659,0.05618320610687026,7.36
VW,0.2,97,0.3902439024390244,0.1949618320610687,25.54
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,98,0.6575342465753424,0.30480916030534355,39.93
RDP,0.21,48,-0.040000000000000036,0.057022900763358766,7.47
BU,0.21,75,0.006359300476947438,0.053969465648854985,7.07
VW,0.21,96,0.0,0.1902290076335878,24.92
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,98,0.6575342465753424,0.314503816793893,41.2
RDP,0.22,47,-0.07986960065199677,0.052824427480916036,6.92
BU,0.22,73,0.0,0.05251908396946568,6.88
VW,0.22,96,0.0,0.18687022900763367,24.48
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,98,0.6575342465753424,0.32435114503816814,42.49
RDP,0.23,46,-0.08000000000000007,0.04801526717557253,6.29
BU,0.23,69,-0.010430247718383301,0.05076335877862598,6.65
VW,0.23,97,0.3902439024390244,0.18358778625954206,24.05
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,98,0.6575342465753424,0.33488549618320623,43.87
RDP,0.24,44,-0.08024691358024683,0.044351145038167956,5.81
BU,0.24,72,0.05913978494623651,0.04847328244274811,6.35
VW,0.24,97,0.3902439024390244,0.18068702290076338,23.67
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,98,0.6575342465753424,0.343206106870229,44.96
RDP,0.25,36,-0.08108108108108092,0.03984732824427481,5.22
BU,0.25,71,0.054758800521512385,0.04702290076335879,6.16
VW,0.25,97,0.3902439024390244,0.17755725190839697,23.26
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,98,0.6575342465753424,0.3525954198473283,46.19
RDP,0.26,32,-0.08142493638676851,0.03709923664122136,4.86
BU,0.26,66,0.03628117913832207,0.0451145038167939,5.91
VW,0.26,96,0.0,0.17442748091603058,22.85
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,98,0.6575342465753424,0.3632824427480916,47.59
RDP,0.27,28,-0.0809987819732032,0.03343511450381679,4.38
BU,0.27,66,0.03628117913832207,0.04343511450381679,5.69
VW,0.27,97,0.3902439024390244,0.1701526717557252,22.29
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,98,0.6575342465753424,0.3722137404580152,48.76
RDP,0.28,27,-0.08180201541197407,0.029923664122137386,3.92
BU,0.28,66,0.03628117913832207,0.04244274809160303,5.56
VW,0.28,97,0.3902439024390244,0.1678625954198473,21.99
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,98,0.6575342465753424,0.37854961832061074,49.59
RDP,0.29,28,-0.08173076923076916,0.027938931297709906,3.66
BU,0.29,64,0.030172413793103536,0.041221374045801513,5.4
VW,0.29,96,0.0,0.1658778625954198,21.73
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,98,0.6575342465753424,0.3868702290076337,50.68
RDP,0.3,28,-0.08173076923076916,0.02580152671755724,3.38
BU,0.3,62,0.024640657084188722,0.03992366412213738,5.23
VW,0.3,96,0.0,0.1629770992366412,21.35
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,99,0.8520710059171598,0.39610687022900753,51.89
RDP,0.31,28,-0.08173076923076916,0.02396946564885495,3.14
BU,0.31,63,0.02733964248159848,0.038931297709923644,5.1
VW,0.31,96,0.0,0.16114503816793893,21.11
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,99,0.8520710059171598,0.40404580152671743,52.93
RDP,0.32,28,-0.08173076923076916,0.02251908396946564,2.95
BU,0.32,61,0.02206619859578729,0.037557251908396934,4.92
VW,0.32,96,0.0,0.15877862595419842,20.8
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,99,0.8520710059171598,0.41175572519083947,53.94
RDP,0.33,28,-0.08173076923076916,0.0215267175572519,2.82
BU,0.33,63,0.02733964248159848,0.036183206106870223,4.74
VW,0.33,96,0.0,0.15702290076335873,20.57
LSF,0.33,0,0.0,0.0,0.0
