Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.8,0.41860465116279066,0.007692307692307692,1.0
RDP,0.0,1.0,1.0,0.9948461538461538,129.33
BU,0.0,1.0,1.0,1.0076923076923077,131.0
VC,0.0,1.0,1.0,1.0,130.0
LSF,0.0,0.73,0.02315484804630974,0.007692307692307692,1.0
OS,0.1,0.98,0.9451754385964912,0.20299999999999996,26.39
RDP,0.1,0.94,0.8355263157894737,0.12499999999999999,16.25
BU,0.1,0.81,0.5138178096212896,0.08238461538461538,10.71
VC,0.1,0.95,0.8685594111461619,0.2772307692307692,36.04
LSF,0.1,0.91,0.7422680412371134,0.09999999999999998,13.0
OS,0.2,0.97,0.9189189189189189,0.32061538461538464,41.68
RDP,0.2,0.78,0.4294605809128631,0.057230769230769224,7.44
BU,0.2,0.75,0.4075829383886256,0.05361538461538462,6.97
VC,0.2,0.95,0.8648648648648649,0.20984615384615385,27.28
LSF,0.2,0.95,0.8648648648648649,0.19999999999999996,26.0
OS,0.30000000000000004,0.99,0.972972972972973,0.41738461538461535,54.26
RDP,0.30000000000000004,0.77,0.2767295597484276,0.011000000000000001,1.43
BU,0.30000000000000004,0.74,0.3761996161228407,0.03384615384615384,4.4
VC,0.30000000000000004,0.94,0.840085287846482,0.17046153846153847,22.16
LSF,0.30000000000000004,0.97,0.9189189189189189,0.3,39.0
OS,0.4,1.0,1.0,0.5130769230769231,66.7
RDP,0.4,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.4,0.5,0.03993855606758834,0.026692307692307692,3.47
VC,0.4,0.93,0.8108108108108107,0.14576923076923076,18.95
LSF,0.4,0.98,0.9466950959488273,0.3999999999999999,52.0
OS,0.5,1.0,1.0,0.6058461538461539,78.76
RDP,0.5,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.5,0.44,-0.09717868338557989,0.020538461538461537,2.67
VC,0.5,0.93,0.8108108108108107,0.12946153846153846,16.83
LSF,0.5,0.98,0.9466950959488273,0.5076923076923078,66.0
OS,0.6000000000000001,1.0,1.0,0.6989230769230769,90.86
RDP,0.6000000000000001,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.6000000000000001,0.43,-0.1767134599504543,0.01746153846153846,2.27
VC,0.6000000000000001,0.93,0.8108108108108107,0.11646153846153844,15.14
LSF,0.6000000000000001,0.98,0.9466950959488273,0.4999230769230769,64.99
OS,0.7000000000000001,1.0,1.0,0.7828461538461537,101.77
RDP,0.7000000000000001,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.7000000000000001,0.48,-0.1607142857142858,0.015846153846153843,2.06
VC,0.7000000000000001,0.9,0.7258771929824561,0.10361538461538461,13.47
LSF,0.7000000000000001,0.98,0.9466950959488273,0.4999230769230769,64.99
OS,0.8,1.0,1.0,0.8573076923076924,111.45
RDP,0.8,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.8,0.46,-0.20535714285714302,0.01546153846153846,2.01
VC,0.8,0.88,0.6710526315789473,0.09661538461538459,12.56
LSF,0.8,0.98,0.9466950959488273,0.4999230769230769,64.99
OS,0.9,1.0,1.0,0.9253846153846155,120.3
RDP,0.9,0.73,0.02315484804630974,0.007692307692307692,1.0
BU,0.9,0.47,-0.16946160635481022,0.015384615384615384,2.0
VC,0.9,0.85,0.5945945945945945,0.08869230769230768,11.53
LSF,0.9,0.98,0.9466950959488273,0.4999230769230769,64.99
