Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007692307692307674,1.0
RDP,0.0,100,1.0,0.9946153846153846,129.3
BU,0.0,100,1.0,1.0,130.0
BU,0.0,100,1.0,1.0,130.0
VW,0.0,100,1.0,1.0,130.0
OS,0.01,94,0.0,0.013692307692307665,1.78
RDP,0.01,100,1.0,0.5146153846153845,66.9
BU,0.01,99,0.9038461538461539,0.43153846153846126,56.1
BU,0.01,99,0.9038461538461539,0.43153846153846126,56.1
VW,0.01,100,1.0,0.39684615384615385,51.59
OS,0.02,95,0.2732558139534884,0.041153846153846096,5.35
RDP,0.02,100,1.0,0.3659999999999999,47.58
BU,0.02,99,0.9038461538461539,0.33784615384615413,43.92
BU,0.02,99,0.9038461538461539,0.33784615384615413,43.92
VW,0.02,100,1.0,0.3077692307692307,40.01
OS,0.03,98,0.8226950354609929,0.06469230769230762,8.41
RDP,0.03,100,1.0,0.281076923076923,36.54
BU,0.03,99,0.9038461538461539,0.28753846153846185,37.38
BU,0.03,99,0.9038461538461539,0.28753846153846185,37.38
VW,0.03,100,1.0,0.26315384615384624,34.21
OS,0.04,98,0.8226950354609929,0.0916923076923076,11.92
RDP,0.04,98,0.8226950354609929,0.2306923076923076,29.99
BU,0.04,98,0.8226950354609929,0.25369230769230794,32.98
BU,0.04,98,0.8226950354609929,0.25369230769230794,32.98
VW,0.04,99,0.9038461538461539,0.23500000000000007,30.55
OS,0.05,99,0.9038461538461539,0.11307692307692292,14.7
RDP,0.05,97,0.7115384615384616,0.1964615384615384,25.54
BU,0.05,98,0.8226950354609929,0.22938461538461552,29.82
BU,0.05,98,0.8226950354609929,0.22938461538461552,29.82
VW,0.05,98,0.8226950354609929,0.215,27.95
OS,0.06,97,0.7115384615384616,0.13107692307692292,17.04
RDP,0.06,97,0.7115384615384616,0.16692307692307676,21.7
BU,0.06,99,0.9038461538461539,0.20676923076923084,26.88
BU,0.06,99,0.9038461538461539,0.20676923076923084,26.88
VW,0.06,99,0.9038461538461539,0.19807692307692293,25.75
OS,0.07,98,0.8226950354609929,0.14446153846153828,18.78
RDP,0.07,96,0.6453900709219857,0.14799999999999983,19.24
BU,0.07,98,0.7899159663865546,0.18953846153846152,24.64
BU,0.07,98,0.7899159663865546,0.18953846153846152,24.64
VW,0.07,99,0.9038461538461539,0.18399999999999989,23.92
OS,0.08,98,0.8226950354609929,0.1610769230769229,20.94
RDP,0.08,95,0.5888157894736843,0.13430769230769213,17.46
BU,0.08,98,0.7899159663865546,0.17569230769230756,22.84
BU,0.08,98,0.7899159663865546,0.17569230769230756,22.84
VW,0.08,99,0.9038461538461539,0.17438461538461517,22.67
