Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007633587786259552,1.0
RDP,0.0,100,1.0,0.9933587786259546,130.13
BU,0.0,100,1.0,1.0076335877862592,132.0
VW,0.0,100,1.0,1.0,131.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,11,-0.04252079184725299,0.01946564885496183,2.55
RDP,0.01,92,0.901161354089449,0.5423664122137404,71.05
BU,0.01,76,0.7002622705133008,0.23152671755725193,30.33
VW,0.01,100,1.0,0.6120610687022898,80.18
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,19,0.03491004408435594,0.04946564885496186,6.48
RDP,0.02,82,0.7752528405543764,0.38167938931297707,50.0
BU,0.02,55,0.4162667012582696,0.1842748091603054,24.14
VW,0.02,92,0.8999249437077809,0.47908396946564913,62.76
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,24,0.09221213569039655,0.0766412213740458,10.04
RDP,0.03,74,0.66996699669967,0.30022900763358773,39.33
BU,0.03,47,0.3083648701552918,0.15992366412213738,20.95
VW,0.03,89,0.8619131308059251,0.41458015267175563,54.31
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,28,0.12631962140516928,0.10045801526717561,13.16
RDP,0.04,63,0.5182291666666667,0.24458015267175567,32.04
BU,0.04,37,0.19199692189303574,0.1413740458015268,18.52
VW,0.04,87,0.8361482228384169,0.3698473282442749,48.45
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,35,0.18739842480310032,0.12519083969465655,16.4
RDP,0.05,55,0.42025251223911364,0.20931297709923657,27.42
BU,0.05,30,0.11872088631499422,0.12679389312977102,16.61
VW,0.05,84,0.7965670692943421,0.34412213740458,45.08
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,43,0.2708200076755789,0.14458015267175572,18.94
RDP,0.06,49,0.33997670506017863,0.1849618320610686,24.23
BU,0.06,32,0.13397860417727958,0.11641221374045806,15.25
VW,0.06,77,0.7075651621106167,0.3191603053435114,41.81
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,42,0.24948240165631475,0.15984732824427486,20.94
RDP,0.07,39,0.2025101320434043,0.16274809160305348,21.32
BU,0.07,31,0.12856782015660528,0.1069465648854962,14.01
VW,0.07,73,0.6508921644685803,0.2983206106870229,39.08
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,47,0.31604077945541353,0.17671755725190846,23.15
RDP,0.08,38,0.18975431259801356,0.14977099236641217,19.62
BU,0.08,34,0.1552540637399208,0.09908396946564889,12.98
VW,0.08,66,0.5645491803278688,0.2850381679389313,37.34
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,51,0.3692070030895984,0.18961832061068712,24.84
RDP,0.09,34,0.14441275602800108,0.1374045801526717,18.0
BU,0.09,27,0.07136496628927613,0.09267175572519083,12.14
VW,0.09,66,0.5636550308008214,0.2740458015267174,35.9
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,51,0.36305732484076436,0.19931297709923665,26.11
RDP,0.1,28,0.11305434103685175,0.12679389312977102,16.61
BU,0.1,27,0.0844098833563276,0.08664122137404577,11.35
VW,0.1,60,0.4828032066201189,0.2627480916030533,34.42
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,60,0.47739743924745226,0.21587786259541997,28.28
RDP,0.11,25,0.06867006084688942,0.11809160305343509,15.47
BU,0.11,23,0.03906152502183946,0.08152671755725188,10.68
VW,0.11,62,0.5063652896856327,0.2538931297709922,33.26
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,65,0.54337899543379,0.22603053435114503,29.61
RDP,0.12,26,0.08529048207663792,0.10900763358778631,14.28
BU,0.12,16,-0.0304219823356231,0.07809160305343511,10.23
VW,0.12,55,0.4148244473342002,0.24610687022900748,32.24
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,68,0.5803829006031996,0.2364885496183205,30.98
RDP,0.13,23,0.08583640033242335,0.10145038167938938,13.29
BU,0.13,18,0.0021903139449986897,0.07473282442748093,9.79
VW,0.13,56,0.4277539341917025,0.23839694656488547,31.23
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,72,0.6352266805627931,0.24587786259541997,32.21
RDP,0.14,18,0.04317386231038489,0.09335877862595421,12.23
BU,0.14,18,0.01972504482964721,0.0710687022900764,9.31
VW,0.14,56,0.44213803840166055,0.23183206106870238,30.37
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,73,0.6523306721607005,0.25618320610687023,33.56
RDP,0.15,16,0.040438656614119384,0.08847328244274812,11.59
BU,0.15,19,0.02807775377969768,0.06839694656488554,8.96
VW,0.15,55,0.4145960712891896,0.2276335877862596,29.82
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,79,0.7331300038124284,0.2656488549618321,34.8
RDP,0.16,15,0.03824394659425201,0.08358778625954201,10.95
BU,0.16,20,0.04545996897744897,0.06549618320610687,8.58
