Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007692307692307674,1.0
RDP,0.0,100,1.0,0.9933076923076922,129.13
BU,0.0,100,1.0,1.0,130.0
BU,0.0,100,1.0,1.0,130.0
VW,0.0,100,1.0,1.0,130.0
OS,0.01,95,0.0,0.01238461538461536,1.61
RDP,0.01,100,1.0,0.5386923076923079,70.03
BU,0.01,100,1.0,0.44361538461538436,57.67
BU,0.01,100,1.0,0.44361538461538436,57.67
VW,0.01,100,1.0,0.4100769230769231,53.31
OS,0.02,95,0.26470588235294124,0.04076923076923073,5.3
RDP,0.02,100,1.0,0.3766923076923075,48.97
BU,0.02,100,1.0,0.34776923076923083,45.21
BU,0.02,100,1.0,0.34776923076923083,45.21
VW,0.02,100,1.0,0.3139230769230768,40.81
OS,0.03,95,0.5901639344262295,0.06576923076923069,8.55
RDP,0.03,100,1.0,0.2946923076923076,38.31
BU,0.03,100,1.0,0.2983846153846157,38.79
BU,0.03,100,1.0,0.2983846153846157,38.79
VW,0.03,100,1.0,0.26846153846153853,34.9
OS,0.04,99,0.9038461538461539,0.09038461538461524,11.75
RDP,0.04,100,1.0,0.23807692307692307,30.95
BU,0.04,99,0.8837209302325582,0.26130769230769263,33.97
BU,0.04,99,0.8837209302325582,0.26130769230769263,33.97
VW,0.04,100,1.0,0.2403076923076923,31.24
OS,0.05,100,1.0,0.11499999999999984,14.95
RDP,0.05,100,1.0,0.20276923076923078,26.36
BU,0.05,99,0.8837209302325582,0.23146153846153866,30.09
BU,0.05,99,0.8837209302325582,0.23146153846153866,30.09
VW,0.05,100,1.0,0.22169230769230772,28.82
OS,0.06,100,1.0,0.13623076923076907,17.71
RDP,0.06,100,1.0,0.17761538461538454,23.09
BU,0.06,99,0.8837209302325582,0.2108461538461539,27.41
BU,0.06,99,0.8837209302325582,0.2108461538461539,27.41
VW,0.06,100,1.0,0.20661538461538462,26.86
OS,0.07,100,1.0,0.15176923076923055,19.73
RDP,0.07,100,1.0,0.1556153846153844,20.23
BU,0.07,99,0.8837209302325582,0.19184615384615378,24.94
BU,0.07,99,0.8837209302325582,0.19184615384615378,24.94
VW,0.07,100,1.0,0.1929230769230768,25.08
OS,0.08,100,1.0,0.16853846153846141,21.91
RDP,0.08,99,0.8837209302325582,0.14284615384615368,18.57
BU,0.08,99,0.8837209302325582,0.17538461538461522,22.8
BU,0.08,99,0.8837209302325582,0.17538461538461522,22.8
VW,0.08,100,1.0,0.1808461538461537,23.51
OS,0.09,100,1.0,0.18161538461538446,23.61
RDP,0.09,99,0.8837209302325582,0.12999999999999984,16.9
BU,0.09,99,0.8837209302325582,0.16246153846153824,21.12
BU,0.09,99,0.8837209302325582,0.16246153846153824,21.12
VW,0.09,100,1.0,0.17323076923076908,22.52
OS,0.1,100,1.0,0.19276923076923075,25.06
RDP,0.1,98,0.7402597402597402,0.11923076923076908,15.5
BU,0.1,99,0.8837209302325582,0.15076923076923057,19.6
BU,0.1,99,0.8837209302325582,0.15076923076923057,19.6
VW,0.1,100,1.0,0.16392307692307673,21.31
OS,0.11,100,1.0,0.20715384615384613,26.93
RDP,0.11,98,0.7894736842105263,0.11046153846153835,14.36
BU,0.11,97,0.5588235294117647,0.1399230769230768,18.19
BU,0.11,97,0.5588235294117647,0.1399230769230768,18.19
VW,0.11,100,1.0,0.15715384615384592,20.43
OS,0.12,100,1.0,0.21792307692307694,28.33
RDP,0.12,96,0.6460176991150443,0.1013076923076922,13.17
BU,0.12,96,0.3220338983050848,0.13253846153846138,17.23
BU,0.12,96,0.3220338983050848,0.13253846153846138,17.23
VW,0.12,99,0.8837209302325582,0.1509999999999998,19.63
OS,0.13,100,1.0,0.22876923076923084,29.74
RDP,0.13,96,0.6460176991150443,0.09376923076923065,12.19
BU,0.13,95,0.0,0.12561538461538446,16.33
BU,0.13,95,0.0,0.12561538461538446,16.33
VW,0.13,99,0.8837209302325582,0.1446923076923075,18.81
OS,0.14,100,1.0,0.23800000000000007,30.94
RDP,0.14,95,0.41860465116279066,0.0856923076923076,11.14
BU,0.14,95,0.0,0.11869230769230751,15.43
BU,0.14,95,0.0,0.11869230769230751,15.43
VW,0.14,98,0.7402597402597402,0.13992307692307676,18.19
OS,0.15,100,1.0,0.24884615384615386,32.35
RDP,0.15,95,0.26470588235294124,0.0809999999999999,10.53
BU,0.15,95,0.0,0.11330769230769214,14.73
BU,0.15,95,0.0,0.11330769230769214,14.73
VW,0.15,98,0.7402597402597402,0.1354615384615383,17.61
OS,0.16,100,1.0,0.2573076923076923,33.45
RDP,0.16,95,0.26470588235294124,0.07599999999999991,9.88
BU,0.16,95,0.0,0.10792307692307675,14.03
BU,0.16,95,0.0,0.10792307692307675,14.03
VW,0.16,98,0.7402597402597402,0.13076923076923064,17.0
OS,0.17,100,1.0,0.26930769230769225,35.01
RDP,0.17,94,-0.016949152542372836,0.06992307692307684,9.09
BU,0.17,95,0.0,0.10292307692307676,13.38
BU,0.17,95,0.0,0.10292307692307676,13.38
VW,0.17,97,0.5588235294117647,0.1265384615384614,16.45
OS,0.18,100,1.0,0.27892307692307683,36.26
RDP,0.18,94,-0.016949152542372836,0.0659230769230768,8.57
BU,0.18,95,0.0,0.09853846153846137,12.81
BU,0.18,95,0.0,0.09853846153846137,12.81
VW,0.18,97,0.5588235294117647,0.12153846153846143,15.8
OS,0.19,100,1.0,0.2879230769230769,37.43
RDP,0.19,95,0.0,0.05823076923076917,7.57
BU,0.19,95,0.0,0.09453846153846138,12.29
BU,0.19,95,0.0,0.09453846153846138,12.29
VW,0.19,97,0.5588235294117647,0.11738461538461528,15.26
OS,0.2,100,1.0,0.29892307692307685,38.86
RDP,0.2,94,-0.016949152542372836,0.05223076923076917,6.79
BU,0.2,95,0.0,0.09192307692307677,11.95
BU,0.2,95,0.0,0.09192307692307677,11.95
VW,0.2,97,0.5588235294117647,0.11284615384615375,14.67
OS,0.21,100,1.0,0.30884615384615377,40.15
RDP,0.21,95,0.0,0.04730769230769225,6.15
BU,0.21,95,0.0,0.08838461538461524,11.49
BU,0.21,95,0.0,0.08838461538461524,11.49
VW,0.21,97,0.5588235294117647,0.10876923076923065,14.14
OS,0.22,100,1.0,0.31869230769230766,41.43
RDP,0.22,95,0.0,0.044153846153846106,5.74
BU,0.22,95,0.0,0.08253846153846142,10.73
BU,0.22,95,0.0,0.08253846153846142,10.73
VW,0.22,97,0.5588235294117647,0.10638461538461527,13.83
OS,0.23,100,1.0,0.329076923076923,42.78
RDP,0.23,95,0.0,0.039307692307692245,5.11
BU,0.23,95,0.0,0.07869230769230756,10.23
BU,0.23,95,0.0,0.07869230769230756,10.23
VW,0.23,97,0.5588235294117647,0.10253846153846138,13.33
OS,0.24,100,1.0,0.33884615384615385,44.05
RDP,0.24,95,0.0,0.036153846153846106,4.7
BU,0.24,95,0.0,0.07438461538461529,9.67
BU,0.24,95,0.0,0.07438461538461529,9.67
VW,0.24,97,0.5588235294117647,0.10069230769230755,13.09
OS,0.25,100,1.0,0.34884615384615375,45.35
RDP,0.25,95,0.0,0.032307692307692266,4.2
BU,0.25,95,0.0,0.07123076923076913,9.26
BU,0.25,95,0.0,0.07123076923076913,9.26
VW,0.25,97,0.5588235294117647,0.09846153846153832,12.8
OS,0.26,100,1.0,0.35853846153846136,46.61
RDP,0.26,95,0.0,0.03015384615384612,3.92
BU,0.26,95,0.0,0.06815384615384606,8.86
BU,0.26,95,0.0,0.06815384615384606,8.86
VW,0.26,97,0.5588235294117647,0.09676923076923066,12.58
OS,0.27,100,1.0,0.36553846153846153,47.52
RDP,0.27,95,0.0,0.027384615384615358,3.56
BU,0.27,95,0.0,0.06561538461538453,8.53
BU,0.27,95,0.0,0.06561538461538453,8.53
VW,0.27,97,0.5588235294117647,0.09461538461538448,12.3
OS,0.28,100,1.0,0.3746153846153846,48.7
RDP,0.28,95,0.0,0.023538461538461525,3.06
BU,0.28,95,0.0,0.06361538461538453,8.27
BU,0.28,95,0.0,0.06361538461538453,8.27
VW,0.28,97,0.5588235294117647,0.09230769230769216,12.0
OS,0.29,100,1.0,0.38430769230769224,49.96
RDP,0.29,95,0.0,0.020769230769230766,2.7
BU,0.29,95,0.0,0.06153846153846146,8.0
BU,0.29,95,0.0,0.06153846153846146,8.0
VW,0.29,97,0.5588235294117647,0.09023076923076909,11.73
OS,0.3,100,1.0,0.394076923076923,51.23
RDP,0.3,95,0.0,0.01853846153846153,2.41
BU,0.3,95,0.0,0.058769230769230685,7.64
BU,0.3,95,0.0,0.058769230769230685,7.64
VW,0.3,96,0.48051948051948046,0.0875384615384614,11.38
OS,0.31,100,1.0,0.40446153846153843,52.58
RDP,0.31,95,0.0,0.015769230769230758,2.05
BU,0.31,95,0.0,0.056461538461538396,7.34
BU,0.31,95,0.0,0.056461538461538396,7.34
VW,0.31,94,0.22077922077922074,0.08515384615384602,11.07
OS,0.32,100,1.0,0.4127692307692306,53.66
RDP,0.32,95,0.0,0.013461538461538445,1.75
BU,0.32,95,0.0,0.05461538461538455,7.1
BU,0.32,95,0.0,0.05461538461538455,7.1
VW,0.32,94,0.22077922077922074,0.08284615384615374,10.77
OS,0.33,100,1.0,0.42346153846153833,55.05
RDP,0.33,95,0.0,0.012692307692307676,1.65
BU,0.33,95,0.0,0.0527692307692307,6.86
BU,0.33,95,0.0,0.0527692307692307,6.86
VW,0.33,93,-0.02941176470588225,0.08169230769230758,10.62
OS,0.34,100,1.0,0.4332307692307692,56.32
