Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,22,0.0,0.0066666666666666706,1.0
RDP,0.0,100,1.0,1.0,150.0
BU,0.0,100,1.0,1.006666666666665,151.0
VW,0.0,100,1.0,1.0,150.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,88,0.5652173913043479,0.03833333333333335,5.75
RDP,0.01,99,0.9703791469194313,0.1310666666666666,19.66
BU,0.01,99,0.9703791469194313,0.09100000000000003,13.65
VW,0.01,99,0.9703791469194313,0.22373333333333334,33.56
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,91,0.6926229508196722,0.04740000000000004,7.11
RDP,0.02,98,0.9417249417249417,0.08893333333333335,13.34
BU,0.02,99,0.9703791469194313,0.075,11.25
VW,0.02,99,0.9703791469194313,0.1722,25.83
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,92,0.7319034852546917,0.053800000000000014,8.07
RDP,0.03,96,0.8834498834498834,0.07446666666666664,11.17
BU,0.03,99,0.9703791469194313,0.06539999999999997,9.81
VW,0.03,99,0.9703791469194313,0.14873333333333347,22.31
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,93,0.7697368421052632,0.060133333333333316,9.02
RDP,0.04,97,0.9111374407582938,0.06186666666666665,9.28
BU,0.04,95,0.8413705583756346,0.05766666666666666,8.65
VW,0.04,99,0.9703791469194313,0.13253333333333336,19.88
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,96,0.8753117206982544,0.06766666666666662,10.15
RDP,0.05,96,0.8753117206982544,0.05480000000000002,8.22
BU,0.05,94,0.8062015503875969,0.05266666666666668,7.9
VW,0.05,98,0.9397590361445783,0.12166666666666665,18.25
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,98,0.9397590361445783,0.07339999999999997,11.01
RDP,0.06,93,0.7697368421052632,0.050800000000000047,7.62
BU,0.06,92,0.7319034852546917,0.04920000000000004,7.38
VW,0.06,99,0.9703791469194313,0.11500000000000002,17.25
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,99,0.9703791469194313,0.07826666666666668,11.74
RDP,0.07,92,0.7319034852546917,0.04946666666666674,7.42
BU,0.07,92,0.7319034852546917,0.04686666666666671,7.03
VW,0.07,99,0.9703791469194313,0.10886666666666667,16.33
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,99,0.9703791469194313,0.08126666666666667,12.19
RDP,0.08,91,0.6926229508196722,0.04846666666666675,7.27
BU,0.08,92,0.7319034852546917,0.04573333333333338,6.86
VW,0.08,99,0.9703791469194313,0.10280000000000003,15.42
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,99,0.9703791469194313,0.08406666666666672,12.61
RDP,0.09,90,0.6518105849582172,0.047933333333333404,7.19
BU,0.09,91,0.6926229508196722,0.04473333333333338,6.71
VW,0.09,99,0.9703791469194313,0.09959999999999997,14.94
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,99,0.9703791469194313,0.08746666666666672,13.12
RDP,0.1,89,0.609375,0.0469333333333334,7.04
BU,0.1,89,0.609375,0.04340000000000005,6.51
VW,0.1,98,0.9397590361445783,0.09679999999999998,14.52
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,99,0.9703791469194313,0.09073333333333337,13.61
RDP,0.11,88,0.5652173913043479,0.04646666666666674,6.97
BU,0.11,88,0.5652173913043479,0.04253333333333338,6.38
VW,0.11,98,0.9397590361445783,0.09359999999999999,14.04
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,99,0.9703791469194313,0.09333333333333334,14.0
RDP,0.12,87,0.5192307692307692,0.04546666666666673,6.82
BU,0.12,88,0.5652173913043479,0.04213333333333338,6.32
VW,0.12,98,0.9397590361445783,0.09133333333333332,13.7
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,99,0.9703791469194313,0.096,14.4
RDP,0.13,86,0.4712990936555891,0.044466666666666724,6.67
BU,0.13,87,0.5192307692307692,0.041666666666666706,6.25
VW,0.13,98,0.9397590361445783,0.08913333333333333,13.37
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,99,0.9703791469194313,0.0996,14.94
RDP,0.14,86,0.4712990936555891,0.044133333333333385,6.62
BU,0.14,87,0.5192307692307692,0.04113333333333337,6.17
VW,0.14,98,0.9397590361445783,0.08673333333333336,13.01
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,99,0.9703791469194313,0.10246666666666662,15.37
RDP,0.15,85,0.4212962962962963,0.04306666666666671,6.46
