Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.48,0.034175334323922835,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,1.0,149.0
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.46,0.0,0.006711409395973153,1.0
OS,0.1,0.98,0.9598715890850722,0.08053691275167785,12.0
RDP,0.1,0.87,0.7404153354632588,0.04046979865771812,6.03
BU,0.1,0.79,0.5779742765273312,0.036442953020134235,5.43
VC,0.1,0.99,0.9798387096774194,0.09046979865771813,13.48
LSF,0.1,0.97,0.9397106109324759,0.10067114093959732,15.0
OS,0.2,0.99,0.979903536977492,0.1087248322147651,16.2
RDP,0.2,0.64,0.3129770992366413,0.02932885906040269,4.37
BU,0.2,0.78,0.56,0.03369127516778524,5.02
VC,0.2,0.93,0.8593247588424437,0.07214765100671142,10.75
LSF,0.2,0.99,0.9798387096774194,0.20134228187919465,30.0
OS,0.30000000000000004,0.99,0.979903536977492,0.13604026845637585,20.27
RDP,0.30000000000000004,0.46,0.0,0.019530201342281877,2.91
BU,0.30000000000000004,0.78,0.56,0.033087248322147655,4.93
VC,0.30000000000000004,0.95,0.8995176848874598,0.06100671140939598,9.09
LSF,0.30000000000000004,1.0,1.0,0.302013422818792,45.0
OS,0.4,0.99,0.979903536977492,0.16080536912751678,23.96
RDP,0.4,0.45,-0.020029673590504338,0.014295302013422818,2.13
BU,0.4,0.75,0.5023885350318471,0.03161073825503356,4.71
VC,0.4,0.94,0.8796147672552167,0.05355704697986577,7.98
LSF,0.4,1.0,1.0,0.4026845637583893,60.0
OS,0.5,0.99,0.9798387096774194,0.18879194630872484,28.13
RDP,0.5,0.46,0.0,0.011342281879194631,1.69
BU,0.5,0.72,0.4522691705790298,0.029530201342281882,4.4
VC,0.5,0.88,0.7584541062801933,0.04805369127516777,7.16
LSF,0.5,1.0,1.0,0.5033557046979865,75.0
OS,0.6000000000000001,0.99,0.9798387096774194,0.22060402684563762,32.87
RDP,0.6000000000000001,0.46,0.0,0.006778523489932885,1.01
BU,0.6000000000000001,0.6,0.2412746585735963,0.02664429530201342,3.97
VC,0.6000000000000001,0.88,0.7584541062801933,0.044295302013422806,6.6
LSF,0.6000000000000001,1.0,1.0,0.5033557046979865,75.0
OS,0.7000000000000001,0.99,0.9798387096774194,0.2655704697986578,39.57
RDP,0.7000000000000001,0.46,0.0,0.006711409395973153,1.0
BU,0.7000000000000001,0.51,0.08308383233532934,0.025167785234899327,3.75
VC,0.7000000000000001,0.89,0.7775080906148867,0.04221476510067113,6.29
LSF,0.7000000000000001,1.0,1.0,0.5033557046979865,75.0
OS,0.8,1.0,1.0,0.33167785234899333,49.42
RDP,0.8,0.46,0.0,0.006711409395973153,1.0
BU,0.8,0.49,0.04850746268656703,0.024295302013422813,3.62
VC,0.8,0.88,0.7576736672051696,0.04073825503355704,6.07
LSF,0.8,1.0,1.0,0.5033557046979865,75.0
OS,0.9,1.0,1.0,0.4600671140939598,68.55
RDP,0.9,0.46,0.0,0.006711409395973153,1.0
BU,0.9,0.49,0.04850746268656703,0.023154362416107375,3.45
VC,0.9,0.84,0.6768982229402262,0.038993288590604025,5.81
LSF,0.9,1.0,1.0,0.5033557046979865,75.0
