Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,28,0.0,0.0066666666666666706,1.0
RDP,0.0,100,1.0,0.9991333333333335,149.87
BU,0.0,100,1.0,1.006666666666665,151.0
VW,0.0,100,1.0,1.0,150.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,81,0.4277108433734941,0.038933333333333354,5.84
RDP,0.01,99,0.9754661432777233,0.0995333333333334,14.93
BU,0.01,99,0.9754661432777233,0.07906666666666665,11.86
VW,0.01,99,0.9754661432777233,0.18466666666666673,27.7
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,92,0.7884717080909571,0.04566666666666668,6.85
RDP,0.02,99,0.9754661432777233,0.0712,10.68
BU,0.02,99,0.9754661432777233,0.06293333333333334,9.44
VW,0.02,99,0.9754661432777233,0.14359999999999995,21.54
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,96,0.8987341772151899,0.0492666666666667,7.39
RDP,0.03,98,0.9504214179474467,0.06053333333333337,9.08
BU,0.03,98,0.9504214179474467,0.05600000000000004,8.4
VW,0.03,99,0.9754661432777233,0.12333333333333331,18.5
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,97,0.9248496993987976,0.05300000000000003,7.95
RDP,0.04,96,0.8987341772151899,0.055066666666666736,8.26
BU,0.04,98,0.9504214179474467,0.05146666666666668,7.72
VW,0.04,99,0.9754661432777233,0.1134,17.01
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,98,0.9504214179474467,0.05753333333333338,8.63
RDP,0.05,95,0.872057318321392,0.051066666666666725,7.66
BU,0.05,97,0.9248496993987976,0.048800000000000024,7.32
VW,0.05,99,0.9754661432777233,0.1059333333333333,15.89
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,98,0.9504214179474467,0.06160000000000006,9.24
RDP,0.06,90,0.7295835586803677,0.04613333333333338,6.92
BU,0.06,96,0.8987341772151899,0.04700000000000002,7.05
VW,0.06,99,0.9754661432777233,0.09919999999999998,14.88
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,98,0.9504214179474467,0.06526666666666667,9.79
RDP,0.07,84,0.546742209631728,0.04266666666666669,6.4
BU,0.07,95,0.872057318321392,0.0456666666666667,6.85
VW,0.07,99,0.9754661432777233,0.0936666666666667,14.05
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,98,0.9504214179474467,0.06713333333333332,10.07
RDP,0.08,83,0.5126146788990826,0.03986666666666668,5.98
BU,0.08,95,0.872057318321392,0.04493333333333337,6.74
VW,0.08,99,0.9754661432777233,0.08920000000000002,13.38
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,98,0.9504214179474467,0.0703333333333333,10.55
RDP,0.09,82,0.477655252466628,0.03706666666666668,5.56
BU,0.09,93,0.8169456066945606,0.04433333333333336,6.65
VW,0.09,99,0.9754661432777233,0.08526666666666666,12.79
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,98,0.9504214179474467,0.07419999999999996,11.13
RDP,0.1,81,0.4418331374853114,0.0354666666666667,5.32
BU,0.1,91,0.7593582887700534,0.043600000000000014,6.54
