Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.44,-0.31888836552048994,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,0.9996644295302013,148.95
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.9693251533742331,0.07926174496644295,11.81
RDP,0.1,0.84,0.5340710541642399,0.030067114093959738,4.48
BU,0.1,0.93,0.8059866962305986,0.038993288590604025,5.81
VC,0.1,0.99,0.9693251533742331,0.0893288590604027,13.31
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9693251533742331,0.10865771812080537,16.19
RDP,0.2,0.62,-0.07042253521126751,0.016711409395973154,2.49
BU,0.2,0.88,0.6827075621364358,0.03046979865771813,4.54
VC,0.2,0.97,0.9111374407582938,0.06865771812080537,10.23
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.9693251533742331,0.13181208053691276,19.64
RDP,0.30000000000000004,0.42,-0.3296652911508484,0.010738255033557046,1.6
BU,0.30000000000000004,0.87,0.6396895787139689,0.02684563758389262,4.0
VC,0.30000000000000004,0.96,0.88351776354106,0.058859060402684564,8.77
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9693251533742331,0.15617449664429528,23.27
RDP,0.4,0.35,-0.3632550335570468,0.010067114093959731,1.5
BU,0.4,0.83,0.5435016111707841,0.023154362416107382,3.45
VC,0.4,0.95,0.8568155784650631,0.05268456375838926,7.85
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.18375838926174495,27.38
RDP,0.5,0.5,-0.3220518244315178,0.006711409395973153,1.0
BU,0.5,0.64,0.23566878980891715,0.020268456375838927,3.02
VC,0.5,0.95,0.8568155784650631,0.04879194630872483,7.27
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.21375838926174498,31.85
RDP,0.6000000000000001,0.5,-0.3220518244315178,0.006711409395973153,1.0
BU,0.6000000000000001,0.41,0.02382528127068162,0.01738255033557047,2.59
VC,0.6000000000000001,0.95,0.8568155784650631,0.046107382550335564,6.87
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.24899328859060407,37.1
RDP,0.7000000000000001,0.5,-0.3220518244315178,0.006711409395973153,1.0
BU,0.7000000000000001,0.35,-0.0168961201501876,0.01644295302013423,2.45
VC,0.7000000000000001,0.95,0.8568155784650631,0.04382550335570468,6.53
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.31302013422818786,46.64
RDP,0.8,0.5,-0.3220518244315178,0.006711409395973153,1.0
BU,0.8,0.34,-0.023255813953488413,0.015838926174496646,2.36
VC,0.8,0.95,0.8568155784650631,0.04194630872483221,6.25
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.43416107382550334,64.69
RDP,0.9,0.5,-0.3220518244315178,0.006711409395973153,1.0
BU,0.9,0.35,-0.0168961201501876,0.014966442953020133,2.23
VC,0.9,0.92,0.7817785051827605,0.04026845637583893,6.0
LSF,0.9,0.0,0.0,0.0,0.0
