Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,55,0.0,0.0066666666666666706,1.0
RDP,0.0,100,1.0,0.9994666666666667,149.92
BU,0.0,100,1.0,1.006666666666665,151.0
VW,0.0,100,1.0,1.0,150.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,91,0.8214285714285714,0.03773333333333334,5.66
RDP,0.01,99,0.979757085020243,0.1043333333333333,15.65
BU,0.01,98,0.959758551307847,0.08099999999999996,12.15
VW,0.01,100,1.0,0.1884000000000001,28.26
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,92,0.8409542743538767,0.04640000000000003,6.96
RDP,0.02,97,0.9397590361445783,0.07493333333333334,11.24
BU,0.02,96,0.9195171026156942,0.06433333333333341,9.65
VW,0.02,100,1.0,0.14699999999999996,22.05
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,93,0.8605577689243028,0.05020000000000006,7.53
RDP,0.03,95,0.9,0.06160000000000004,9.24
BU,0.03,95,0.8995983935742972,0.0576666666666667,8.65
VW,0.03,100,1.0,0.12653333333333336,18.98
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,94,0.8802395209580838,0.05393333333333338,8.09
RDP,0.04,93,0.8605577689243028,0.05466666666666673,8.2
BU,0.04,92,0.8403193612774451,0.05326666666666669,7.99
VW,0.04,100,1.0,0.11466666666666671,17.2
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,95,0.9,0.05813333333333339,8.72
RDP,0.05,93,0.8605577689243028,0.05066666666666672,7.6
BU,0.05,92,0.8403193612774451,0.04993333333333336,7.49
VW,0.05,100,1.0,0.10740000000000005,16.11
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,96,0.9198396793587175,0.06266666666666669,9.4
RDP,0.06,90,0.801980198019802,0.04706666666666671,7.06
BU,0.06,92,0.8403193612774451,0.047133333333333374,7.07
VW,0.06,100,1.0,0.10146666666666666,15.22
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,98,0.959758551307847,0.06693333333333336,10.04
RDP,0.07,87,0.7440944881889764,0.04253333333333337,6.38
BU,0.07,92,0.8403193612774451,0.04560000000000004,6.84
VW,0.07,99,0.9798387096774194,0.09580000000000004,14.37
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,99,0.9798387096774194,0.06973333333333334,10.46
RDP,0.08,84,0.6868884540117417,0.0390666666666667,5.86
BU,0.08,91,0.8207171314741036,0.044466666666666696,6.67
VW,0.08,98,0.959758551307847,0.09073333333333335,13.61
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,98,0.959758551307847,0.07339999999999998,11.01
RDP,0.09,82,0.6491228070175439,0.03740000000000003,5.61
BU,0.09,91,0.8207171314741036,0.04366666666666669,6.55
VW,0.09,97,0.9397590361445783,0.08666666666666664,13.0
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,98,0.959758551307847,0.07666666666666663,11.5
RDP,0.1,81,0.6303501945525292,0.035866666666666706,5.38
BU,0.1,91,0.8207171314741036,0.043066666666666684,6.46
VW,0.1,96,0.9198396793587175,0.08326666666666664,12.49
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,98,0.959758551307847,0.07926666666666665,11.89
RDP,0.11,79,0.5930232558139534,0.03380000000000003,5.07
BU,0.11,90,0.8011928429423459,0.04240000000000003,6.36
VW,0.11,97,0.9397590361445783,0.0803333333333333,12.05
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,99,0.9798387096774194,0.0824,12.36
RDP,0.12,77,0.555984555984556,0.032800000000000024,4.92
BU,0.12,89,0.7817460317460317,0.041800000000000025,6.27
VW,0.12,94,0.8797595190380761,0.07806666666666662,11.71
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,99,0.9798387096774194,0.08440000000000002,12.66
RDP,0.13,76,0.5375722543352601,0.031133333333333357,4.67
BU,0.13,89,0.7817460317460317,0.04146666666666669,6.22
VW,0.13,94,0.8797595190380761,0.07606666666666664,11.41
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,99,0.9798387096774194,0.08653333333333334,12.98
RDP,0.14,74,0.5009596928982725,0.029333333333333343,4.4
BU,0.14,89,0.7817460317460317,0.0406666666666667,6.1
VW,0.14,93,0.86,0.07419999999999999,11.13
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.0894666666666667,13.42
RDP,0.15,74,0.5009596928982725,0.028533333333333348,4.28
BU,0.15,89,0.7817460317460317,0.03986666666666671,5.98
VW,0.15,94,0.8797595190380761,0.07279999999999999,10.92
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.09220000000000005,13.83
RDP,0.16,70,0.4129158512720156,0.02700000000000002,4.05
BU,0.16,89,0.782608695652174,0.039066666666666694,5.86
VW,0.16,95,0.9,0.07113333333333331,10.67
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.09446666666666673,14.17
RDP,0.17,67,0.3503937007874015,0.025533333333333356,3.83
BU,0.17,89,0.782608695652174,0.03840000000000002,5.76
VW,0.17,96,0.9198396793587175,0.07006666666666665,10.51
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.09553333333333339,14.33
RDP,0.18,69,0.38247011952191234,0.024266666666666676,3.64
BU,0.18,89,0.782608695652174,0.03800000000000001,5.7
VW,0.18,96,0.9198396793587175,0.06833333333333332,10.25
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.09853333333333338,14.78
RDP,0.19,79,0.5731707317073171,0.022933333333333344,3.44
BU,0.19,87,0.7440944881889764,0.037466666666666676,5.62
VW,0.19,96,0.9198396793587175,0.06713333333333332,10.07
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,100,1.0,0.10140000000000002,15.21
RDP,0.2,81,0.6090534979423868,0.021866666666666673,3.28
BU,0.2,86,0.724950884086444,0.03693333333333334,5.54
VW,0.2,95,0.9,0.06626666666666667,9.94
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,100,1.0,0.10286666666666669,15.43
RDP,0.21,82,0.6273291925465838,0.020800000000000006,3.12
BU,0.21,85,0.7058823529411764,0.03646666666666667,5.47
VW,0.21,95,0.9,0.06533333333333335,9.8
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,100,1.0,0.10573333333333336,15.86
RDP,0.22,85,0.6875,0.019933333333333338,2.99
BU,0.22,84,0.6868884540117417,0.03586666666666667,5.38
VW,0.22,95,0.9,0.0644666666666667,9.67
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,100,1.0,0.10833333333333334,16.25
RDP,0.23,85,0.6875,0.019333333333333338,2.9
BU,0.23,82,0.6491228070175439,0.03513333333333333,5.27
VW,0.23,95,0.9,0.06393333333333337,9.59
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,100,1.0,0.11026666666666664,16.54
RDP,0.24,85,0.6875,0.018600000000000005,2.79
BU,0.24,82,0.6491228070175439,0.034533333333333326,5.18
VW,0.24,94,0.8802395209580838,0.06306666666666674,9.46
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,100,1.0,0.11226666666666663,16.84
RDP,0.25,85,0.6875,0.01853333333333334,2.78
BU,0.25,82,0.6491228070175439,0.03426666666666666,5.14
VW,0.25,93,0.8605577689243028,0.06226666666666675,9.34
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,100,1.0,0.11446666666666662,17.17
RDP,0.26,85,0.6875,0.018400000000000007,2.76
BU,0.26,82,0.6491228070175439,0.033666666666666664,5.05
VW,0.26,93,0.8605577689243028,0.062000000000000076,9.3
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,100,1.0,0.11659999999999993,17.49
RDP,0.27,85,0.6875,0.01833333333333334,2.75
BU,0.27,82,0.6491228070175439,0.03313333333333334,4.97
VW,0.27,93,0.8605577689243028,0.061600000000000064,9.24
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,100,1.0,0.1189333333333333,17.84
RDP,0.28,85,0.6875,0.018066666666666672,2.71
BU,0.28,82,0.6491228070175439,0.032933333333333335,4.94
VW,0.28,93,0.8605577689243028,0.06120000000000005,9.18
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,100,1.0,0.12126666666666668,18.19
RDP,0.29,85,0.6875,0.01786666666666667,2.68
BU,0.29,82,0.6491228070175439,0.03246666666666667,4.87
VW,0.29,93,0.8605577689243028,0.06066666666666673,9.1
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,100,1.0,0.12259999999999999,18.39
RDP,0.3,85,0.6875,0.017466666666666675,2.62
BU,0.3,82,0.6491228070175439,0.03206666666666667,4.81
VW,0.3,93,0.8605577689243028,0.06000000000000005,9.0
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,100,1.0,0.12473333333333335,18.71
RDP,0.31,85,0.6875,0.017333333333333343,2.6
BU,0.31,81,0.6303501945525292,0.03140000000000001,4.71
VW,0.31,93,0.8605577689243028,0.05913333333333339,8.87
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,100,1.0,0.1272,19.08
RDP,0.32,85,0.6875,0.017066666666666678,2.56
BU,0.32,81,0.6303501945525292,0.03100000000000001,4.65
VW,0.32,93,0.8605577689243028,0.05866666666666673,8.8
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,100,1.0,0.12906666666666666,19.36
RDP,0.33,85,0.6875,0.016866666666666683,2.53
BU,0.33,80,0.6116504854368932,0.030533333333333346,4.58
VW,0.33,93,0.8605577689243028,0.05806666666666671,8.71
LSF,0.33,0,0.0,0.0,0.0
OS,0.34,100,1.0,0.132,19.8
RDP,0.34,85,0.6875,0.016800000000000016,2.52
BU,0.34,79,0.5930232558139534,0.03033333333333335,4.55
VW,0.34,93,0.8605577689243028,0.05786666666666671,8.68
LSF,0.34,0,0.0,0.0,0.0
OS,0.35000000000000003,100,1.0,0.13373333333333332,20.06
RDP,0.35000000000000003,85,0.6875,0.016800000000000016,2.52
