Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,48,0.0,0.006711409395973147,1.0
RDP,0.0,100,1.0,0.9994630872483221,148.92
BU,0.0,100,1.0,1.0,149.0
BU,0.0,100,1.0,1.0,149.0
VW,0.0,100,1.0,1.0,149.0
OS,0.01,87,0.7422680412371134,0.032751677852349025,4.88
RDP,0.01,99,0.9799839871897518,0.09832214765100676,14.65
BU,0.01,100,1.0,0.14268456375838934,21.26
BU,0.01,100,1.0,0.14268456375838934,21.26
VW,0.01,100,1.0,0.12067114093959734,17.98
OS,0.02,99,0.9799839871897518,0.03932885906040271,5.86
RDP,0.02,100,1.0,0.06872483221476507,10.24
BU,0.02,100,1.0,0.10912751677852355,16.26
BU,0.02,100,1.0,0.10912751677852355,16.26
VW,0.02,100,1.0,0.09543624161073826,14.22
OS,0.03,99,0.9799839871897518,0.04302013422818792,6.41
RDP,0.03,98,0.9599358974358975,0.05530201342281875,8.24
BU,0.03,100,1.0,0.09691275167785238,14.44
BU,0.03,100,1.0,0.09691275167785238,14.44
VW,0.03,100,1.0,0.0805369127516779,12.0
OS,0.04,99,0.9799839871897518,0.04718120805369126,7.03
RDP,0.04,99,0.9799839871897518,0.04832214765100669,7.2
BU,0.04,100,1.0,0.08724832214765106,13.0
BU,0.04,100,1.0,0.08724832214765106,13.0
VW,0.04,100,1.0,0.07187919463087246,10.71
OS,0.05,99,0.9799839871897518,0.05147651006711406,7.67
RDP,0.05,100,1.0,0.04429530201342283,6.6
BU,0.05,99,0.9799839871897518,0.08013422818791954,11.94
BU,0.05,99,0.9799839871897518,0.08013422818791954,11.94
VW,0.05,100,1.0,0.06657718120805368,9.92
OS,0.06,99,0.9799839871897518,0.0556375838926174,8.29
RDP,0.06,98,0.96,0.04067114093959735,6.06
BU,0.06,99,0.9799839871897518,0.07503355704697992,11.18
BU,0.06,99,0.9799839871897518,0.07503355704697992,11.18
VW,0.06,100,1.0,0.062080536912751644,9.25
OS,0.07,100,1.0,0.05973154362416104,8.9
RDP,0.07,89,0.7815726767275616,0.03610738255033559,5.38
BU,0.07,99,0.9799518845228549,0.07167785234899332,10.68
BU,0.07,99,0.9799518845228549,0.07167785234899332,10.68
VW,0.07,99,0.9799839871897518,0.05906040268456372,8.8
OS,0.08,100,1.0,0.06214765100671137,9.26
RDP,0.08,89,0.7815726767275616,0.032617449664429546,4.86
BU,0.08,97,0.9399519615692554,0.07006711409395976,10.44
BU,0.08,97,0.9399519615692554,0.07006711409395976,10.44
VW,0.08,99,0.9799839871897518,0.056778523489932835,8.46
OS,0.09,100,1.0,0.06624161073825499,9.87
RDP,0.09,91,0.8210023866348448,0.030939597315436246,4.61
BU,0.09,96,0.92,0.06872483221476512,10.24
BU,0.09,96,0.92,0.06872483221476512,10.24
VW,0.09,99,0.9799839871897518,0.05530201342281873,8.24
OS,0.1,100,1.0,0.06973154362416105,10.39
RDP,0.1,86,0.722662440570523,0.029395973154362435,4.38
BU,0.1,93,0.8603351955307262,0.06724832214765103,10.02
BU,0.1,93,0.8603351955307262,0.06724832214765103,10.02
VW,0.1,99,0.9799839871897518,0.05369127516778518,8.0
OS,0.11,100,1.0,0.07248322147651004,10.8
RDP,0.11,78,0.5669291338582677,0.027315436241610765,4.07
BU,0.11,93,0.8603351955307262,0.06536912751677855,9.74
BU,0.11,93,0.8603351955307262,0.06536912751677855,9.74
VW,0.11,99,0.9799839871897518,0.05174496644295298,7.71
OS,0.12,100,1.0,0.07557046979865771,11.26
RDP,0.12,76,0.5283018867924527,0.026308724832214785,3.92
BU,0.12,92,0.8405103668261563,0.06456375838926177,9.62
BU,0.12,92,0.8405103668261563,0.06456375838926177,9.62
VW,0.12,99,0.9799839871897518,0.05046979865771808,7.52
OS,0.13,100,1.0,0.07771812080536913,11.58
RDP,0.13,74,0.4897959183673469,0.024630872483221485,3.67
BU,0.13,91,0.8207171314741036,0.06295302013422821,9.38
BU,0.13,91,0.8207171314741036,0.06295302013422821,9.38
VW,0.13,99,0.9799839871897518,0.048590604026845605,7.24
OS,0.14,100,1.0,0.07986577181208054,11.9
RDP,0.14,71,0.43137254901960786,0.022818791946308724,3.4
BU,0.14,92,0.8405103668261563,0.06174496644295304,9.2
BU,0.14,92,0.8405103668261563,0.06174496644295304,9.2
VW,0.14,99,0.9799839871897518,0.04718120805369125,7.03
OS,0.15,100,1.0,0.08261744966442952,12.31
RDP,0.15,70,0.4113029827315541,0.022013422818791945,3.28
BU,0.15,96,0.92,0.060402684563758406,9.0
BU,0.15,96,0.92,0.060402684563758406,9.0
VW,0.15,99,0.9799839871897518,0.04630872483221475,6.9
OS,0.16,100,1.0,0.08536912751677855,12.72
RDP,0.16,70,0.4113029827315541,0.020469798657718124,3.05
BU,0.16,95,0.9000799360511591,0.058791946308724835,8.76
BU,0.16,95,0.9000799360511591,0.058791946308724835,8.76
VW,0.16,99,0.9799839871897518,0.04557046979865771,6.79
OS,0.17,100,1.0,0.0875838926174497,13.05
RDP,0.17,69,0.3921568627450981,0.018993288590604028,2.83
BU,0.17,94,0.8801916932907348,0.05718120805369127,8.52
BU,0.17,94,0.8801916932907348,0.05718120805369127,8.52
VW,0.17,99,0.9799839871897518,0.04422818791946308,6.59
OS,0.18,100,1.0,0.0886577181208054,13.21
RDP,0.18,70,0.4122257053291537,0.017718120805369136,2.64
BU,0.18,95,0.9000799360511591,0.05637583892617449,8.4
BU,0.18,95,0.9000799360511591,0.05637583892617449,8.4
VW,0.18,99,0.9799839871897518,0.043624161073825496,6.5
OS,0.19,100,1.0,0.09174496644295309,13.67
RDP,0.19,72,0.45141065830721006,0.016375838926174516,2.44
BU,0.19,94,0.8801916932907348,0.05530201342281876,8.24
BU,0.19,94,0.8801916932907348,0.05530201342281876,8.24
VW,0.19,99,0.9799839871897518,0.04228187919463087,6.3
OS,0.2,99,0.9799839871897518,0.09476510067114101,14.12
RDP,0.2,72,0.45141065830721006,0.015302013422818807,2.28
BU,0.2,92,0.8405103668261563,0.05449664429530198,8.12
BU,0.2,92,0.8405103668261563,0.05449664429530198,8.12
VW,0.2,99,0.9799839871897518,0.041476510067114086,6.18
OS,0.21,99,0.9799839871897518,0.09617449664429534,14.33
RDP,0.21,69,0.3940578577013292,0.0142281879194631,2.12
BU,0.21,91,0.8207171314741036,0.053154362416107354,7.92
BU,0.21,91,0.8207171314741036,0.053154362416107354,7.92
VW,0.21,99,0.9799839871897518,0.04053691275167786,6.04
OS,0.22,99,0.9799839871897518,0.09926174496644297,14.79
RDP,0.22,69,0.3940578577013292,0.013355704697986583,1.99
BU,0.22,92,0.8407643312101911,0.052080536912751635,7.76
BU,0.22,92,0.8407643312101911,0.052080536912751635,7.76
VW,0.22,98,0.96,0.03973154362416109,5.92
OS,0.23,99,0.9799839871897518,0.10187919463087247,15.18
RDP,0.23,67,0.35597189695550346,0.012751677852348996,1.9
BU,0.23,91,0.8210023866348448,0.05033557046979862,7.5
BU,0.23,91,0.8210023866348448,0.05033557046979862,7.5
VW,0.23,98,0.96,0.03953020134228189,5.89
OS,0.24,99,0.9799839871897518,0.10342281879194631,15.41
RDP,0.24,64,0.2990654205607477,0.012013422818791945,1.79
BU,0.24,91,0.8210023866348448,0.04993288590604023,7.44
BU,0.24,91,0.8210023866348448,0.04993288590604023,7.44
VW,0.24,98,0.96,0.03919463087248323,5.84
OS,0.25,99,0.9799839871897518,0.10503355704697982,15.65
RDP,0.25,64,0.2990654205607477,0.011946308724832216,1.78
BU,0.25,90,0.8012718600953895,0.04939597315436238,7.36
BU,0.25,90,0.8012718600953895,0.04939597315436238,7.36
VW,0.25,98,0.96,0.03885906040268458,5.79
OS,0.26,99,0.9799839871897518,0.10765100671140941,16.04
RDP,0.26,64,0.2990654205607477,0.01181208053691275,1.76
BU,0.26,90,0.8012718600953895,0.0481879194630872,7.18
BU,0.26,90,0.8012718600953895,0.0481879194630872,7.18
VW,0.26,98,0.96,0.0384563758389262,5.73
OS,0.27,99,0.9799839871897518,0.10953020134228185,16.32
RDP,0.27,63,0.2801556420233464,0.011744966442953017,1.75
BU,0.27,90,0.8012718600953895,0.046979865771812034,7.0
BU,0.27,90,0.8012718600953895,0.046979865771812034,7.0
VW,0.27,98,0.96,0.038053691275167806,5.67
OS,0.28,99,0.9799839871897518,0.11241610738255031,16.75
RDP,0.28,61,0.24242424242424243,0.011476510067114089,1.71
BU,0.28,90,0.8012718600953895,0.04657718120805364,6.94
BU,0.28,90,0.8012718600953895,0.04657718120805364,6.94
VW,0.28,98,0.96,0.03785234899328862,5.64
OS,0.29,99,0.9799839871897518,0.11489932885906037,17.12
RDP,0.29,59,0.20480993017843296,0.011275167785234894,1.68
BU,0.29,89,0.7815726767275616,0.0456375838926174,6.8
BU,0.29,89,0.7815726767275616,0.0456375838926174,6.8
VW,0.29,98,0.96,0.03758389261744968,5.6
OS,0.3,99,0.9799839871897518,0.11617449664429527,17.31
RDP,0.3,56,0.148606811145511,0.010872483221476503,1.62
BU,0.3,86,0.722662440570523,0.04442953020134225,6.62
