Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,55,0.0,0.006711409395973147,1.0
RDP,0.0,100,1.0,0.9993959731543625,148.91
BU,0.0,100,1.0,1.0,149.0
BU,0.0,100,1.0,1.0,149.0
VW,0.0,100,1.0,1.0,149.0
OS,0.01,87,0.7440944881889764,0.03335570469798661,4.97
RDP,0.01,100,1.0,0.09342281879194635,13.92
BU,0.01,100,1.0,0.14134228187919468,21.06
BU,0.01,100,1.0,0.14134228187919468,21.06
VW,0.01,100,1.0,0.11697986577181212,17.43
OS,0.02,94,0.8802395209580838,0.039463087248322176,5.88
RDP,0.02,98,0.959758551307847,0.06496644295302009,9.68
BU,0.02,99,0.9798387096774194,0.10711409395973162,15.96
BU,0.02,99,0.9798387096774194,0.10711409395973162,15.96
VW,0.02,100,1.0,0.09308724832214771,13.87
OS,0.03,95,0.9,0.042684563758389256,6.36
RDP,0.03,97,0.9397590361445783,0.054362416107382516,8.1
BU,0.03,98,0.959758551307847,0.09422818791946318,14.04
BU,0.03,98,0.959758551307847,0.09422818791946318,14.04
VW,0.03,100,1.0,0.07986577181208056,11.9
OS,0.04,99,0.9798387096774194,0.046778523489932874,6.97
RDP,0.04,92,0.8409542743538767,0.04778523489932882,7.12
BU,0.04,96,0.9198396793587175,0.08456375838926179,12.6
BU,0.04,96,0.9198396793587175,0.08456375838926179,12.6
VW,0.04,100,1.0,0.07194630872483222,10.72
OS,0.05,99,0.9798387096774194,0.050738255033557014,7.56
RDP,0.05,89,0.782608695652174,0.04315436241610739,6.43
BU,0.05,93,0.8605577689243028,0.07865771812080545,11.72
BU,0.05,93,0.8605577689243028,0.07865771812080545,11.72
VW,0.05,100,1.0,0.06577181208053692,9.8
OS,0.06,99,0.9798387096774194,0.05503355704697985,8.2
RDP,0.06,86,0.724950884086444,0.039530201342281905,5.89
BU,0.06,92,0.8409542743538767,0.07543624161073831,11.24
BU,0.06,92,0.8409542743538767,0.07543624161073831,11.24
VW,0.06,100,1.0,0.060604026845637565,9.03
OS,0.07,100,1.0,0.058120805369127476,8.66
RDP,0.07,85,0.7047244094488189,0.035637583892617467,5.31
BU,0.07,91,0.8214285714285714,0.07261744966442957,10.82
BU,0.07,91,0.8214285714285714,0.07261744966442957,10.82
VW,0.07,99,0.9798387096774194,0.05711409395973153,8.51
OS,0.08,100,1.0,0.0613422818791946,9.14
RDP,0.08,79,0.5833333333333333,0.03268456375838928,4.87
BU,0.08,90,0.801980198019802,0.07046979865771817,10.5
BU,0.08,90,0.801980198019802,0.07046979865771817,10.5
VW,0.08,99,0.9798387096774194,0.05489932885906039,8.18
OS,0.09,100,1.0,0.06422818791946307,9.57
RDP,0.09,73,0.4642857142857143,0.030604026845637598,4.56
BU,0.09,89,0.782608695652174,0.06939597315436247,10.34
BU,0.09,89,0.782608695652174,0.06939597315436247,10.34
VW,0.09,98,0.959758551307847,0.052818791946308695,7.87
OS,0.1,100,1.0,0.06845637583892616,10.2
RDP,0.1,65,0.3137254901960784,0.028590604026845646,4.26
BU,0.1,88,0.7633136094674556,0.06818791946308728,10.16
BU,0.1,88,0.7633136094674556,0.06818791946308728,10.16
VW,0.1,98,0.959758551307847,0.05120805369127513,7.63
OS,0.11,100,1.0,0.07194630872483222,10.72
RDP,0.11,63,0.2801556420233464,0.02644295302013424,3.94
BU,0.11,88,0.7633136094674556,0.06604026845637588,9.84
BU,0.11,88,0.7633136094674556,0.06604026845637588,9.84
VW,0.11,98,0.959758551307847,0.050201342281879155,7.48
OS,0.12,100,1.0,0.07436241610738255,11.08
RDP,0.12,63,0.2801556420233464,0.02543624161073827,3.79
BU,0.12,86,0.724950884086444,0.06416107382550337,9.56
BU,0.12,86,0.724950884086444,0.06416107382550337,9.56
VW,0.12,99,0.9798387096774194,0.048456375838926154,7.22
OS,0.13,100,1.0,0.07711409395973155,11.49
