Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,26,0.0,0.041666666666666616,1.0
RDP,0.0,100,1.0,0.99375,23.85
BU,0.0,100,1.0,1.0416666666666679,25.0
VW,0.0,100,1.0,1.0,24.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,45,-0.3454011741682974,0.07083333333333328,1.7
RDP,0.01,98,0.949290060851927,0.7908333333333334,18.98
BU,0.01,94,0.840085287846482,0.32958333333333323,7.91
VW,0.01,98,0.949290060851927,0.8024999999999999,19.26
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,75,0.05589123867069479,0.08333333333333323,2.0
RDP,0.02,98,0.949290060851927,0.6462500000000001,15.51
BU,0.02,92,0.7811816192560175,0.27250000000000013,6.54
VW,0.02,97,0.9248496993987976,0.6770833333333331,16.25
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,75,0.05589123867069479,0.0837499999999999,2.01
RDP,0.03,99,0.9743326488706365,0.5512500000000001,13.23
BU,0.03,89,0.6867881548974943,0.24083333333333326,5.78
VW,0.03,97,0.9229979466119096,0.5975,14.34
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,77,0.16180758017492702,0.09833333333333334,2.36
RDP,0.04,96,0.896049896049896,0.48291666666666666,11.59
BU,0.04,88,0.6437054631828978,0.22416666666666657,5.38
VW,0.04,99,0.9736842105263158,0.5474999999999999,13.14
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,79,0.2605633802816901,0.1229166666666667,2.95
RDP,0.05,98,0.9466950959488273,0.43208333333333343,10.37
BU,0.05,85,0.5347394540942929,0.21083333333333332,5.06
VW,0.05,99,0.9736842105263158,0.5116666666666666,12.28
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,80,0.30747922437673136,0.1491666666666666,3.58
RDP,0.06,97,0.9190064794816415,0.3887500000000001,9.33
BU,0.06,87,0.5967741935483871,0.20208333333333328,4.85
VW,0.06,98,0.9466950959488273,0.47875,11.49
LSF,0.06,0,0.0,0.0,0.0
