Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.8723994452149791,0.0,0.04347826086956521
RDP,0.0,1.0,1.0,0.993668214436471
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.1,0.8876560332871013,0.1915585763922536,0.14177169390339503
RDP,0.1,0.9348127600554785,0.629937425604176,0.24060785141409877
BU,0.1,0.8945908460471568,0.2686455608349795,0.24983416752095522
VC,0.1,0.9597780859916782,0.7977559607293128,0.37749502502562865
OS,0.2,0.941747572815534,0.675023073125711,0.19302900560815292
RDP,0.2,0.9278779472954231,0.5730424087823988,0.15913887716336006
BU,0.2,0.8751733703190014,0.037326054060469516,0.14635470059699687
VC,0.2,0.9528432732316228,0.7512582190112833,0.29114153048302477
OS,0.30000000000000004,0.941747572815534,0.6787260227465626,0.2514623409515769
RDP,0.30000000000000004,0.8765603328710125,0.05554656108797096,0.10420309955979014
BU,0.30000000000000004,0.8723994452149791,0.0,0.13079659892661158
VC,0.30000000000000004,0.9500693481276006,0.7337245327150742,0.23385394681300128
OS,0.4,0.9306518723994452,0.5992663405958203,0.3178556352891515
RDP,0.4,0.8723994452149791,0.0,0.04775975396490381
BU,0.4,0.8723994452149791,0.0,0.13043478260869562
VC,0.4,0.9472954230235784,0.715800174266628,0.208104685521317
OS,0.5,0.9445214979195562,0.7008422887017136,0.40535488150515586
RDP,0.5,0.8723994452149791,0.0,0.04516673701983958
BU,0.5,0.8723994452149791,0.0,0.13043478260869562
VC,0.5,0.9403606102635229,0.6691919461368558,0.19049629138274132
OS,0.6000000000000001,0.9694868238557559,0.8534254929863794,0.492371705963939
RDP,0.6000000000000001,0.8723994452149791,0.0,0.04377977446782849
BU,0.6000000000000001,0.8723994452149791,0.0,0.13043478260869562
VC,0.6000000000000001,0.9320388349514563,0.6096113683326518,0.1788578664897787
OS,0.7000000000000001,0.9778085991678225,0.8964824120603015,0.5958511728878972
RDP,0.7000000000000001,0.8723994452149791,0.0,0.04347826086956521
BU,0.7000000000000001,0.8723994452149791,0.0,0.13043478260869562
VC,0.7000000000000001,0.926490984743412,0.5674767116775515,0.1715009346921546
OS,0.8,0.9930651872399445,0.9687063255757429,0.7256226255804137
RDP,0.8,0.8723994452149791,0.0,0.04347826086956521
BU,0.8,0.8723994452149791,0.0,0.13043478260869562
VC,0.8,0.926490984743412,0.5674767116775515,0.16619429536272085
OS,0.9,1.0,1.0,0.8723994452149791
RDP,0.9,0.8723994452149791,0.0,0.04347826086956521
BU,0.9,0.8723994452149791,0.0,0.13043478260869562
VC,0.9,0.9251040221914009,0.5566209629663372,0.16149068322981364
