Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.5423023578363384,0.006497248273385492,0.04347826086956521
RDP,0.0,1.0,1.0,0.993668214436471
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.01,0.608876560332871,0.20191394320974088,0.04347826086956521
RDP,0.01,0.9833564493758669,0.9664739526016399,0.7826086956521737
BU,0.01,0.9348127600554785,0.8687186440677966,0.5786648977868902
VC,0.01,0.986130374479889,0.9720492801042047,0.7941868178254838
OS,0.02,0.6074895977808599,0.19818686954027287,0.043960682626786464
RDP,0.02,0.9653259361997226,0.9302003183097828,0.6277513115841524
BU,0.02,0.8904299583911235,0.7791405095832833,0.45655189049026107
VC,0.02,0.9680998613037448,0.9356137524023995,0.661159018271724
OS,0.03,0.5769764216366158,0.12646330951255458,0.051377917144063194
RDP,0.03,0.9611650485436893,0.9220137059327992,0.5292769703913647
BU,0.03,0.8793342579750347,0.7574183718061265,0.37948501477416624
VC,0.03,0.9528432732316228,0.9049675523542957,0.5775191461134896
OS,0.04,0.5395284327323162,0.03181549761767999,0.06410179099077368
RDP,0.04,0.9528432732316228,0.9050933812370304,0.4587830911174094
BU,0.04,0.8723994452149791,0.7435334328288961,0.34408731833805706
VC,0.04,0.9528432732316228,0.9048834809060785,0.5243321473798468
OS,0.05,0.636615811373093,0.2401551048647258,0.0833986612796237
RDP,0.05,0.9431345353675451,0.8858811675552141,0.40463124886932395
BU,0.05,0.8502080443828016,0.6986649123485933,0.3185792679249834
VC,0.05,0.9431345353675451,0.8852752950490745,0.48839172646686363
OS,0.06,0.7558945908460472,0.4971787231344703,0.10679611650485436
RDP,0.06,0.9320388349514563,0.8636140782976949,0.35687149490442016
BU,0.06,0.8307905686546463,0.6596029565419295,0.29988542483265995
VC,0.06,0.9459084604715673,0.8909198822265239,0.4580594584815775
OS,0.07,0.7503467406380028,0.48921197427561613,0.1215099801001025
RDP,0.07,0.926490984743412,0.8525454271833796,0.3164686727371404
BU,0.07,0.8141470180305131,0.6264508695551312,0.2867394319483809
VC,0.07,0.9348127600554785,0.868602581650814,0.43224989447024065
OS,0.08,0.7420249653259362,0.4747779361772124,0.12892721461737924
RDP,0.08,0.9167822468793343,0.8330335708275761,0.2814327926189471
BU,0.08,0.79750346740638,0.5940722345192464,0.27311101730688053
VC,0.08,0.9237170596393898,0.8463050024998934,0.4102997045166737
OS,0.09,0.7489597780859917,0.48992163223826923,0.13592233009708735
RDP,0.09,0.9070735090152566,0.8137590167284168,0.25893987818850633
BU,0.09,0.7808599167822469,0.5609013398294762,0.26044744617982274
VC,0.09,0.9223300970873787,0.8437521767733447,0.39154555870469754
OS,0.1,0.7461858529819695,0.48451509812118343,0.14177169390339503
RDP,0.1,0.9042995839112344,0.8081995843919515,0.24060785141409877
BU,0.1,0.7586685159500693,0.5181295804077619,0.24983416752095522
VC,0.1,0.9167822468793343,0.8325916179714408,0.37749502502562865
OS,0.11,0.7475728155339806,0.4876742279311287,0.14593258155942831
RDP,0.11,0.8959778085991679,0.791521287382556,0.22722064765120908
BU,0.11,0.7447988904299584,0.49154906905617857,0.241632997648194
VC,0.11,0.9042995839112344,0.8074378853738877,0.3648917566182235
OS,0.12,0.7572815533980582,0.5063904200424854,0.14955074473858768
RDP,0.12,0.8959778085991679,0.7913378686557259,0.21576313091720437
BU,0.12,0.739251040221914,0.481402128750373,0.23126092986793706
VC,0.12,0.9084604715672677,0.8157695047542355,0.3548212024362299
OS,0.13,0.7628294036061026,0.5174577206529865,0.15485738406802146
RDP,0.13,0.897364771151179,0.7942557900987961,0.20563227401555811
BU,0.13,0.7364771151178918,0.4756564342034755,0.21968280769462709
VC,0.13,0.9070735090152566,0.8129368530702179,0.34541397817041547
OS,0.14,0.7753120665742025,0.5423441920240735,0.1601640233974552
RDP,0.14,0.8987517337031901,0.7968128105251373,0.19688837966592293
BU,0.14,0.7309292649098474,0.4646176222919697,0.20641620937104266
VC,0.14,0.897364771151179,0.7933473286286419,0.33522281854911656
OS,0.15,0.7808599167822469,0.553444869543402,0.1644455164927938
RDP,0.15,0.8945908460471568,0.7883229161033122,0.18898872339142495
BU,0.15,0.723994452149792,0.4514175380909595,0.19194355665440507
VC,0.15,0.9015256588072122,0.8016813559322034,0.3264186214798287
OS,0.16,0.7933425797503467,0.5791636470473018,0.1696918531025749
RDP,0.16,0.8959778085991679,0.7908779067294194,0.1821142133510221
BU,0.16,0.7142857142857143,0.4315011865574523,0.18000361816317917
VC,0.16,0.8987517337031901,0.7959146480959453,0.3178556352891515
OS,0.17,0.7947295423023578,0.581894693947919,0.17572212506784055
RDP,0.17,0.8918169209431346,0.7822730510731873,0.1760839413857565
BU,0.17,0.7198335644937587,0.4410766916369888,0.171078815654586
VC,0.17,0.9001386962552012,0.7986658392801738,0.31092082252909603
OS,0.18,0.79750346740638,0.5871759676850072,0.18151118615449555
RDP,0.18,0.8890429958391124,0.7768872522473735,0.1707169993366701
BU,0.18,0.7226074895977809,0.4451541409508565,0.1604655369957185
VC,0.18,0.8932038834951457,0.7847318890875039,0.3042272206476512
OS,0.19,0.8099861303744799,0.6114950304622634,0.1871193390821926
RDP,0.19,0.8876560332871013,0.7740485245698677,0.16565157088584695
BU,0.19,0.7170596393897365,0.4320642520657966,0.15105831272990408
VC,0.19,0.8904299583911235,0.7791405095832833,0.2976542242055117
OS,0.2,0.811373092926491,0.6138980327920492,0.19302900560815292
RDP,0.2,0.8821081830790569,0.7629949609600086,0.15913887716336006
BU,0.2,0.7128987517337032,0.4238390654616908,0.14635470059699687
VC,0.2,0.883495145631068,0.7652139528753189,0.29114153048302477
OS,0.21,0.8085991678224688,0.60822006268605,0.1974914068624495
RDP,0.21,0.8668515950069348,0.7328537133241217,0.15184224808538865
BU,0.21,0.7128987517337032,0.4235853902511557,0.14165108846408972
VC,0.21,0.8821081830790569,0.7623663710706212,0.28366399324609537
OS,0.22,0.8155339805825242,0.622499714590526,0.20207441355605135
RDP,0.22,0.8613037447988904,0.721845004783803,0.14762105770970269
BU,0.22,0.7156726768377254,0.4286515008021029,0.13948019055659408
VC,0.22,0.8737864077669902,0.7454797251952223,0.2760658505698607
OS,0.23,0.8169209431345353,0.62575794515269,0.2068986311282639
RDP,0.23,0.8599167822468793,0.7192486670085088,0.14394259181089064
BU,0.23,0.7184466019417476,0.4339762008809619,0.1375505035277091
VC,0.23,0.8737864077669902,0.7453671182796533,0.2697943677259844
OS,0.24,0.8349514563106796,0.6626907215278952,0.21395404932762466
RDP,0.24,0.8571428571428571,0.7136892346720436,0.1408671531086052
BU,0.24,0.7198335644937587,0.4363917805038504,0.13598263281674
VC,0.24,0.8751733703190014,0.7479980427032442,0.26304046312488694
OS,0.25,0.8307905686546463,0.654574157268072,0.21962250497497435
RDP,0.25,0.8543689320388349,0.7077444534950605,0.13568111921847673
BU,0.25,0.7226074895977809,0.4417257719825317,0.13417355122716032
VC,0.25,0.871012482662968,0.7397707912088765,0.2580956401133691
OS,0.26,0.8349514563106796,0.6632943383342687,0.22547186878128203
RDP,0.26,0.8474341192787794,0.6936252733074255,0.13152023156244344
BU,0.26,0.7267683772538142,0.44973559322033896,0.13284689139480188
VC,0.26,0.8613037447988904,0.7201217334596215,0.2521256708677561
OS,0.27,0.8377253814147018,0.6691012932809797,0.2321051679430742
RDP,0.27,0.8502080443828016,0.6987977905339543,0.12675631670988358
BU,0.27,0.7253814147018031,0.44682021792705795,0.13212325875897002
VC,0.27,0.8613037447988904,0.7202455320767016,0.24687933425797504
OS,0.28,0.8460471567267683,0.6862107768372104,0.23867816438521378
RDP,0.28,0.8363384188626907,0.670908697064876,0.11945968763191218
BU,0.28,0.7295423023578363,0.45484049833848406,0.1311584152445275
VC,0.28,0.8654646324549237,0.7285781370673228,0.24295965748055237
OS,0.29,0.8460471567267683,0.68663098254036,0.24531146354700595
RDP,0.29,0.8224687933425797,0.642546730600894,0.1133691129469939
BU,0.29,0.7295423023578363,0.45484049833848406,0.1310378098052222
VC,0.29,0.8599167822468793,0.7173854829257691,0.23813543990833985
OS,0.3,0.8543689320388349,0.7037021091728864,0.2514623409515769
RDP,0.3,0.8072122052704577,0.609673738203827,0.10420309955979014
BU,0.3,0.7295423023578363,0.45484049833848406,0.13079659892661158
VC,0.3,0.855755894590846,0.7089266027980063,0.23385394681300128
OS,0.31,0.8682385575589459,0.7325176805051685,0.25815594283302173
RDP,0.31,0.7558945908460472,0.5034590702770386,0.09509738889223904
BU,0.31,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.31,0.8474341192787794,0.6925420811462508,0.23053729723210514
OS,0.32,0.8668515950069348,0.7295214574329235,0.26394500391967674
RDP,0.32,0.7087378640776699,0.40647735825388864,0.08520774286920339
BU,0.32,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.32,0.8391123439667129,0.6759148751491855,0.22722064765120908
OS,0.33,0.8682385575589459,0.7322793097383181,0.26991497316528973
RDP,0.33,0.6393897364771152,0.2697312037397741,0.07628294036061026
BU,0.33,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.33,0.840499306518724,0.6787796610169492,0.2243864198275342
OS,0.34,0.8779472954230236,0.7520613359801799,0.2769100886449979
RDP,0.34,0.5742024965325936,0.1432381276780219,0.06832298136645962
BU,0.34,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.34,0.840499306518724,0.6789214642250009,0.22209491648073332
OS,0.35000000000000003,0.8779472954230236,0.7520613359801799,0.28396550684435873
RDP,0.35000000000000003,0.49375866851595007,-0.006632725269765327,0.06078514140987757
BU,0.35000000000000003,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.35000000000000003,0.8349514563106796,0.6680465978248673,0.21950189953566904
OS,0.36,0.8807212205270458,0.7575883153236274,0.2892721461737924
RDP,0.36,0.44660194174757284,-0.09041599545153045,0.05511668576252788
BU,0.36,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.36,0.8294036061026352,0.6571909004812617,0.21678827715129953
OS,0.37,0.8821081830790569,0.7606737141362033,0.2964481698124586
RDP,0.37,0.43828016643550627,-0.10015786241480518,0.051860338901284435
BU,0.37,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.37,0.8280166435506241,0.6543276703345989,0.2151601037206778
OS,0.38,0.8862690707350902,0.7693771990731711,0.30356389073147194
RDP,0.38,0.42718446601941745,-0.11852647632212565,0.04950853283483084
BU,0.38,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.38,0.8307905686546463,0.6600528691565669,0.21250678405596093
OS,0.39,0.8876560332871013,0.7723415286380877,0.3104987034915274
RDP,0.39,0.42579750346740636,-0.1200357217902921,0.04854368932038834
BU,0.39,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.39,0.8294036061026352,0.657492768120252,0.20985346439124405
OS,0.4,0.8848821081830791,0.7668239538970476,0.3178556352891515
RDP,0.4,0.420249653259362,-0.13182562453995095,0.04775975396490381
BU,0.4,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.4,0.8349514563106796,0.6689227516004184,0.208104685521317
OS,0.41000000000000003,0.8945908460471568,0.786536813400857,0.3252125670867756
RDP,0.41000000000000003,0.42163661581137307,-0.12839326395117978,0.04709642404872458
BU,0.41000000000000003,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.41000000000000003,0.8349514563106796,0.6689227516004184,0.206174998492432
OS,0.42,0.9029126213592233,0.8035636442894507,0.3336549478381475
RDP,0.42,0.420249653259362,-0.1308573229670098,0.04703612132907193
BU,0.42,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.42,0.8321775312066574,0.6635064509285866,0.20436591690285233
OS,0.43,0.9056865464632455,0.8091761115954664,0.34233853946813003
RDP,0.43,0.4174757281553398,-0.13626812355536866,0.04655369957185068
BU,0.43,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.43,0.8280166435506241,0.6550878059319156,0.2018332026774408
OS,0.44,0.9084604715672677,0.8147063633602529,0.35084122293915454
RDP,0.44,0.420249653259362,-0.13037379321726217,0.046312488693240055
BU,0.44,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.44,0.8252427184466019,0.6495247060275917,0.19948139661098718
OS,0.45,0.9084604715672677,0.8145417131098345,0.3593439064101791
RDP,0.45,0.4188626907073509,-0.13283584887972255,0.0462521859735874
BU,0.45,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.45,0.8252427184466019,0.649678777735788,0.19803413133932343
OS,0.46,0.9112343966712899,0.8203213220463059,0.3688717361152988
RDP,0.46,0.4174757281553398,-0.1352968522711937,0.04619188325393475
BU,0.46,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.46,0.8294036061026352,0.657944574084431,0.19598383887113308
OS,0.47000000000000003,0.912621359223301,0.823168049332155,0.3775553277452813
RDP,0.47000000000000003,0.4160887656033287,-0.13727084371475762,0.04576976421636615
BU,0.47000000000000003,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.47000000000000003,0.8294036061026352,0.657944574084431,0.19483808719773266
OS,0.48,0.9167822468793343,0.8317752648197981,0.386540432973527
RDP,0.48,0.4174757281553398,-0.1343272400359603,0.045528553337755524
BU,0.48,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.48,0.8294036061026352,0.6577941045953903,0.19314961104745826
OS,0.49,0.9251040221914009,0.8486648268356202,0.3946209974069831
RDP,0.49,0.4188626907073509,-0.13090206677622596,0.0452873424591449
BU,0.49,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.49,0.8294036061026352,0.6577941045953903,0.19176264849544716
OS,0.5,0.9278779472954231,0.8542698332491158,0.40535488150515586
RDP,0.5,0.4188626907073509,-0.13090206677622596,0.04516673701983958
BU,0.5,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.5,0.8294036061026352,0.657944574084431,0.19049629138274132
OS,0.51,0.9403606102635229,0.8795190555207965,0.41403847313513836
RDP,0.51,0.4188626907073509,-0.13090206677622596,0.04504613158053426
BU,0.51,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.51,0.8335644937586685,0.6660671416551522,0.18910932883073023
OS,0.52,0.9514563106796117,0.9019775404850043,0.42157631309172033
RDP,0.52,0.420249653259362,-0.12796233363773823,0.044865223421576304
BU,0.52,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.52,0.8321775312066574,0.6633584280979044,0.1883856961948984
OS,0.53,0.9528432732316228,0.9047992605767812,0.43116444551649274
RDP,0.53,0.420249653259362,-0.12796233363773823,0.04480492070192365
BU,0.53,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.53,0.8321775312066574,0.6633584280979044,0.18723994452149792
OS,0.54,0.9583911234396671,0.9160736596230105,0.4403304589036966
RDP,0.54,0.420249653259362,-0.12796233363773823,0.04480492070192365
BU,0.54,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.54,0.8321775312066574,0.6633584280979044,0.18555146837122355
OS,0.55,0.957004160887656,0.9132569304029589,0.44949647229090034
RDP,0.55,0.420249653259362,-0.12796233363773823,0.04450340710366037
BU,0.55,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.55,0.8307905686546463,0.6606509058362396,0.18452632213712838
OS,0.56,0.9597780859916782,0.9188891431940819,0.457456431285051
RDP,0.56,0.42163661581137307,-0.12502385451551956,0.04414159078574443
BU,0.56,0.7323162274618585,0.46019326332613086,0.13043478260869562
VC,0.56,0.8307905686546463,0.6606509058362396,0.18344087318338054
