Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.9972260748959778,0.0,0.04347826086956521
RDP,0.0,1.0,,0.993668214436471
BU,0.0,1.0,,1.0
VC,0.0,1.0,,1.0
OS,0.01,0.7628294036061026,0.0,0.04347826086956521
RDP,0.01,1.0,,0.7826086956521737
BU,0.01,1.0,,0.5786648977868902
VC,0.01,1.0,,0.7941868178254838
OS,0.02,0.7669902912621359,0.0,0.043960682626786464
RDP,0.02,1.0,,0.6277513115841524
BU,0.02,1.0,,0.45655189049026107
VC,0.02,1.0,,0.661159018271724
OS,0.03,0.811373092926491,0.0,0.051377917144063194
RDP,0.03,1.0,,0.5292769703913647
BU,0.03,1.0,,0.37948501477416624
VC,0.03,1.0,,0.5775191461134896
OS,0.04,0.8779472954230236,0.0,0.06410179099077368
RDP,0.04,1.0,,0.4587830911174094
BU,0.04,0.9986130374479889,0.0,0.34408731833805706
VC,0.04,1.0,,0.5243321473798468
OS,0.05,0.9764216366158114,0.0,0.0833986612796237
RDP,0.05,1.0,,0.40463124886932395
BU,0.05,0.9819694868238558,0.0,0.3185792679249834
VC,0.05,1.0,,0.48839172646686363
OS,0.06,0.9916782246879334,0.0,0.10679611650485436
RDP,0.06,1.0,,0.35687149490442016
BU,0.06,0.9778085991678225,0.0,0.29988542483265995
VC,0.06,1.0,,0.4580594584815775
OS,0.07,0.9958391123439667,0.0,0.1215099801001025
RDP,0.07,1.0,,0.3164686727371404
BU,0.07,0.9625520110957004,0.0,0.2867394319483809
VC,0.07,1.0,,0.43224989447024065
OS,0.08,0.9972260748959778,0.0,0.12892721461737924
RDP,0.08,1.0,,0.2814327926189471
BU,0.08,0.9389736477115118,0.0,0.27311101730688053
VC,0.08,1.0,,0.4102997045166737
OS,0.09,0.9972260748959778,0.0,0.13592233009708735
RDP,0.09,0.9944521497919556,0.0,0.25893987818850633
BU,0.09,0.9348127600554785,0.0,0.26044744617982274
VC,0.09,1.0,,0.39154555870469754
OS,0.1,0.9986130374479889,0.0,0.14177169390339503
RDP,0.1,0.9902912621359223,0.0,0.24060785141409877
BU,0.1,0.9195561719833565,0.0,0.24983416752095522
VC,0.1,1.0,,0.37749502502562865
OS,0.11,0.9986130374479889,0.0,0.14593258155942831
RDP,0.11,0.9805825242718447,0.0,0.22722064765120908
