Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.52,0.0,0.043478260869565216,1.0
RDP,0.0,1.0,1.0,0.9956521739130434,22.9
BU,0.0,1.0,1.0,1.043478260869565,24.0
VC,0.0,1.0,1.0,1.0,23.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.62,0.2161716171617163,0.1404347826086956,3.23
RDP,0.1,0.95,0.899919935948759,0.23956521739130426,5.51
BU,0.1,0.73,0.4471744471744472,0.14608695652173911,3.36
VC,0.1,1.0,1.0,0.37478260869565216,8.62
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.93,0.8592115848753017,0.1895652173913043,4.36
RDP,0.2,0.81,0.613506916192026,0.1534782608695652,3.53
BU,0.2,0.54,0.04485049833887034,0.09565217391304348,2.2
VC,0.2,1.0,1.0,0.29217391304347823,6.72
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.98,0.96,0.24217391304347824,5.57
RDP,0.30000000000000004,0.63,0.23616845582163493,0.10478260869565215,2.41
BU,0.30000000000000004,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.30000000000000004,0.97,0.9400479616306955,0.2295652173913043,5.28
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9799839871897518,0.30999999999999994,7.13
RDP,0.4,0.52,0.0,0.04782608695652174,1.1
BU,0.4,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.4,0.96,0.9197431781701445,0.2065217391304347,4.75
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9799839871897518,0.40782608695652167,9.38
RDP,0.5,0.52,0.0,0.04565217391304348,1.05
BU,0.5,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.5,0.91,0.8189863234111021,0.18608695652173907,4.28
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4834782608695651,11.12
RDP,0.6000000000000001,0.52,0.0,0.044347826086956525,1.02
BU,0.6000000000000001,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.6000000000000001,0.81,0.6160064672594987,0.1726086956521739,3.97
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5878260869565218,13.52
RDP,0.7000000000000001,0.52,0.0,0.043478260869565216,1.0
BU,0.7000000000000001,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.7000000000000001,0.79,0.5742092457420924,0.16608695652173913,3.82
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.7126086956521739,16.39
RDP,0.8,0.52,0.0,0.043478260869565216,1.0
BU,0.8,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.8,0.79,0.5735174654752233,0.1608695652173913,3.7
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8713043478260869,20.04
RDP,0.9,0.52,0.0,0.043478260869565216,1.0
BU,0.9,0.54,0.043261231281197965,0.08695652173913043,2.0
VC,0.9,0.8,0.5934959349593496,0.15826086956521737,3.64
LSF,0.9,0.0,0.0,0.0,0.0
